name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Kristi,201100098,ALB,Albania,Passenger,636,841095c0d-d852-3d3d-5791-3bd4b090829c,public-global-vessel-identity:v4.0
Hariklia,201100184,ALB,Albania,Passenger,612,5b1fbea98-8523-381b-907b-16c6efa77800,public-global-vessel-identity:v4.0
Rena S II,511101297,PLW,Palau,Passenger,513,13966f733-37b7-34af-28d3-1c5c0bbe1e4c,public-global-vessel-identity:v4.0
Giannis S,671285100,TGO,Togo,Passenger,501,591ee2e95-51f9-bb1b-ed9b-7d047c57d51a,public-global-vessel-identity:v4.0
Finikas Highspeed,201100165,ALB,Albania,Passenger,390,4fb3e8b27-710b-7326-271a-8f18be77fa5c,public-global-vessel-identity:v4.0
Marina,201100161,ALB,Albania,Passenger,375,b45b18f4f-f5b5-10ac-55b4-a59a5cdbbcbd,public-global-vessel-identity:v4.0
Ionian Sun,201100185,ALB,Albania,Passenger,302,186c02b4b-bd2a-0098-3d3a-adb17f9429d0,public-global-vessel-identity:v4.0
Corfu Express,312290000,BLZ,Belize,Other,261,14287e8a6-649d-ceb0-21d7-3b06fe6aaf42,public-global-vessel-identity:v4.0
Santa,201100141,ALB,Albania,Passenger,259,05028d939-9509-5bb3-6a51-236d26634306,public-global-vessel-identity:v4.0
Mbm 1,201133366,ALB,Albania,Other,223,877c34bc9-932e-5b55-46eb-a1fe7b1f1d61,public-global-vessel-identity:v4.0
3Fjori,201100419,ALB,Albania,Passenger,202,4217b76ae-e89c-66ad-1a0a-0894e97f2a95,public-global-vessel-identity:v4.0
Rozafa 23,201100151,ALB,Albania,Fishing,194,8ac1ce244-4351-ccd1-d496-21abf4e1790c,public-global-vessel-identity:v4.0
Af Marina,247324300,ITA,Italy,Cargo,173,330b928ab-bd9b-03fb-17a7-ebeebc5ca0e0,public-global-vessel-identity:v4.0
European Star,374081000,PAN,Panama,Cargo,163,7d02b9aa4-46ad-dd9c-92ea-30e29a1d8ff2,public-global-vessel-identity:v4.0
Af Mia,247343200,ITA,Italy,Cargo,162,2c7123f2f-f65c-95ea-4475-17cf326c9397,public-global-vessel-identity:v4.0
Rozafa Tuna,201000010,ALB,Albania,Other,147,bcd1ea26b-b2d3-6937-e3a9-602dd24d8b81,public-global-vessel-identity:v4.0
Rigel VII,209481000,CYP,Cyprus,Cargo,131,3daf5a965-5984-fab9-7871-ed76dd6a1cdc,public-global-vessel-identity:v4.0
Saranda Express,201100186,ALB,Albania,Passenger,124,e8780837c-c092-4b3b-22b4-9bad7529b48f,public-global-vessel-identity:v4.0
Aquamarine Ameli,201000028,ALB,Albania,Passenger,121,d1a53b2be-e718-be62-6555-a95b27e8a3e2,public-global-vessel-identity:v4.0
Ionian Star,373339000,PAN,Panama,Other,120,afb2a104c-c068-7a50-a2b7-de05cf8058d8,public-global-vessel-identity:v4.0
Ajla Boat Tours,201100445,ALB,Albania,Passenger,109,c411df4e2-2bbb-0fd3-97b7-b319abb82a6b,public-global-vessel-identity:v4.0
Onhezmus-1,201100099,ALB,Albania,Passenger,104,14322eb0a-ad34-53c8-b34c-3c5b71663938,public-global-vessel-identity:v4.0
Si Saranda,201100194,ALB,Albania,Passenger,103,e8a4f6e67-7a0a-c53e-9c74-b9ce5739dd5f,public-global-vessel-identity:v4.0
Kristi,201100448,ALB,Albania,Passenger,100,4b46a5309-92e4-2123-1746-58a719475ea1,public-global-vessel-identity:v4.0
Marinelove I,201100443,ALB,Albania,Passenger,100,f27713853-3916-d9a4-0fbe-86b422606d3a,public-global-vessel-identity:v4.0
Liburna,201100544,ALB,Albania,Passenger,96,76c68adaf-ff7d-b4e0-686c-b037386d8754,public-global-vessel-identity:v4.0
Rozafa15,201000187,ALB,Albania,Fishing,93,fa44ce213-36ae-e192-773c-adf78f55df05,public-global-vessel-identity:v4.0
Vikingen,201100440,ALB,Albania,Passenger,92,f8cda3075-5d46-89f4-ef00-fc5be0ab0b73,public-global-vessel-identity:v4.0
Rozafa 13,201110026,ALB,Albania,Fishing,92,51ac6aadc-c394-3a2d-7548-042ac9928411,public-global-vessel-identity:v4.0
Black Pearl,201100171,ALB,Albania,Other,91,8bdff7a16-6d5f-25c0-5ea9-0c7e4ce32fff,public-global-vessel-identity:v4.0
Jon,201100418,ALB,Albania,Passenger,91,f6c524efa-aceb-b74f-7459-20216ca95ce1,public-global-vessel-identity:v4.0
Vitoria,201100442,ALB,Albania,Passenger,88,34178663d-d463-bdb3-3ce2-f874d40882d0,public-global-vessel-identity:v4.0
Klyarn,201548999,ALB,Albania,Fishing,87,eddc6458c-c80a-ad45-6c4a-fae80c0c2272,public-global-vessel-identity:v4.0
Klea-2,201112400,ALB,Albania,Passenger,87,564e93ec9-9aca-851a-c5e9-2fe11144c257,public-global-vessel-identity:v4.0
Rigel III,212224000,CYP,Cyprus,Passenger,84,dc10c8e08-8d81-57c1-e5c2-4eeb83722056,public-global-vessel-identity:v4.0
Teuta II,201110018,ALB,Albania,Passenger,83,3b63f3bef-f370-0101-1612-2ed6f98c65a4,public-global-vessel-identity:v4.0
Mario I,201100162,ALB,Albania,Fishing,83,7ad97cbe5-5825-f4de-3232-de1c190f0509,public-global-vessel-identity:v4.0
Af Francesca,247312600,ITA,Italy,Cargo,83,82fcd06d9-9610-e50d-3e7f-511e9cf0e19c,public-global-vessel-identity:v4.0
Princ Ennio,201000031,ALB,Albania,Passenger,82,7b72c57d3-399e-34d8-0ba5-58be4ee92d30,public-global-vessel-identity:v4.0
Arli  III,201100402,ALB,Albania,Fishing,73,efb315e7c-c21a-4e81-a03a-e0b658db4389,public-global-vessel-identity:v4.0
Rose Line,201100085,ALB,Albania,Other,70,57fe139dc-c801-0a85-5a8f-427256f3413e,public-global-vessel-identity:v4.0
Mogila,201111077,ALB,Albania,Passenger,69,93308c5af-f2b2-68df-0398-b4f4da6db97d,public-global-vessel-identity:v4.0
Pashaj Vip,201100174,ALB,Albania,Passenger,66,fcc36efca-a750-461d-4879-798d07ebab2e,public-global-vessel-identity:v4.0
Arli,201000402,ALB,Albania,Fishing,66,4cd6d497e-ee34-1af3-b66a-2fb281cc4ed6,public-global-vessel-identity:v4.0
Gnv Antares,247435800,ITA,Italy,Passenger,65,c94ca93b0-0ba3-9b0a-07a3-1c31274c2f90,public-global-vessel-identity:v4.0
Vlora Cruise,201100430,ALB,Albania,Other,65,823dfb3ca-a757-6e0c-682a-6d60dcd7337c,public-global-vessel-identity:v4.0
Rozafa 14,201110027,ALB,Albania,Fishing,65,c9ded2823-32f2-f9f3-4f04-0f8f2fd14e5c,public-global-vessel-identity:v4.0
Winner,201100092,ALB,Albania,Other,65,0c358bd36-664f-44c8-93b8-23a5d85aff29,public-global-vessel-identity:v4.0
Adriatik,201100434,ALB,Albania,Fishing,63,3debbe563-35d7-a418-d1ab-3f240a4d730d,public-global-vessel-identity:v4.0
Rigel V,210158000,CYP,Cyprus,Cargo,61,12a247ba2-2cb4-26f7-5c09-0acf6854686e,public-global-vessel-identity:v4.0
Prima I,201100193,ALB,Albania,Fishing,61,aa619812e-e2e6-9e2f-869d-11e7efc9c69a,public-global-vessel-identity:v4.0
Bat996,201100438,ALB,Albania,Passenger,60,305dde31d-dcd2-36b3-0a6f-a069e0febcdc,public-global-vessel-identity:v4.0
Arli  I,201100401,ALB,Albania,Fishing,60,bc299f0bf-f251-00f0-e9a2-e65cfa7b9517,public-global-vessel-identity:v4.0
Boresi,201000444,ALB,Albania,Fishing,59,1908108ee-e2ad-8806-6748-d029428e8873,public-global-vessel-identity:v4.0
Regina Mare,201000427,ALB,Albania,Passenger,58,84f32ef9f-fca6-ef57-f77f-80f728cd4a35,public-global-vessel-identity:v4.0
Barbarossa I,201100197,ALB,Albania,Fishing,58,89cdfa5f1-1c6b-eb27-b6eb-97afc25804c2,public-global-vessel-identity:v4.0
