name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Antares,701006154,ARG,Argentina,Passenger,1442,f0cf5a3ba-ac71-730b-aed8-283bab046270,public-global-vessel-identity:v4.0
Cometa,701006153,ARG,Argentina,Passenger,1160,3db4199f1-1d6d-c385-09fd-5675b345a386,public-global-vessel-identity:v4.0
Superferry Express,770576400,URY,Uruguay,Passenger,1041,9286e095e-e530-eabe-7810-a23a89174d4b,public-global-vessel-identity:v4.0
Koon,701006454,ARG,Argentina,Passenger,1024,1e4e8e0f6-6426-0eca-653f-cf2f56a29c19,public-global-vessel-identity:v4.0
Sirius 4,701006155,ARG,Argentina,Passenger,867,bec94da72-2150-e8c7-a11a-07f323f610ac,public-global-vessel-identity:v4.0
Querandi,701006667,ARG,Argentina,Other,629,472e630e2-2253-c1df-3c0c-79662c5a2327,public-global-vessel-identity:v4.0
Francisco,770576272,URY,Uruguay,Passenger,627,8673157c0-0f37-d0db-9d36-436637695434,public-global-vessel-identity:v4.0
Silvia Ana L,770576231,URY,Uruguay,Passenger,619,ce0d21857-746c-8bed-d979-f93fe6578688,public-global-vessel-identity:v4.0
Colonia Express II,770576517,URY,Uruguay,Passenger,595,27b707085-5ef3-b332-396b-6c9803d1e980,public-global-vessel-identity:v4.0
Atlantic III,770576009,URY,Uruguay,Passenger,577,3d9415ad5-5ecf-a1b3-15ed-f3589c05f708,public-global-vessel-identity:v4.0
Rua Cap. Lucio R.,701006497,ARG,Argentina,Other,576,b6aca5f99-938a-6bca-46ab-60c084befaeb,public-global-vessel-identity:v4.0
Zeya Lp,701001458,ARG,Argentina,Other,558,6b52a37bb-b69d-57cf-95cd-bb44e2713d2d,public-global-vessel-identity:v4.0
Sabater R,701006867,ARG,Argentina,Other,557,baf9a3974-457e-2fdf-afa0-b00a976826ff,public-global-vessel-identity:v4.0
Penalva,701007031,ARG,Argentina,Passenger,518,a14589d5d-dae5-e472-4a75-a458f96400c1,public-global-vessel-identity:v4.0
Bernardo R,701110000,ARG,Argentina,Other,478,5d35c88ea-a429-af4d-8257-9afa785e50d0,public-global-vessel-identity:v4.0
Deltamar IV,701006407,ARG,Argentina,Other,477,928f41959-9c3c-2713-2613-a4bf1996e1bd,public-global-vessel-identity:v4.0
Elena Delta,701006342,ARG,Argentina,Passenger,452,f4f5cc7d8-84cf-823c-6e42-18cc45fe5af4,public-global-vessel-identity:v4.0
Massimo I,701006688,ARG,Argentina,Passenger,448,f52c0f77e-e7ee-eafa-b19c-ed1f9b39f9e7,public-global-vessel-identity:v4.0
Ona Triunfo,701006099,ARG,Argentina,Other,379,f7ce7743e-e825-71ea-074e-506b307021c0,public-global-vessel-identity:v4.0
Pax,701006152,ARG,Argentina,Passenger,339,0c4cb5402-21c3-539f-949f-5a0f6e6fc222,public-global-vessel-identity:v4.0
Zelandia,701006355,ARG,Argentina,Other,338,84e160722-26ef-c9f8-5086-a0833c638bcc,public-global-vessel-identity:v4.0
Akort,701006219,ARG,Argentina,Passenger,310,58faec83a-a5fd-1699-8b15-b5ee8bb9661c,public-global-vessel-identity:v4.0
Tirua,701006766,ARG,Argentina,Other,310,ffa0466e3-3cb8-3fbd-ca49-6817401a0101,public-global-vessel-identity:v4.0
Hernandarias,701006545,ARG,Argentina,Other,309,0e6ade829-99dd-3043-d4a8-1b4f6d37c91f,public-global-vessel-identity:v4.0
Don Roberto,701001077,ARG,Argentina,Passenger,304,fcfdd6e4a-a5d9-854c-cb07-48da8329858e,public-global-vessel-identity:v4.0
Ona Don Lorenzo,701006289,ARG,Argentina,Other,298,2f1115fae-ee84-dc21-198c-c782ce6e03ac,public-global-vessel-identity:v4.0
Ranquel,701105000,ARG,Argentina,Other,285,c143593f1-1e49-045e-a444-23dc6e9e91b2,public-global-vessel-identity:v4.0
Omvac Diez,225426000,ESP,Spain,Other,285,d25d11e27-79c3-a346-baec-cf2503ebe185,public-global-vessel-identity:v4.0
Ezequiel Mb,701000838,ARG,Argentina,Passenger,278,d0a467d1f-f0eb-9fcd-b44c-4a2a7352c384,public-global-vessel-identity:v4.0
Trovador,701006868,ARG,Argentina,Other,262,20f251897-7d2c-20a1-b82f-47959003b08a,public-global-vessel-identity:v4.0
Ushuaia Explorer,701000898,ARG,Argentina,Passenger,260,50481ef0f-f908-81f1-c267-cf531ed6f6d2,public-global-vessel-identity:v4.0
Rat 1,701001388,ARG,Argentina,Passenger,251,8519a86b6-6ded-d768-ecc3-297db9b9c826,public-global-vessel-identity:v4.0
Svitzer Endeavour,701006709,ARG,Argentina,Other,248,8f88630a5-5678-98da-0d79-a502411620c4,public-global-vessel-identity:v4.0
LM,701006303,ARG,Argentina,Passenger,247,313a6ac68-8e27-95fc-0ad5-4edce4a97c11,public-global-vessel-identity:v4.0
Gc129 Lago Colhue,701528000,ARG,Argentina,Passenger,243,cca386a55-5ddc-8fea-82df-5a39b9dea7e0,public-global-vessel-identity:v4.0
Alifan,701006264,ARG,Argentina,Other,235,48365cfa2-2bcf-6a92-c468-dd7f7a4ee492,public-global-vessel-identity:v4.0
Svitzer Mora,701006706,ARG,Argentina,Other,233,f208493b8-82f2-a0a8-8186-2ff13d192fcd,public-global-vessel-identity:v4.0
Deltarena,701001304,ARG,Argentina,Other,227,380fd401e-e08a-fc84-90a1-05db2c0e5247,public-global-vessel-identity:v4.0
Chonek,701006989,ARG,Argentina,Passenger,224,79d55a193-37b0-e396-03f8-2c58261cc7c7,public-global-vessel-identity:v4.0
Dona Nina,701006226,ARG,Argentina,Cargo,217,02a68379f-f0a9-d88f-f0b2-7922b5b1cda8,public-global-vessel-identity:v4.0
Ana B,701006070,ARG,Argentina,Passenger,213,b848e9354-4ca9-14eb-2bd7-65131db04bc8,public-global-vessel-identity:v4.0
Burondi,701006704,ARG,Argentina,Other,213,33ed70756-6ec7-5d4e-6e48-1b4bcb017cae,public-global-vessel-identity:v4.0
Victor Adolfo,701006378,ARG,Argentina,Passenger,205,94359961b-b674-dae4-95fc-7bd4eb3a2a80,public-global-vessel-identity:v4.0
Kona,701007156,ARG,Argentina,Passenger,198,7b0a15495-59a6-5abe-4dbb-def79749b1f7,public-global-vessel-identity:v4.0
Don Benito,701006428,ARG,Argentina,Other,196,9eb1c1802-252f-f1e4-1942-78321385b508,public-global-vessel-identity:v4.0
Francisco C,701006387,ARG,Argentina,Passenger,196,64d5a1769-916e-6507-64fc-9df726b04324,public-global-vessel-identity:v4.0
Ceibo,645144000,MUS,Mauritius,Seismic vessel,190,17d487540-0e54-5c9b-712f-0a656ddfe83e,public-global-vessel-identity:v4.0
Gustavo U,701006380,ARG,Argentina,Other,189,6f34ed1cd-d3fc-616d-4126-11085392ab43,public-global-vessel-identity:v4.0
Ortelius,253662000,LUX,Luxembourg,Other,183,80f17867a-a56d-09a3-01a1-b344b27bc4be,public-global-vessel-identity:v4.0
Independencia VI,701006301,ARG,Argentina,Passenger,179,4e18d10cd-d894-fa25-33c4-7c99dec04ccf,public-global-vessel-identity:v4.0
