name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Lady Daisy,378112987,VGB,British Virgin Islands,Passenger,1079,dd43af369-9be9-934a-ccbb-855c58c885cd,public-global-vessel-identity:v4.0
Grand Master 2,372089000,PAN,Panama,Cargo,326,dd6ed0702-29ae-986c-a360-2740de0485dc,public-global-vessel-identity:v4.0
Aqua Cat,577331000,VUT,Vanuatu,Passenger,304,8373f77f4-4b2c-67c9-89db-c3f8ad4bbfe5,public-global-vessel-identity:v4.0
Jaume II,209513000,CYP,Cyprus,Other,281,73e9e23c1-1756-7864-8615-f646d58aa987,public-global-vessel-identity:v4.0
Inagua Spray,353735000,PAN,Panama,Other,275,55af2eacf-fdbe-1a69-6650-10278977b915,public-global-vessel-identity:v4.0
Mari Sun,312802000,BLZ,Belize,Cargo,258,d772f582f-fba5-2d20-8394-61cb91d511fd,public-global-vessel-identity:v4.0
Champion III,351468000,PAN,Panama,Cargo,240,7ca9946b6-6ae0-fe4e-c56a-809a695d579c,public-global-vessel-identity:v4.0
L Marie,366995080,USA,United States of America,Other,204,4a23a271b-b09f-6035-2862-8206e98be67d,public-global-vessel-identity:v4.0
Bimini Cat,671082100,TGO,Togo,Cargo,177,e117eaa8d-de11-22ac-1516-90c5c3da20b1,public-global-vessel-identity:v4.0
Diamond Tender,367750310,USA,United States of America,Other,167,219db90bf-f331-d8cd-c6c3-a3f21b2a8cc8,public-global-vessel-identity:v4.0
M/V Nina Anne,367448860,USA,United States of America,Passenger,163,d6d34a53c-cbf3-45f9-d20d-426391e1355d,public-global-vessel-identity:v4.0
M/V Legend II,370375000,PAN,Panama,Other,163,4e1306af4-46de-2af9-6243-d647eaddf80d,public-global-vessel-identity:v4.0
East Wind,352812000,PAN,Panama,Other,163,3a8a6db1c-c853-7f20-5c2d-91fecd9fb6e7,public-global-vessel-identity:v4.0
New G,373022000,PAN,Panama,Passenger,153,bc2b97ffd-d403-22e9-3111-7c88e2825c37,public-global-vessel-identity:v4.0
Knox,577132000,VUT,Vanuatu,Other,153,b871c9e5e-e0cc-1480-8b02-2ecd384ee9cd,public-global-vessel-identity:v4.0
Ocean Breeze,312491000,BLZ,Belize,Other,152,8b8704688-86c7-dcee-4c79-40be03f3f1f4,public-global-vessel-identity:v4.0
Margaritaville A.S.P,311000969,BHS,Bahamas,Passenger,150,075ab1238-82e9-b1c7-6a51-ceebf9876798,public-global-vessel-identity:v4.0
