name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Durrat Al Manama,408576000,BHR,Bahrain,Other,436,db320b6ed-d274-d483-67a5-37126ac10eac,public-global-vessel-identity:v4.0
Farouk,408355000,BHR,Bahrain,Other,425,450264f6b-bab1-fffe-7efc-3f940d7b3460,public-global-vessel-identity:v4.0
Sugar Island,408954000,BHR,Bahrain,Other,414,386df6cf1-1497-dde5-3914-cd58aed9af94,public-global-vessel-identity:v4.0
Abbotsgrange,408386000,BHR,Bahrain,Other,328,72c995150-046a-26af-c8d3-f00b42ebe870,public-global-vessel-identity:v4.0
Bn Aman,408901776,BHR,Bahrain,Other,304,a74cb32e7-72be-b595-a5ea-cdf0977c5180,public-global-vessel-identity:v4.0
Anton,408391000,BHR,Bahrain,Other,296,a071b8ded-d3a5-ac1f-510a-871dea7a73e1,public-global-vessel-identity:v4.0
Amwaj,408368000,BHR,Bahrain,Other,284,0a36a930f-f446-c1a6-e7dc-057a6a60a820,public-global-vessel-identity:v4.0
Global Chelsie,408201116,BHR,Bahrain,Other,279,bf7af1f6e-e0a6-4897-b96a-2151ee03dd86,public-global-vessel-identity:v4.0
Khair Noor,408901599,BHR,Bahrain,Passenger,275,b66bb3418-8125-b82f-9c6b-a7f329152731,public-global-vessel-identity:v4.0
Mary Anne,408201123,BHR,Bahrain,Passenger,274,eead1e0ea-a942-b099-dbea-0f9aefb98233,public-global-vessel-identity:v4.0
Wadi Alkhalij,408901662,BHR,Bahrain,Passenger,273,c3aed892a-ac03-f544-718b-23791856991a,public-global-vessel-identity:v4.0
Aqua,408850000,BHR,Bahrain,Other,273,f2e7def0d-d816-542a-222d-2f6062c476d0,public-global-vessel-identity:v4.0
Fajer Alghader,408901574,BHR,Bahrain,Other,271,aaa94653c-cb34-389b-a5c0-294981db4834,public-global-vessel-identity:v4.0
Al Mamlaka,408901831,BHR,Bahrain,Other,271,b196cd4f9-9499-ed9d-9d8a-96020fb62e49,public-global-vessel-identity:v4.0
Hoat Albander,408901500,BHR,Bahrain,Other,269,787b3636d-db10-9f30-94ae-67a59071cc37,public-global-vessel-identity:v4.0
Khair Alaraab,408908008,BHR,Bahrain,Fishing,260,ba06be7a5-5082-9f1e-c25e-dcefb4a88b11,public-global-vessel-identity:v4.0
Dawi Almaa,408907972,BHR,Bahrain,Passenger,252,a54837718-8c3e-6df8-bd47-57f6bc4f23cc,public-global-vessel-identity:v4.0
Rasheed,408390000,BHR,Bahrain,Other,246,e298de62e-e333-60e2-661f-0cacfa226c14,public-global-vessel-identity:v4.0
Bany Yas,408901602,BHR,Bahrain,Other,246,26c8718eb-b002-6325-d669-0bba0822a333,public-global-vessel-identity:v4.0
Global Madison,408201115,BHR,Bahrain,Other,244,5953ff67f-f580-f73a-2f74-4f354482611c,public-global-vessel-identity:v4.0
Noor Deaab,408902615,BHR,Bahrain,Fishing,243,3b0030e07-769a-b361-fea1-5ea33a58166c,public-global-vessel-identity:v4.0
Nabaa,408901575,BHR,Bahrain,Passenger,243,adab27aed-d22e-7348-7f4e-58d932d54010,public-global-vessel-identity:v4.0
Global Annie,408201120,BHR,Bahrain,Other,241,d95e91908-895e-2956-f17b-ca8aec7cff07,public-global-vessel-identity:v4.0
Shajarat Aldur,408901513,BHR,Bahrain,Other,236,6ef1d3ee6-65a6-be80-7412-6be3bac1cd6a,public-global-vessel-identity:v4.0
Jaser,408901619,BHR,Bahrain,Passenger,231,97d61ae41-1b67-5425-2798-ed6bd84fcd37,public-global-vessel-identity:v4.0
Twaireq Alkhair,408900459,BHR,Bahrain,Other,221,c859f0bee-ee24-a4a4-430a-2a7df835c543,public-global-vessel-identity:v4.0
Globalbreyanah,408201125,BHR,Bahrain,Other,216,33c838640-0513-c4dd-a767-3f1a2a48b146,public-global-vessel-identity:v4.0
Layli Al Najoom 1,408901556,BHR,Bahrain,Passenger,205,9c01c4a76-62b0-9108-1243-c884a1d50306,public-global-vessel-identity:v4.0
Nokia 1,408907652,BHR,Bahrain,Fishing,203,c42870a58-8cd7-9de1-f831-157d874ea0e7,public-global-vessel-identity:v4.0
Danat Alkoos,408901123,BHR,Bahrain,Passenger,203,fc25507d3-3879-cd3c-6c88-37f4f085070a,public-global-vessel-identity:v4.0
Fafoor,408901876,BHR,Bahrain,Passenger,201,d37643108-8c07-c90e-8e17-b185fae7757f,public-global-vessel-identity:v4.0
Looty,408901592,BHR,Bahrain,Passenger,199,24bf1d4f1-1f4a-86d4-94bf-9242e117fb40,public-global-vessel-identity:v4.0
Khair Majed,408901609,BHR,Bahrain,Passenger,191,86ba5acdf-f0a6-b6dd-293c-6a865599052c,public-global-vessel-identity:v4.0
Gahir Altuyor,408901583,BHR,Bahrain,Passenger,190,2ca6a43ea-a3fd-a8a6-c543-89c0cdad1ec8,public-global-vessel-identity:v4.0
Al Moalagya,408901697,BHR,Bahrain,Passenger,188,2c75a6445-576b-e176-e771-0235ea531f2d,public-global-vessel-identity:v4.0
Awish,408901140,BHR,Bahrain,Passenger,187,a254ef92a-aa8a-bc94-0a09-3677606966bf,public-global-vessel-identity:v4.0
Slam Dnk,408901584,BHR,Bahrain,Passenger,186,274ca24cc-cdb7-54de-914d-c5736896b880,public-global-vessel-identity:v4.0
Khair Al Gadeer,408901521,BHR,Bahrain,Passenger,185,c636d5d50-04a3-0f1a-ab04-857532eee57b,public-global-vessel-identity:v4.0
Maymoon Al Bahar,408901538,BHR,Bahrain,Passenger,184,edbc1e3e9-98b5-bfe6-f347-3fbcbaf71d52,public-global-vessel-identity:v4.0
Brooklyn,408201147,BHR,Bahrain,Other,182,5a5bf0123-36b9-c681-b14c-c0b10cd61944,public-global-vessel-identity:v4.0
Aayat Alshabab,408901560,BHR,Bahrain,Fishing,180,ba8a7ede5-5aa5-7e01-dfe7-2d2572ef6f9d,public-global-vessel-identity:v4.0
Noor Al Zaman,408901616,BHR,Bahrain,Passenger,178,2567507df-ffc9-ca49-cc9d-7d9a3b84b360,public-global-vessel-identity:v4.0
Sabooha,408901144,BHR,Bahrain,Passenger,177,38a3aa449-9044-245e-0fed-7018556f1282,public-global-vessel-identity:v4.0
Bin Herz,408902902,BHR,Bahrain,Passenger,177,245a76ca0-0bd8-22ae-1aaa-fcb5c37b664a,public-global-vessel-identity:v4.0
Cordelia,408201130,BHR,Bahrain,Other,177,5f6680fdf-fa9f-de5e-d175-660b95a85b45,public-global-vessel-identity:v4.0
M/V Rasheed,408390000,BHR,Bahrain,Other,175,4ae73a14c-c0f1-a4a7-b430-486e82bbd5ec,public-global-vessel-identity:v4.0
Lowan Alsamah,408901236,BHR,Bahrain,Passenger,174,493d1a240-09df-1b16-0a49-1382fd2e5019,public-global-vessel-identity:v4.0
Noor Al Jawad,408901634,BHR,Bahrain,Passenger,173,bc2377e51-1109-c7df-4e2d-eb1ee3eab88e,public-global-vessel-identity:v4.0
Magdesi,408901730,BHR,Bahrain,Passenger,173,d8c50973a-a50a-f43d-99fb-ecfe6fbe0800,public-global-vessel-identity:v4.0
Sahan Al Bawan,408901608,BHR,Bahrain,Passenger,171,cbcb42e99-9266-bf03-c29f-e7fdea908b8a,public-global-vessel-identity:v4.0
Noor Zahraa,408902566,BHR,Bahrain,Fishing,170,7ccb23ce3-35e8-68a6-b5f6-20c1ed7ea865,public-global-vessel-identity:v4.0
Tharwat Esraa,408904464,BHR,Bahrain,Other,169,117cc1723-3339-4327-ee46-3b95f84fb633,public-global-vessel-identity:v4.0
Meqwar3,408900585,BHR,Bahrain,Passenger,169,eb1ad341a-a0d5-a702-12bc-14b0ae87200c,public-global-vessel-identity:v4.0
Rahat Al Bal,408901885,BHR,Bahrain,Passenger,167,30809f3fa-a8de-1e75-3031-cc88e1f49d59,public-global-vessel-identity:v4.0
Radawy,408907658,BHR,Bahrain,Passenger,166,b82a2e515-57e4-1b66-0a33-8e2184eca4c8,public-global-vessel-identity:v4.0
Muaser Khair,408901688,BHR,Bahrain,Passenger,164,0dfd37d97-7ccb-094a-15dd-5d3f16113e2e,public-global-vessel-identity:v4.0
Mahal Al Nafs 2,408901297,BHR,Bahrain,Passenger,162,0e3a7eef7-715b-8345-8bb2-fe117c3e6100,public-global-vessel-identity:v4.0
Danat Ajnid,408901108,BHR,Bahrain,Passenger,161,bb03ad3c0-09a6-7434-7efe-f047cd3f3e7a,public-global-vessel-identity:v4.0
Nabtoon,408901607,BHR,Bahrain,Passenger,159,e48f4aab6-62bc-d09e-318f-e0fb0f4c173b,public-global-vessel-identity:v4.0
Tharwat Yaseen,408901656,BHR,Bahrain,Passenger,159,cf65fbd2f-f9aa-e80b-471f-2597a9fefd28,public-global-vessel-identity:v4.0
Malaky,408901517,BHR,Bahrain,Passenger,159,77be6795e-e3f4-c034-da2b-771840551f7a,public-global-vessel-identity:v4.0
Danvic 5,408901133,BHR,Bahrain,Passenger,159,bcbe1798d-d927-232b-bca1-c59938bc9e61,public-global-vessel-identity:v4.0
Saai Al Khair,408901980,BHR,Bahrain,Other,158,5f4ccd933-30e9-94bf-31cd-5f5ad88e991c,public-global-vessel-identity:v4.0
Saeai Alafrah,408908002,BHR,Bahrain,Passenger,158,4ee257ed8-8adf-c10b-2795-943df040d80c,public-global-vessel-identity:v4.0
Amnah,408901189,BHR,Bahrain,Passenger,158,cfecf1c86-6ef2-f8e4-547a-64e70e87257f,public-global-vessel-identity:v4.0
