name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Energy  II,367106450,USA,United States of America,Other,64,494404480-0bba-d8cf-ea71-88aa297d6280,public-global-vessel-identity:v4.0
Bf Cartagena,209207000,CYP,Cyprus,Cargo,25,07485bc8e-ee45-b63a-56c6-7d13519bd07b,public-global-vessel-identity:v4.0
Tropic Lure,377912000,VCT,Saint Vincent and the Grenadines,Cargo,24,b3fd98af6-6d2c-228b-4523-41fa12b5d242,public-global-vessel-identity:v4.0
Vanquish,244561000,NLD,Netherlands,Cargo,24,ef1592f3f-f910-5a0b-3be6-b3654e823655,public-global-vessel-identity:v4.0
Liaki Freedom,538002879,MHL,Marshall Islands,Bunker,22,a17d49093-314f-9a7d-b960-6847e4a3a98f,public-global-vessel-identity:v4.0
Norwegian Escape,311000341,BHS,Bahamas,Passenger,20,7aa577a56-606e-5379-2f52-080a252d3c53,public-global-vessel-identity:v4.0
Caribe Navigator,305289000,ATG,Antigua and Barbuda,Cargo,17,b373b24c1-1ae4-4d64-4075-c33356d010e3,public-global-vessel-identity:v4.0
Norwegian Getaway,311050900,BHS,Bahamas,Passenger,16,f5421d3e1-1ef8-2cdf-4ca8-4cabf6d4915e,public-global-vessel-identity:v4.0
Tropic Jade,377907000,VCT,Saint Vincent and the Grenadines,Cargo,14,8ed75ea6c-ca57-384f-b122-95ba80a78499,public-global-vessel-identity:v4.0
Unknown vessel,367765730,USA,United States of America,Passenger,13,08b37cf53-34cd-0c26-6667-9b6242242990,public-global-vessel-identity:v4.0
Unknown vessel,368122970,USA,United States of America,Passenger,13,bf70e5fb8-8709-8664-b9d7-43c28dfdda3e,public-global-vessel-identity:v4.0
Caribe Mariner,304010618,ATG,Antigua and Barbuda,Cargo,12,b852910cc-cd37-0f04-45ed-7b9518259eef,public-global-vessel-identity:v4.0
Tropic Mist,377908000,VCT,Saint Vincent and the Grenadines,Cargo,11,c61fba168-8670-c9aa-12eb-481b2cb9355f,public-global-vessel-identity:v4.0
Unknown vessel,378113555,VGB,British Virgin Islands,Passenger,8,bfb7c80de-ed7c-9da5-2489-e985fecb3746,public-global-vessel-identity:v4.0
Kennington,566900000,SGP,Singapore,Other,7,54c54c53e-e0ec-3761-1135-f4e3f3815978,public-global-vessel-identity:v4.0
Magnificent,378113555,VGB,British Virgin Islands,Passenger,7,8bf5fda88-8e56-a908-6501-066c02836af5,public-global-vessel-identity:v4.0
Lucie Schulte,565213000,SGP,Singapore,Cargo,6,02861f249-9bdd-b1a1-10fd-a837510fe50a,public-global-vessel-identity:v4.0
M/Y Knight,339854000,JAM,Jamaica,Passenger,6,57766f017-7370-4950-a1eb-c1e8d46eebb6,public-global-vessel-identity:v4.0
Margarete Schulte,249837000,MLT,Malta,Cargo,6,3d2d2ccba-add6-eb5c-54a3-d4bbb7b15974,public-global-vessel-identity:v4.0
Visitor,255805839,PRT,Portugal,Cargo,6,8b2aa8778-8f5e-a3c6-fbe2-395c70e384a4,public-global-vessel-identity:v4.0
Norwegian Prima,311001059,BHS,Bahamas,Passenger,6,159fc30ca-a8e9-0115-ba7e-bb1b68535381,public-global-vessel-identity:v4.0
J.C. Griffith,312458000,BLZ,Belize,Cargo,6,4a5e1300d-d097-7cdc-bf56-1b2055bc3b2d,public-global-vessel-identity:v4.0
Norwegian Encore,311000879,BHS,Bahamas,Passenger,6,8802041a4-4aef-031c-3bd4-cae5be48c0af,public-global-vessel-identity:v4.0
Sea Majestic,636017874,LBR,Liberia,Other,6,d0e3b497b-baec-7482-41c6-b9a2fbe54c33,public-global-vessel-identity:v4.0
Unknown vessel,368001110,USA,United States of America,Passenger,6,bc787fa53-38f4-e4bd-134d-163563f4c63e,public-global-vessel-identity:v4.0
Synthesis,538071810,MHL,Marshall Islands,Passenger,5,da671eff1-18da-56c7-3455-7b69195953ab,public-global-vessel-identity:v4.0
Xyzzy(Just Spell It),367655470,USA,United States of America,Passenger,5,f0f9e9d4c-cce4-23dc-61f5-9967abdcbc4c,public-global-vessel-identity:v4.0
Am Phoenix,538011508,MHL,Marshall Islands,Seismic vessel,5,303d6d332-25e5-3bef-658b-7fa896c87691,public-global-vessel-identity:v4.0
Erato,636015002,LBR,Liberia,Cargo,5,bd4be52ab-b8c4-2ac6-4136-e18bdf3f83a7,public-global-vessel-identity:v4.0
Aj Ellis,312783000,BLZ,Belize,Other,5,1bdf2b2f0-0bef-47f6-19c3-31833c8f332d,public-global-vessel-identity:v4.0
Eco Stream,538005492,MHL,Marshall Islands,Other,5,af37f6c84-47b8-4f45-9b65-9dcfd2acda66,public-global-vessel-identity:v4.0
Norwegian Dawn,311307000,BHS,Bahamas,Passenger,5,16a7ab307-76e5-1e74-79d7-8350f48484b7,public-global-vessel-identity:v4.0
Belize Aggressor III,312611000,BLZ,Belize,Other,5,aaa99c7b8-8e84-f9ca-c203-6b285c45afcb,public-global-vessel-identity:v4.0
Maersk Bahamas,563096500,SGP,Singapore,Cargo,4,725e5e076-6d52-238b-4252-2070727437df,public-global-vessel-identity:v4.0
As Fabiana,255806102,PRT,Portugal,Cargo,4,5bb80705a-ad4d-c6d9-771e-753ee186e582,public-global-vessel-identity:v4.0
Oslo Bulk 12,305996000,ATG,Antigua and Barbuda,Cargo,4,ffc9115e3-3a67-72b4-866c-34d1986b0f13,public-global-vessel-identity:v4.0
Ventana,368122970,USA,United States of America,Passenger,4,5fbac0d3c-c75a-64ed-8f58-d0e56a5c53ee,public-global-vessel-identity:v4.0
Unknown vessel,312611000,BLZ,Belize,Other,4,8136a7509-9fc2-0f6d-5f5c-a86872c9c1ac,public-global-vessel-identity:v4.0
Blind Traverse,368172890,USA,United States of America,Passenger,4,93e3c1093-3f02-fdc3-75f2-cd2f6202e345,public-global-vessel-identity:v4.0
Maersk Nansha,477111700,HKG,Hong Kong,Cargo,4,c3cdcee22-2ffe-838c-00eb-c71fed021972,public-global-vessel-identity:v4.0
Theodor,305506000,ATG,Antigua and Barbuda,Cargo,3,1faaa0d70-0ab9-2380-ec27-4284714dfa22,public-global-vessel-identity:v4.0
Sider  Cartagena,235010180,GBR,United Kingdom,Cargo,3,dc4158792-294e-7e01-5d86-fd0a0ed4c3fc,public-global-vessel-identity:v4.0
Norwegian Gem,309951000,BHS,Bahamas,Passenger,3,8c9b215d0-007a-8ae8-bc3b-31707cbaa010,public-global-vessel-identity:v4.0
Unknown vessel,367002410,USA,United States of America,Other,3,6b950e079-9619-34c4-b86e-3bbcbdab189e,public-global-vessel-identity:v4.0
Em Corfu,538007209,MHL,Marshall Islands,Cargo,3,a4c8e4cf5-5805-3fb5-fb7d-7fd033f1e630,public-global-vessel-identity:v4.0
Genius Star XII,351550000,PAN,Panama,Cargo,3,073e0746b-b955-eb77-85d4-f5d96c112321,public-global-vessel-identity:v4.0
