name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Pilot Boat 5,710007339,BRA,Brazil,Passenger,1146,bfc267337-7759-3439-187a-7638fa7dc5b1,public-global-vessel-identity:v4.0
Sao Gabriel,710002278,BRA,Brazil,Passenger,1056,3757b559c-c2e6-9cc5-46af-a2fbbf052e31,public-global-vessel-identity:v4.0
Cidade De Araioses,710003332,BRA,Brazil,Passenger,1009,cb969a478-8e6a-3777-ffa4-c57f10ff4452,public-global-vessel-identity:v4.0
Pilot Boat P03,710014770,BRA,Brazil,Passenger,971,51aba2f6d-d777-a787-f959-72f77913bb7f,public-global-vessel-identity:v4.0
Rapida 1,710011190,BRA,Brazil,Other,901,e777536f8-85e3-3529-df03-c12a9b6b5fdf,public-global-vessel-identity:v4.0
Pilot Boat P01,710001718,BRA,Brazil,Passenger,897,8ba4566f2-228a-b028-4ff6-035252c65b61,public-global-vessel-identity:v4.0
Itapua,710011590,BRA,Brazil,Passenger,879,bd5296ede-e0ab-64bd-555c-8338866b13d1,public-global-vessel-identity:v4.0
Alcantara,710004519,BRA,Brazil,Passenger,849,db58e525e-e5de-25f8-1131-4c6d30702cf5,public-global-vessel-identity:v4.0
Pilot Boat Falcon,710006987,BRA,Brazil,Other,844,04d660bcf-f301-fec4-eb84-2ec1823e0796,public-global-vessel-identity:v4.0
Jaruma,9130826,---,---,Passenger,810,7f7afd161-1f34-5ea9-6750-788d67b02ff3,public-global-vessel-identity:v4.0
Pilot Boat P05,710014780,BRA,Brazil,Passenger,776,881f150dc-c323-630d-8bf0-10ff5fe205a5,public-global-vessel-identity:v4.0
Pilot Boat P02,710001696,BRA,Brazil,Passenger,750,023a01866-6598-b172-4c23-8c826d42c68f,public-global-vessel-identity:v4.0
Pilot Palangana II,710007793,BRA,Brazil,Passenger,740,a354b2dfe-e4ca-d395-d638-453b5910931a,public-global-vessel-identity:v4.0
Pilot Boat Fenix,710005913,BRA,Brazil,Passenger,664,21097318f-fb6a-b68a-c707-695715bda450,public-global-vessel-identity:v4.0
Pilot Boat 8,710005179,BRA,Brazil,Passenger,656,6ac8d3558-8fe2-ff90-7d29-a2f21efc64e5,public-global-vessel-identity:v4.0
Catsul 1,710008650,BRA,Brazil,Passenger,652,180ff34c2-24b4-3aa6-8e5a-f7a114eafad1,public-global-vessel-identity:v4.0
Pilot Boat VI,710005233,BRA,Brazil,Passenger,643,f5c391ca3-3fb1-bf05-ac58-83786a0779e6,public-global-vessel-identity:v4.0
Maersk Vega,710001720,BRA,Brazil,Other,642,a1cbcd279-9218-da60-fd5a-9b4609d2a26d,public-global-vessel-identity:v4.0
Pilot Boat 3,710008090,BRA,Brazil,Passenger,633,63a63ee26-6a43-4f2b-da3c-6e3bae3132ba,public-global-vessel-identity:v4.0
Pilot 05,710008460,BRA,Brazil,Other,627,d3038cb06-642b-5d58-4311-95f8369b4e89,public-global-vessel-identity:v4.0
Onwa30831,9130831,---,---,Passenger,626,fb79e4fca-a22e-f53f-a7ca-eb81c91fa6c0,public-global-vessel-identity:v4.0
Pilot 07,710008470,BRA,Brazil,Passenger,571,e08f59b7e-ec96-8803-0b43-7806a6239059,public-global-vessel-identity:v4.0
Gms Brazil XII,710006533,BRA,Brazil,Passenger,564,8020b3224-42f9-b2e3-bca8-2ac64ee5db78,public-global-vessel-identity:v4.0
Cururupu,710004525,BRA,Brazil,Passenger,558,1d8316fcd-d76a-8985-4ded-0a2d7b2b08ad,public-global-vessel-identity:v4.0
Catsul II,710003982,BRA,Brazil,Passenger,542,836fc7e76-68d7-20fe-7b7b-bdaf69fe071a,public-global-vessel-identity:v4.0
Pilot Palangana X,710007866,BRA,Brazil,Passenger,537,69204308a-ae73-8c68-4817-21c51547ead4,public-global-vessel-identity:v4.0
Vale Marambaia,710013920,BRA,Brazil,Passenger,495,2eb989f5c-c3e4-1bab-bff9-185f453dd71e,public-global-vessel-identity:v4.0
Pilot Boat 7,710007940,BRA,Brazil,Passenger,459,a1350398b-b516-a211-4ef1-3f546993c85c,public-global-vessel-identity:v4.0
Maersk Ventura,710002450,BRA,Brazil,Other,456,f08951e60-01a2-3ee0-d5dc-36b6ed2b9a62,public-global-vessel-identity:v4.0
Gms Brazil I,710006186,BRA,Brazil,Passenger,454,035019471-1b37-f8ea-6f83-9b22f2a84fca,public-global-vessel-identity:v4.0
Surfer 1870,710000258,BRA,Brazil,Other,426,82f21e2cf-f089-d7ed-40a0-d39c0c21805e,public-global-vessel-identity:v4.0
Durival,710028850,BRA,Brazil,Other,426,7801fe0d2-2169-2b2f-f56c-75f4abbf89df,public-global-vessel-identity:v4.0
Hang Jun 3011,413297380,CHN,China,Other,405,978d76006-69a0-1c3b-24bf-db08edc4c416,public-global-vessel-identity:v4.0
Henvil I,710005641,BRA,Brazil,Passenger,398,722a422f2-27c5-9a0e-691a-76f1c5e08378,public-global-vessel-identity:v4.0
Pilot Boat P09,710006762,BRA,Brazil,Passenger,394,45b3182f6-6075-94b7-79ec-ee9344bf25a2,public-global-vessel-identity:v4.0
Pilot Milton Antunes,710004732,BRA,Brazil,Other,393,b63b4f8db-b439-3e92-80f6-f95aa4585342,public-global-vessel-identity:v4.0
Pilot Boat 2,710008080,BRA,Brazil,Passenger,392,23806582c-c248-d908-9e2d-5302b2494975,public-global-vessel-identity:v4.0
Campos Captain,710001510,BRA,Brazil,Other,391,8fa723694-41bc-7f50-bf94-c07ca929159c,public-global-vessel-identity:v4.0
Aqua Helix,710033570,BRA,Brazil,Other,390,df9acac15-5304-68fb-242c-0ee461286e95,public-global-vessel-identity:v4.0
Unknown vessel,710005659,BRA,Brazil,Passenger,389,0ca2d1368-8818-ba1e-3ffb-14888694a6c7,public-global-vessel-identity:v4.0
Galileo Galilei,253676000,LUX,Luxembourg,Other,382,449098697-7d93-eebf-d5c8-aa8322e0b623,public-global-vessel-identity:v4.0
Pilot 15,710007493,BRA,Brazil,Passenger,382,8ff319e00-08e7-4372-5a89-eecf08e6c241,public-global-vessel-identity:v4.0
Campos Challenger,710003680,BRA,Brazil,Other,381,7aec28b7a-ac5d-0e61-9990-dde30e0a28dc,public-global-vessel-identity:v4.0
Rei De Camandi VI,710003576,BRA,Brazil,Other,374,761b07e4d-d2d1-3948-5d45-1fe23855410b,public-global-vessel-identity:v4.0
Maria Mulata,710002846,BRA,Brazil,Passenger,368,aa9256d92-261d-6b0e-05cb-127170615b20,public-global-vessel-identity:v4.0
Cidade De Pinheiro,710007144,BRA,Brazil,Passenger,366,aee9b9ac6-62f6-a0bf-4481-c45aab1f5d49,public-global-vessel-identity:v4.0
Saam Potiguar,710017090,BRA,Brazil,Other,355,4b5544d9f-f6d6-0f1d-db0d-f12d4d685d9d,public-global-vessel-identity:v4.0
Gamboa Do Morro,710002865,BRA,Brazil,Passenger,347,8c9166686-65f1-7ac4-3ba3-0304968dbe0a,public-global-vessel-identity:v4.0
Pilot Boat V,710005232,BRA,Brazil,Passenger,344,b64825b5b-b9b3-57e7-3f65-9b38348b917f,public-global-vessel-identity:v4.0
Campos Commander,710003420,BRA,Brazil,Other,341,5437f78df-fa7b-994f-4930-2b97b718fe17,public-global-vessel-identity:v4.0
