name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Sea Rescue 1,232059881,GBR,United Kingdom,Other,19,5c2a6256e-e6bf-a9ec-b00d-5f120f61c9b8,public-global-vessel-identity:v4.0
Bad Company,368304000,USA,United States of America,Other,14,4c64c5748-8b6f-c765-ad64-856580decf20,public-global-vessel-identity:v4.0
Sea Rescue 1,232030654,GBR,United Kingdom,Other,6,db05201a3-3c3d-8bb0-de00-88d105da1e0a,public-global-vessel-identity:v4.0
Rupert,232025727,GBR,United Kingdom,Passenger,4,0cdedd74e-efb4-1776-a527-90e61c2a369a,public-global-vessel-identity:v4.0
Anvil Point,235572000,GBR,United Kingdom,Cargo,3,48fcacd8c-c782-2209-66d9-f06cf0e96cb5,public-global-vessel-identity:v4.0
Hartland Point,235505000,GBR,United Kingdom,Cargo,3,103f8f90a-a869-95f9-0b6e-be1092bce195,public-global-vessel-identity:v4.0
Usns Pathfinder,303925000,USA,United States of America,Seismic vessel,2,5a3dff997-72b6-6aa3-6712-28fc2576e6ca,public-global-vessel-identity:v4.0
Oosterschelde,246011000,NLD,Netherlands,Passenger,2,0cd595e5a-a817-1ee0-5e74-eec0284aacc8,public-global-vessel-identity:v4.0
Karoline,304924000,ATG,Antigua and Barbuda,Cargo,2,b7c11e9d4-4a34-d457-5926-2b50f9a2b945,public-global-vessel-identity:v4.0
Cielo DI Rotterdam,636018456,LBR,Liberia,Other,1,e73ec5b08-8231-5c5d-e02a-b266180623aa,public-global-vessel-identity:v4.0
Pazzo,367660570,USA,United States of America,Passenger,1,ce07db97f-fd2f-834c-78fd-f47f4728efa5,public-global-vessel-identity:v4.0
Acushnet,368190510,USA,United States of America,Passenger,1,bd06ad8ec-cf3c-04cc-4a31-b48ff6f3fb9d,public-global-vessel-identity:v4.0
Condor Patagonia,305410000,ATG,Antigua and Barbuda,Cargo,1,e15ab7f4c-cfa0-f447-5187-7bf4ee76b3bd,public-global-vessel-identity:v4.0
Tatooine,219024792,DNK,Denmark,Passenger,1,8ecf7c792-27ea-f421-c267-e167cfe475bd,public-global-vessel-identity:v4.0
Tir Na Nog,232038384,GBR,United Kingdom,Passenger,1,86ff0b313-36c9-756e-daed-0c0e34bef535,public-global-vessel-identity:v4.0
Jefferson Morgan,227701440,FRA,France,Passenger,1,f756f071d-d8a0-ea22-6afa-e71a0164f650,public-global-vessel-identity:v4.0
Bad Company Support,538071697,MHL,Marshall Islands,Passenger,1,9ce80bcad-d177-cf30-00ff-e8280d52c3b9,public-global-vessel-identity:v4.0
Poco Loco,235103416,GBR,United Kingdom,Passenger,1,4605815d2-2398-cac5-8fa3-6fe33d92bc21,public-global-vessel-identity:v4.0
Hermione III,232043757,GBR,United Kingdom,Passenger,1,3a8407fb8-845d-615c-ca51-6eff77239bc8,public-global-vessel-identity:v4.0
Traverse,232054270,GBR,United Kingdom,Passenger,1,45cc9d319-9cbd-c97b-2f33-3bbc62401d4d,public-global-vessel-identity:v4.0
Mexican Wave,232046644,GBR,United Kingdom,Passenger,1,3fd4610e3-3624-2d00-4c84-6bd519901cf1,public-global-vessel-identity:v4.0
