name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Spirit Of St.George,311000792,BHS,Bahamas,Passenger,396,bda4662bc-ccae-9425-1365-75e268eef03c,public-global-vessel-identity:v4.0
St. David,310628000,BMU,Bermuda,Passenger,162,98ea01b71-1513-62e2-24fd-01f2729bf4a5,public-global-vessel-identity:v4.0
St. George,310838000,BMU,Bermuda,Passenger,147,f7f2d64a3-3e8b-c093-4fe2-b2a718444476,public-global-vessel-identity:v4.0
Serenity,310367000,BMU,Bermuda,Passenger,109,d779a3ff8-8b03-de47-108d-bf8e33ce0cbb,public-global-vessel-identity:v4.0
Warbaby Fox,310996137,BMU,Bermuda,Passenger,92,4f53b5f5c-c0f4-9902-4502-8f0420e72cec,public-global-vessel-identity:v4.0
J.L. Cecil Smith,310996202,BMU,Bermuda,Passenger,85,f96f40e5c-cec1-10de-02ca-a956a42954cf,public-global-vessel-identity:v4.0
Powerful,310796000,BMU,Bermuda,Other,77,e06f817fb-bd9c-ff1d-47cc-53246e7d1b38,public-global-vessel-identity:v4.0
Faithful,310798000,BMU,Bermuda,Other,76,2fbc49023-3dc2-23ba-0366-6843c28aaba0,public-global-vessel-identity:v4.0
Reef Explorer,310996436,BMU,Bermuda,Passenger,73,9445cf9b3-3f30-d238-0763-62a7f64fcaa9,public-global-vessel-identity:v4.0
Rescue 1,310435000,BMU,Bermuda,Passenger,61,0f9048de7-7e95-c401-fa89-f59030c0948f,public-global-vessel-identity:v4.0
Oleander,538008204,MHL,Marshall Islands,Cargo,51,efe975558-868f-a65c-e48d-e1dc24e585cb,public-global-vessel-identity:v4.0
Resolute,310369000,BMU,Bermuda,Passenger,51,dd102ebd2-2aca-aa38-6a87-a809bcf9a17d,public-global-vessel-identity:v4.0
Bermuda Islander,244820000,NLD,Netherlands,Other,49,a97d47538-8ff8-466a-b1d8-2e5187b7ac65,public-global-vessel-identity:v4.0
41-J,310996791,BMU,Bermuda,Passenger,47,18c5d8f22-2f89-6841-e5d5-be6da26cfd03,public-global-vessel-identity:v4.0
Morning Star,310996075,BMU,Bermuda,Fishing,45,b67f05089-9474-e150-c1b6-577007dfc7fa,public-global-vessel-identity:v4.0
41-K,310996790,BMU,Bermuda,Passenger,38,ad5b5202c-cbc5-d85b-a96a-7a4cf85cb59d,public-global-vessel-identity:v4.0
Atlantic Explorer,303591000,USA,United States of America,Seismic vessel,34,677822c49-9f4b-df22-286e-a20c2a6918b2,public-global-vessel-identity:v4.0
