name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Karoline,304924000,ATG,Antigua and Barbuda,Cargo,12,b7c11e9d4-4a34-d457-5926-2b50f9a2b945,public-global-vessel-identity:v4.0
John Mellis,665111113,SHN,Saint Helena,Other,10,5d9767fb5-54de-3432-7852-824e6a476c64,public-global-vessel-identity:v4.0
Sea Rescue 2,665111114,SHN,Saint Helena,Passenger,10,d9e2d35d6-6bdd-d857-3417-e162a3052ec4,public-global-vessel-identity:v4.0
Ardbeg,352986144,PAN,Panama,Other,5,e2bbda506-60b4-1b26-f6cd-eda884dae35e,public-global-vessel-identity:v4.0
Oosterschelde,246011000,NLD,Netherlands,Passenger,3,0cd595e5a-a817-1ee0-5e74-eec0284aacc8,public-global-vessel-identity:v4.0
Karoline,538090710,MHL,Marshall Islands,Cargo,3,083014424-467e-afcc-2d74-5999b3c73f6c,public-global-vessel-identity:v4.0
Saint Anselme,227073520,FRA,France,Passenger,3,c84d642e3-3466-6033-6de5-65b087407b1a,public-global-vessel-identity:v4.0
Mwera,601693100,ZAF,South Africa,Passenger,2,667738048-8c1a-c093-d208-a7c3cbc9df45,public-global-vessel-identity:v4.0
St Albatros,665111134,SHN,Saint Helena,Other,2,990f86e71-1587-cc1b-8b1a-2e2c4b63d0bb,public-global-vessel-identity:v4.0
Asteria,518999313,COK,Cook Islands,Other,2,d84e03e8f-f3c9-58fe-f589-d98fe1b0ddfa,public-global-vessel-identity:v4.0
Jazofi,232047222,GBR,United Kingdom,Passenger,2,0c6bebc51-1c5d-2b98-9cfb-30684526475e,public-global-vessel-identity:v4.0
Painted Skies,367197330,USA,United States of America,Passenger,1,515e3352f-fa1b-1268-e9dd-893763ab70f7,public-global-vessel-identity:v4.0
Escapade Of London,235006359,GBR,United Kingdom,Passenger,1,f46aef8a7-7578-711d-08f6-b691a5e9c5c2,public-global-vessel-identity:v4.0
S/V Seaesta,368390890,USA,United States of America,Passenger,1,f013de1a2-207d-403f-9816-dc455ea2f7e0,public-global-vessel-identity:v4.0
Unknown vessel,601142900,ZAF,South Africa,Passenger,1,c926e8f68-820a-e413-1e88-14c24f18a86e,public-global-vessel-identity:v4.0
The World - Zodiac19,983119019,---,---,Passenger,1,e0f594907-7bab-93dc-7d51-8eba7f044752,public-global-vessel-identity:v4.0
Unlimited,538072655,MHL,Marshall Islands,Other,1,cfb6a18a5-5c5c-3c9d-d7de-2d50b18ded89,public-global-vessel-identity:v4.0
Acushnet,368190510,USA,United States of America,Passenger,1,bd06ad8ec-cf3c-04cc-4a31-b48ff6f3fb9d,public-global-vessel-identity:v4.0
Bolette Tender 12,983110407,---,---,Passenger,1,8d2b30e0e-e181-c302-db7f-cc15161366a0,public-global-vessel-identity:v4.0
Arco Iris,261005107,POL,Poland,Passenger,1,9eeddc270-092b-d717-4acd-0cf1c5d497ab,public-global-vessel-identity:v4.0
Searcher,368191020,USA,United States of America,Passenger,1,2184e73be-e8a2-6d66-d0f8-4b5fdd96c266,public-global-vessel-identity:v4.0
S/V Porthmeor,232057674,GBR,United Kingdom,Passenger,1,2bb2bb89b-b453-c3ea-4d98-8b343c661db6,public-global-vessel-identity:v4.0
Manaloa,211778690,DEU,Germany,Passenger,1,da61edb62-222d-269a-f85e-451a01b74a3a,public-global-vessel-identity:v4.0
Peruagus,269116590,CHE,Switzerland,Passenger,1,ddfc5e6f5-5411-4ad9-69e2-9b73afd348ef,public-global-vessel-identity:v4.0
Pazzo,367660570,USA,United States of America,Passenger,1,ce07db97f-fd2f-834c-78fd-f47f4728efa5,public-global-vessel-identity:v4.0
The World,311213000,BHS,Bahamas,Passenger,1,d0b924e89-9ed3-78a5-75c7-9744b6d658d1,public-global-vessel-identity:v4.0
S/Y Mistral,235003323,GBR,United Kingdom,Passenger,1,e9ed0c179-9d8e-7b1b-e755-3587193745d3,public-global-vessel-identity:v4.0
Sun Child,325109400,DMA,Dominica,Passenger,1,8a1db57b8-8ad1-dfd6-6c79-8990e51ccefd,public-global-vessel-identity:v4.0
Airborne,316033362,CAN,Canada,Other,1,31d1dde04-4d02-69f6-d4ee-66c5957c9f97,public-global-vessel-identity:v4.0
