name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Seacat 1,207833430,BGR,Bulgaria,Passenger,278,62f4aecb9-9a0f-f17c-6efb-80ce075bb597,public-global-vessel-identity:v4.0
Taiti,207826860,BGR,Bulgaria,Passenger,240,ff587546e-e08b-9b87-f58c-e65deeae5985,public-global-vessel-identity:v4.0
Rk40,207425000,BGR,Bulgaria,Fishing,217,ecf6b086b-b939-5019-4b56-21eba7e52306,public-global-vessel-identity:v4.0
Niko,207822580,BGR,Bulgaria,Fishing,199,c3b26752b-b810-2f2c-3feb-e95f09d896fe,public-global-vessel-identity:v4.0
R/K 26,207420000,BGR,Bulgaria,Fishing,196,46935cee3-3601-a6cb-d4cb-0bfae342ba94,public-global-vessel-identity:v4.0
Rk29,207822670,BGR,Bulgaria,Fishing,195,70c467819-9aa8-364d-9639-3e74b86ecc18,public-global-vessel-identity:v4.0
Meduza 3,207428000,BGR,Bulgaria,Fishing,189,20774656d-db23-8860-588f-40a239e0518d,public-global-vessel-identity:v4.0
Poseidon 2024,207838520,BGR,Bulgaria,Fishing,186,977e5ce70-08b7-ed91-eda7-5ba446cc59c1,public-global-vessel-identity:v4.0
Herson,207822650,BGR,Bulgaria,Fishing,173,66baf959c-cfde-e2e2-afdf-6841e08d864b,public-global-vessel-identity:v4.0
Sveti Nikola I,207826760,BGR,Bulgaria,Fishing,169,fc7e61e0a-ae36-7d65-a6ba-6e405641de04,public-global-vessel-identity:v4.0
Rk28,207422000,BGR,Bulgaria,Fishing,162,9cd5c5126-665d-7b4d-457e-d135a03cc04c,public-global-vessel-identity:v4.0
Valnobor 3,207824690,BGR,Bulgaria,Fishing,160,16ae77882-2095-731c-c24e-f8aca6cd9d1e,public-global-vessel-identity:v4.0
Ishtar,207833240,BGR,Bulgaria,Fishing,158,72627488d-d09b-6454-eaf7-36c633b98ea7,public-global-vessel-identity:v4.0
Ivana,207835290,BGR,Bulgaria,Fishing,146,0bdd97d48-8e0b-5b67-72fd-0883f1e2d011,public-global-vessel-identity:v4.0
Rk41,207426000,BGR,Bulgaria,Fishing,137,d1b10002c-c86a-9894-919f-a9bb2fe99a33,public-global-vessel-identity:v4.0
Rk37,207424000,BGR,Bulgaria,Fishing,131,445b5c486-657c-0836-7f96-4269a78b72e3,public-global-vessel-identity:v4.0
Sveti Nikola,207822570,BGR,Bulgaria,Fishing,117,bc013b668-8299-470d-bcb1-cf734c08e721,public-global-vessel-identity:v4.0
Bubo,207839230,BGR,Bulgaria,Passenger,114,3639eee27-7f16-68a6-9da7-f50b8607dcd4,public-global-vessel-identity:v4.0
Rk27,207421000,BGR,Bulgaria,Fishing,111,dae1f89a4-4826-eb3d-4db8-2aaff5e241c3,public-global-vessel-identity:v4.0
Korsar II,207833350,BGR,Bulgaria,Fishing,105,abad30216-6002-eb01-adc8-025ee381353d,public-global-vessel-identity:v4.0
F/V Odesos,207822750,BGR,Bulgaria,Fishing,99,8984fb985-59d2-6130-ee65-493a9fc47de5,public-global-vessel-identity:v4.0
Med Cesme,271052110,TUR,Turkey,Cargo,97,c9504375c-c913-32d0-c5c2-34dd81f39336,public-global-vessel-identity:v4.0
Libra,207829890,BGR,Bulgaria,Fishing,97,d656f939a-acf4-fe9c-d8a1-428ebe2567ce,public-global-vessel-identity:v4.0
Viking,207828370,BGR,Bulgaria,Fishing,85,7f48d74d2-28cf-662e-019d-ea09403a4e7d,public-global-vessel-identity:v4.0
Sveti Nikola 1,207343600,BGR,Bulgaria,Fishing,82,49372c472-2497-c6bc-5a22-d5e979c7fadd,public-global-vessel-identity:v4.0
Kyk,207829430,BGR,Bulgaria,Passenger,80,2dfd8d353-320a-d7c3-25bb-fa35c8ddf1c0,public-global-vessel-identity:v4.0
Kiril 45,207427000,BGR,Bulgaria,Fishing,78,36808692f-f5f5-b85e-ffd7-2ffe05ea235f,public-global-vessel-identity:v4.0
Delta,207822280,BGR,Bulgaria,Fishing,77,f8855c865-5abb-b9e0-0887-7df697871efa,public-global-vessel-identity:v4.0
Infinity,207838630,BGR,Bulgaria,Passenger,76,0d276bd00-02a3-18c9-5ddc-ad08083b9d95,public-global-vessel-identity:v4.0
