name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Mar D`Canal,617064000,CPV,Cape Verde,Passenger,1464,825b76e86-6512-10a1-3120-beac8e7e6f95,public-global-vessel-identity:v4.0
Chiquinho Bl,617111000,CPV,Cape Verde,Passenger,1324,028a197e9-9c76-28f7-d708-0bfd94bda94f,public-global-vessel-identity:v4.0
Dona Tututa,617117000,CPV,Cape Verde,Passenger,665,271e0b9b4-476d-d4e6-95e0-f80ce7402869,public-global-vessel-identity:v4.0
Kriola,617074000,CPV,Cape Verde,Passenger,566,5a05d720d-df87-f982-e54e-6bd454aaa473,public-global-vessel-identity:v4.0
Liberdadi,617075000,CPV,Cape Verde,Passenger,464,7e379230c-cda4-73a6-6fd8-2bc3b5c71504,public-global-vessel-identity:v4.0
Harpa Doris,617069000,CPV,Cape Verde,Other,220,4de4e0e79-9a8a-c1ae-8983-4e41341e8c48,public-global-vessel-identity:v4.0
Ostrea,617091000,CPV,Cape Verde,Cargo,193,5046d85c2-2a6e-4f24-5fde-a0ad9e0a6bd5,public-global-vessel-identity:v4.0
Dalliance Chichester,235116977,GBR,United Kingdom,Passenger,192,c201377df-f8ae-d07b-b8b2-d57a4dc506ce,public-global-vessel-identity:v4.0
13 De Janeiro,617098000,CPV,Cape Verde,Cargo,190,84fc96aa7-7792-52b2-1e79-1be95885335c,public-global-vessel-identity:v4.0
Inter-Ilhas,617099000,CPV,Cape Verde,Passenger,158,103620a28-8f9d-0ad6-25a8-a685f710122c,public-global-vessel-identity:v4.0
Boavista,617023000,CPV,Cape Verde,Cargo,149,81c71cf41-1b2e-c656-beb4-f1784baa9c11,public-global-vessel-identity:v4.0
Leao Do Mar,617131000,CPV,Cape Verde,Fishing,148,a7be7dfe9-906e-36eb-ea0a-1968be9fc3eb,public-global-vessel-identity:v4.0
Lagoa,617105000,CPV,Cape Verde,Cargo,124,c426785a6-616f-1589-249c-d604dc0745b5,public-global-vessel-identity:v4.0
Atlantis Antao,617112000,CPV,Cape Verde,Other,102,ddc296288-8c48-09af-3d72-c3f11e3d9cad,public-global-vessel-identity:v4.0
Cipreia,617068000,CPV,Cape Verde,Other,99,0d495ede1-1083-b2ed-a803-7076128adb3a,public-global-vessel-identity:v4.0
Lir Goraz,617132000,CPV,Cape Verde,Passenger,68,59c274cb4-4b95-2b9f-cb3e-8189d57c55d5,public-global-vessel-identity:v4.0
My Victoria,617103000,CPV,Cape Verde,Fishing,65,b2356ae33-3e0c-5041-b91d-6b7815b92ffe,public-global-vessel-identity:v4.0
B.Leza,617128000,CPV,Cape Verde,Bunker,64,78b246944-4c77-107e-5384-3c66f8f8d28a,public-global-vessel-identity:v4.0
Akhisar,636022809,LBR,Liberia,Other,63,6a0a7c9f6-697b-07ec-f2c5-867d935a984d,public-global-vessel-identity:v4.0
Blue Oceans,247213440,ITA,Italy,Other,62,2735bf866-6ed2-db2c-d95b-02ef7158a95e,public-global-vessel-identity:v4.0
Sude-S,215516000,MLT,Malta,Other,61,a30a75cde-ea48-0381-1363-f860778af3f3,public-global-vessel-identity:v4.0
Viennese Waltz,232038938,GBR,United Kingdom,Passenger,54,cc7de2486-6859-5054-372d-e186f1790b1e,public-global-vessel-identity:v4.0
Lir Voador,617133000,CPV,Cape Verde,Passenger,50,eed9467bc-c1d9-4b68-ae38-cf76e7baa351,public-global-vessel-identity:v4.0
Nuevo Luz Alba,617130000,CPV,Cape Verde,Fishing,43,4a3c6e4a8-8d41-342d-0108-be9b5e9566f6,public-global-vessel-identity:v4.0
Nho Padre Benjamim,617010200,CPV,Cape Verde,Cargo,38,c956beccc-c9e8-34c7-a084-b772adbfb829,public-global-vessel-identity:v4.0
Bmi Express,636023621,LBR,Liberia,Other,38,cdf055fdc-ce75-8d1d-a610-34055ffc8c02,public-global-vessel-identity:v4.0
Le Ponant,227186000,FRA,France,Passenger,38,862b061fb-bbcc-a17d-9653-a3b987c23ba7,public-global-vessel-identity:v4.0
Ete Portugal,277583000,LTU,Lithuania,Other,37,7347e71cc-cdcc-a158-d0f3-6be8c0063dca,public-global-vessel-identity:v4.0
Alboran Prosecco,225989606,ESP,Spain,Passenger,37,2009bde97-7f8d-ef2c-6ea2-c273c0b2f8c9,public-global-vessel-identity:v4.0
Gulf Rain,341643000,KNA,Saint Kitts and Nevis,Other,36,ab2367bf9-9bce-8aa7-0633-4ee6c3380a86,public-global-vessel-identity:v4.0
Raquel S,255806136,PRT,Portugal,Cargo,35,b97664068-8d28-2fe3-3c74-c36300dbee7f,public-global-vessel-identity:v4.0
Harmony V,240937000,GRC,Greece,Passenger,34,b26619931-131b-c2ea-b510-e238f496f95d,public-global-vessel-identity:v4.0
Unknown vessel,617086000,CPV,Cape Verde,Fishing,32,01720dbdb-b5f0-8c56-4fed-d69118889049,public-global-vessel-identity:v4.0
Alboran Pacharan,225991467,ESP,Spain,Passenger,29,0652392c3-33d7-2d9d-a8a9-ce552f439a38,public-global-vessel-identity:v4.0
Atlantic Express,304221000,ATG,Antigua and Barbuda,Cargo,27,3c32c4c90-0efc-f47f-9082-669b73546921,public-global-vessel-identity:v4.0
Teos,314773000,BRB,Barbados,Cargo,27,38dd13005-5675-3707-b107-cbb4ade9dc8e,public-global-vessel-identity:v4.0
Ponta Do Sol,617104000,CPV,Cape Verde,Cargo,25,c10b36e74-4d1a-fba3-2077-abe048c3a773,public-global-vessel-identity:v4.0
Alboran Mahanga,225987693,ESP,Spain,Passenger,25,757268cd7-7f8d-eefa-5281-25bdcc185841,public-global-vessel-identity:v4.0
Jenny,617140000,CPV,Cape Verde,Other,24,605f0a9c0-0e79-810a-811f-57f9deab86a0,public-global-vessel-identity:v4.0
Ponta Do Sol,255806012,PRT,Portugal,Other,24,e8542e7f5-5307-2b93-f886-e6a25cbbb7f9,public-global-vessel-identity:v4.0
Costa De Aguino,617160000,CPV,Cape Verde,Fishing,23,f68611abf-f10f-a84f-f997-1faa2f5e7251,public-global-vessel-identity:v4.0
Morgenster,245136000,NLD,Netherlands,Other,22,29faa94f6-6ac6-aac7-de25-bcaccfcfb6e0,public-global-vessel-identity:v4.0
Xaguate,617033000,CPV,Cape Verde,Fishing,22,ea9547898-8b2d-e6f8-0a4a-78e33816a856,public-global-vessel-identity:v4.0
Boaventura,617129000,CPV,Cape Verde,Other,21,5ab65734e-e985-7571-50cd-42de2eaeb708,public-global-vessel-identity:v4.0
Ferdinanda S,255805603,PRT,Portugal,Cargo,20,85efeebe8-88e9-65ef-1d0e-c7f7c13013b5,public-global-vessel-identity:v4.0
Monte Cara,617017000,CPV,Cape Verde,Other,20,7b9b3f839-96f8-54f6-f694-3b08726b191e,public-global-vessel-identity:v4.0
Dominica,255803960,PRT,Portugal,Cargo,20,284fc774c-c2b2-c74f-02ba-7765cd5b6d24,public-global-vessel-identity:v4.0
Cachaca,224201370,ESP,Spain,Passenger,19,a9b4230ca-ab6b-4b1a-edc7-b5f3f1f3538a,public-global-vessel-identity:v4.0
Alboran Ron Punch,224203770,ESP,Spain,Passenger,19,80c2b1011-1126-037b-a11d-a42dfa1c4805,public-global-vessel-identity:v4.0
Corinthian,249556000,MLT,Malta,Passenger,19,10a4e9830-0f38-ac52-a7d4-657b57f90e0f,public-global-vessel-identity:v4.0
Harmony G,239780000,GRC,Greece,Other,18,fac047a9f-f0f6-913a-7a32-8db8978a8d6d,public-global-vessel-identity:v4.0
Alboran Grappa,225989484,ESP,Spain,Passenger,18,22b42e600-056c-b529-5389-3a163bc0726c,public-global-vessel-identity:v4.0
Med Express,232052038,GBR,United Kingdom,Seismic vessel,18,7a41820b4-4602-b820-7cc4-887a75e6b645,public-global-vessel-identity:v4.0
Oaoatimka,232025369,GBR,United Kingdom,Passenger,17,71b566030-08ad-ac15-6ad7-2073f413a8c5,public-global-vessel-identity:v4.0
Fins,367604710,USA,United States of America,Other,15,8844155a2-2b5d-8511-89fd-74091bdce559,public-global-vessel-identity:v4.0
Quadrifoglio,269112580,CHE,Switzerland,Passenger,14,1028fd622-2985-1d24-45d9-4c9b627222eb,public-global-vessel-identity:v4.0
Noorderlicht,244091000,NLD,Netherlands,Other,14,3d2cff682-2318-f9aa-3eea-1109340896ec,public-global-vessel-identity:v4.0
Muncreca,617070000,CPV,Cape Verde,Fishing,14,9bab6008a-af00-3248-0a00-8182dd97c55f,public-global-vessel-identity:v4.0
Sileia,228261930,FRA,France,Passenger,13,e8c7ac0aa-a067-b215-2487-3e6dcd228a22,public-global-vessel-identity:v4.0
Vb Farad,377097000,VCT,Saint Vincent and the Grenadines,Cargo,12,a7a0b72a2-27ce-3f74-7bbe-867bdeff9fcd,public-global-vessel-identity:v4.0
Ekavi,239938800,GRC,Greece,Passenger,12,3bcfc3f7c-c7b5-c1e2-da65-9c6d22fac906,public-global-vessel-identity:v4.0
Diana B,255806398,PRT,Portugal,Cargo,12,a8cf3d1a4-4455-421e-da76-5ee126e46e69,public-global-vessel-identity:v4.0
Vasco De Gama,224195790,ESP,Spain,Other,12,a57b14fc2-28fb-facd-a1fd-bdd5effd0c60,public-global-vessel-identity:v4.0
Malu,232045505,GBR,United Kingdom,Passenger,11,f071727cc-c6d6-3a23-c821-dfa4fc8aabcf,public-global-vessel-identity:v4.0
Np Rei,617113000,CPV,Cape Verde,Other,11,c51665a1c-c9f2-523a-10cc-7c1324c96635,public-global-vessel-identity:v4.0
Rhaa Lovely,228566000,FRA,France,Passenger,10,9dae6257e-ea3c-d2be-b9b6-218b5e84c220,public-global-vessel-identity:v4.0
Seas The Day,225998939,ESP,Spain,Passenger,10,7701296d9-9f68-5a82-3794-2f6285a28873,public-global-vessel-identity:v4.0
Sude-S,617143000,CPV,Cape Verde,Other,10,9fb83ecf5-55c3-9426-cd98-49b52f1d877b,public-global-vessel-identity:v4.0
Unknown vessel,225987693,ESP,Spain,Passenger,10,6aa07d04a-a8f4-d10d-195f-3c1e934eb32e,public-global-vessel-identity:v4.0
Gas Diamond,354094000,PAN,Panama,Other,10,1680fd85d-de70-bd94-a5a8-b7c77860e7ce,public-global-vessel-identity:v4.0
Nrp Sines,263135000,PRT,Portugal,Other,10,7c9f07321-1c58-58d7-93f6-d1ab69142b59,public-global-vessel-identity:v4.0
