name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Mailen,725001080,CHL,Chile,Passenger,1060,9d9c02335-5b7a-fe5f-01b8-a693f723adb0,public-global-vessel-identity:v4.0
Skua,725003680,CHL,Chile,Other,904,134bb962a-a5f2-a3bb-d33f-b276f0164996,public-global-vessel-identity:v4.0
Queulat,725001212,CHL,Chile,Passenger,845,d7c879c38-8047-3f0d-2fb0-bee5cacd3e35,public-global-vessel-identity:v4.0
Jacaf,725001026,CHL,Chile,Passenger,828,809572e25-5c06-6d04-d4e7-979156ac1a4b,public-global-vessel-identity:v4.0
Cullamo,725000803,CHL,Chile,Passenger,730,a7d18d37e-e779-6acf-7e58-4b5b10827567,public-global-vessel-identity:v4.0
Agios,725001634,CHL,Chile,Cargo,650,20da8d466-68f1-3dbf-0534-9b2f543608e0,public-global-vessel-identity:v4.0
Pathagon,725001292,CHL,Chile,Passenger,582,e06da7bc0-087d-3a75-8afd-2cefd6d4f034,public-global-vessel-identity:v4.0
Leptepu,725001995,CHL,Chile,Other,513,6e86611eb-b36e-b393-fc57-1014a7e9a81a,public-global-vessel-identity:v4.0
Grip Patagonia,725003185,CHL,Chile,Carrier,333,4a73f3c89-9f2f-3151-bcff-d554e30ed332,public-global-vessel-identity:v4.0
Ronia Pioneer,725002634,CHL,Chile,Carrier,324,47d6df21a-a4a7-aa65-3400-2d3aa37e0491,public-global-vessel-identity:v4.0
Panguipulli,725001596,CHL,Chile,Other,286,833077219-97c8-4d18-d335-95b34057908a,public-global-vessel-identity:v4.0
Loki,725004340,CHL,Chile,Carrier,278,a46701f00-00f8-a337-8c33-29e55ad83a5f,public-global-vessel-identity:v4.0
Camahueto,725002840,CHL,Chile,Passenger,273,20f8741f6-62b3-e726-6cb9-bde8c68e7c21,public-global-vessel-identity:v4.0
Caburgua,725001276,CHL,Chile,Other,271,a3681b5f1-1f05-4c30-f342-8001329d10a7,public-global-vessel-identity:v4.0
Andalue,725001577,CHL,Chile,Passenger,271,b8b48d4ce-ead6-ded1-09ba-a5e7d25fb96c,public-global-vessel-identity:v4.0
Makohe,725001154,CHL,Chile,Other,268,79297cb25-5b24-046c-7aa2-840055bb60c4,public-global-vessel-identity:v4.0
Patagon XI,725004379,CHL,Chile,Other,264,efe907fc7-75b6-e237-3737-72f2a01070b6,public-global-vessel-identity:v4.0
Klio,725001143,CHL,Chile,Cargo,261,efd946e22-2aad-c367-69fe-8ee1084a980b,public-global-vessel-identity:v4.0
Orca Chono,725000926,CHL,Chile,Carrier,258,7d68fd69e-e932-0a1c-580e-648cd039ccb5,public-global-vessel-identity:v4.0
Rio Dulce IV,725002648,CHL,Chile,Fishing,251,cb5cc40df-ffb5-d730-f1c3-bdc8d329fb7a,public-global-vessel-identity:v4.0
Grip Arctic,725003401,CHL,Chile,Carrier,245,bec16474c-c19c-6029-f8c4-35d02ffb05da,public-global-vessel-identity:v4.0
Patagon 7,725000949,CHL,Chile,Carrier,237,5eb825d9c-cb47-3b48-02a0-fc40858d8bc2,public-global-vessel-identity:v4.0
Ronia Diamond,725002783,CHL,Chile,Carrier,237,96f894d37-760f-196f-acab-b8f0f77c46f5,public-global-vessel-identity:v4.0
Rio Dulce III,725001031,CHL,Chile,Carrier,236,efe5dcd14-45b8-b48f-2710-553a0ad1aaef,public-global-vessel-identity:v4.0
Grip Antarctic,725003741,CHL,Chile,Carrier,233,275930503-385a-dd1a-5d10-cab79d12f7bd,public-global-vessel-identity:v4.0
Rio Verde,725003796,CHL,Chile,Cargo,231,fae636306-62b9-ecfe-cc20-a68367d61b29,public-global-vessel-identity:v4.0
Seines,725000957,CHL,Chile,Fishing,227,06590b27c-c0a7-c074-e648-c807beb9fea4,public-global-vessel-identity:v4.0
Quetro,725001830,CHL,Chile,Other,224,266b1432c-cb2c-cfcd-c9c8-3c3caef114d8,public-global-vessel-identity:v4.0
Orca Yagan,725001221,CHL,Chile,Carrier,224,2c39460ff-feed-8a31-cfa5-6ea83b5e953b,public-global-vessel-identity:v4.0
Grip Austral,725003742,CHL,Chile,Carrier,224,bb8b786a6-67b0-ec06-291b-ad3ecff0b940,public-global-vessel-identity:v4.0
Juana Rodriguez,725002804,CHL,Chile,Passenger,224,f44bb1037-7bfc-30aa-4508-94687ac82e62,public-global-vessel-identity:v4.0
Bandurria II,725003570,CHL,Chile,Other,221,1c79381f1-17ab-0458-ded0-6180780555e0,public-global-vessel-identity:v4.0
Kaweskar,725003001,CHL,Chile,Passenger,221,bfa40003e-e796-59cb-6980-dac3d2a270e9,public-global-vessel-identity:v4.0
Patagon V,725002730,CHL,Chile,Carrier,221,1a295be0e-e913-45b0-722a-943d31379c7f,public-global-vessel-identity:v4.0
Grip Polar,725003754,CHL,Chile,Carrier,212,225406b81-11b3-2461-d2c4-b115d727627d,public-global-vessel-identity:v4.0
Seigull,725004564,CHL,Chile,Fishing,209,955f0ed96-6179-6df9-9e16-4d664a09c6db,public-global-vessel-identity:v4.0
Seivik,725003304,CHL,Chile,Carrier,209,36561d11c-c87e-0162-5aca-266d6b1e4f19,public-global-vessel-identity:v4.0
Grip Nord,725005208,CHL,Chile,Carrier,207,18c228644-4213-0ce2-b85c-ed48e7e205e1,public-global-vessel-identity:v4.0
Dalka,725003291,CHL,Chile,Cargo,206,a2af2146a-a11d-63fe-f58e-01be9e0764cf,public-global-vessel-identity:v4.0
Pirehueico,725003931,CHL,Chile,Other,203,a8771daad-d420-1a97-f15a-70b215957896,public-global-vessel-identity:v4.0
Paniahue,725007700,CHL,Chile,Fishing,201,99276a11c-cbab-32ae-babc-0f0b0341023b,public-global-vessel-identity:v4.0
Alsvid,725004256,CHL,Chile,Other,200,c3590cf97-7c18-e7c3-0125-1492a0cf63c6,public-global-vessel-identity:v4.0
Seifyr,725000879,CHL,Chile,Carrier,199,8340b0823-3b46-14c6-de58-fe31f59f35aa,public-global-vessel-identity:v4.0
Conguillio,725005393,CHL,Chile,Other,198,bde1d093c-c84e-724b-5f9b-03834f6c4607,public-global-vessel-identity:v4.0
Patagon VI,725003970,CHL,Chile,Carrier,195,109175802-2173-b46b-d958-9d44f6f2764b,public-global-vessel-identity:v4.0
Patagon VIII,725001437,CHL,Chile,Carrier,194,c21189b78-823b-7d0a-11d3-4878a2328ad7,public-global-vessel-identity:v4.0
Yaghan,725000875,CHL,Chile,Cargo,190,376697dec-c226-38b0-f186-677c2ea28339,public-global-vessel-identity:v4.0
Fuy,725000763,CHL,Chile,Other,189,24cb51bb5-515d-849d-d6a8-babff87155cd,public-global-vessel-identity:v4.0
Forseti,725000662,CHL,Chile,Carrier,189,fd8cefa2d-d81d-37b7-dd04-71032850068f,public-global-vessel-identity:v4.0
Grip Superior,725000938,CHL,Chile,Fishing,187,ad248dc65-5cbe-c7e9-e5f7-8bbb8e2cc970,public-global-vessel-identity:v4.0
Grip Explorer,725004293,CHL,Chile,Other,184,95697c415-5a9e-71be-5cf8-b7d386d77837,public-global-vessel-identity:v4.0
Lenadura,725003208,CHL,Chile,Other,183,1b5e259b6-69da-e168-fe3a-0913fb54cbea,public-global-vessel-identity:v4.0
Seikapp,725004230,CHL,Chile,Carrier,178,c345863f4-4256-f10f-1f53-d49c6563eae8,public-global-vessel-identity:v4.0
