name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Pb Tecnilan I,730153879,COL,Colombia,Passenger,1012,fe3071787-781a-118f-1f93-6b759b5a1234,public-global-vessel-identity:v4.0
Cobradura,730151736,COL,Colombia,Passenger,949,4d076a4ce-ef7b-fb16-c0dd-289e4fae7320,public-global-vessel-identity:v4.0
Arenosa 1,730151002,COL,Colombia,Other,886,cc8d3b4b8-8b8f-9629-87d3-ab7c5315823a,public-global-vessel-identity:v4.0
Shalo  One,730151870,COL,Colombia,Other,630,657a50931-16a9-63a8-6103-bc0fc12bba8b,public-global-vessel-identity:v4.0
Titi,730000224,COL,Colombia,Passenger,573,6842b0421-19ca-f9f6-a865-b6619dc381da,public-global-vessel-identity:v4.0
Cayena Pilot Boat,730152426,COL,Colombia,Other,556,cf472124c-c368-0eac-b549-253aa2da23b3,public-global-vessel-identity:v4.0
Pilotos Titan,730619700,COL,Colombia,Passenger,555,604167eb8-8366-a7b8-d1c0-e923a1f12c2a,public-global-vessel-identity:v4.0
Spilbun,730122091,COL,Colombia,Passenger,482,48c83f89d-d583-e434-df05-676db5a276a4,public-global-vessel-identity:v4.0
Xin Hai Ma,413375380,CHN,China,Other,404,d9c058f45-5e16-c6b2-cf4a-71d67efd4b5f,public-global-vessel-identity:v4.0
Pilot Boat Progreso2,730151049,COL,Colombia,Other,374,c2d93debc-c16d-8f06-53ce-0313ebb64c02,public-global-vessel-identity:v4.0
Golfo Demorrosquillo,730151660,COL,Colombia,Other,373,2d773085e-e838-9abd-13e1-9ee8017f8a56,public-global-vessel-identity:v4.0
Arc Juanchaco,730151015,COL,Colombia,Passenger,361,a206e0065-58b1-16ae-5d7e-bea4310ef771,public-global-vessel-identity:v4.0
Pilot Boat Dalmar I,730151274,COL,Colombia,Passenger,352,12dd3db53-3cb3-d789-b28e-323eaa7a1e22,public-global-vessel-identity:v4.0
Spilbun 20,730151758,COL,Colombia,Passenger,316,13c4c818f-f126-0038-da71-a570ff8f4f67,public-global-vessel-identity:v4.0
Alcabar,730154428,COL,Colombia,Passenger,294,bd245f4a3-3148-e862-8da3-801d053f2bb9,public-global-vessel-identity:v4.0
Rm Tayrona,730151028,COL,Colombia,Other,283,73f82f98f-ff6d-c239-7c65-dd90fc3ccd0f,public-global-vessel-identity:v4.0
Pappy,730001500,COL,Colombia,Other,264,3512bde12-24ae-5661-aaa1-4c9c96f5ba17,public-global-vessel-identity:v4.0
Rr Macondo,730156180,COL,Colombia,Other,259,c07774346-6ffe-0384-3cdb-b22ea8136331,public-global-vessel-identity:v4.0
Security Boat,730152646,COL,Colombia,Passenger,257,9aa85f5e9-97bc-b162-efa4-204fcdfc016a,public-global-vessel-identity:v4.0
Rr Santa Marta,730156181,COL,Colombia,Other,243,430fbe387-7b25-736c-07e3-ff5ca70cf99d,public-global-vessel-identity:v4.0
Mary M,730154086,COL,Colombia,Other,234,789ee0b2e-e470-c126-6979-5d3786cc8521,public-global-vessel-identity:v4.0
Rm Sirocco,730151022,COL,Colombia,Other,233,8bbb349d2-2e3a-aa6b-af56-6c9694ec653d,public-global-vessel-identity:v4.0
Malmo,730151016,COL,Colombia,Passenger,231,9aab8b7ab-bb8d-8216-e797-f7c527ace716,public-global-vessel-identity:v4.0
Atlantico,730151463,COL,Colombia,Other,216,811b17e58-815e-0ace-73a8-b0c39db8e408,public-global-vessel-identity:v4.0
Titan Del Mar,730154092,COL,Colombia,Other,215,f1fe48608-86a0-3c75-a135-4f60977c4be9,public-global-vessel-identity:v4.0
Hangjun4011,412045240,CHN,China,Other,203,8bf696b97-70b3-f864-3bb4-125ca064821b,public-global-vessel-identity:v4.0
Mr Sag,730151037,COL,Colombia,Other,201,1ea7ecb85-5720-53ec-7975-8865110e6317,public-global-vessel-identity:v4.0
Chinook,730151030,COL,Colombia,Other,182,ff91a812a-ae90-92e3-caf2-d6aeb6fec862,public-global-vessel-identity:v4.0
M A K O 1,730151383,COL,Colombia,Other,178,18ceb7454-426b-50f0-bb64-66ebfe499a99,public-global-vessel-identity:v4.0
Anna Lezah,211692550,DEU,Germany,Passenger,178,537022bc2-26f5-1d8d-d45d-847c83448fda,public-global-vessel-identity:v4.0
Isla Salamanca,730151001,COL,Colombia,Passenger,176,5d398b44a-aeb5-e633-94ff-4cbfe42e302c,public-global-vessel-identity:v4.0
Samuel,730151925,COL,Colombia,Other,169,be9c6c62b-bfd0-e866-ac39-2722e466472f,public-global-vessel-identity:v4.0
Nina,730154087,COL,Colombia,Other,157,329268d00-0019-9cd6-4ce6-aab04d6d5224,public-global-vessel-identity:v4.0
Faro VI,730151943,COL,Colombia,Passenger,154,f7bcf5af2-2a8f-bd0c-16c3-fa72ddf3127d,public-global-vessel-identity:v4.0
Ferry Magno I,730152352,COL,Colombia,Passenger,153,ce3df8081-1f46-e1c8-fdf7-f7398b6b7261,public-global-vessel-identity:v4.0
Unknown vessel,730152646,COL,Colombia,Passenger,142,435916e65-514c-cd94-cdac-cd5eaeec2753,public-global-vessel-identity:v4.0
Nueva Colonia,730154085,COL,Colombia,Other,140,db54581b7-7ab2-4df7-3dbc-8a221053b021,public-global-vessel-identity:v4.0
Antares,730151005,COL,Colombia,Other,139,c0051cc29-9b80-0a40-f1d0-f2239a60d8aa,public-global-vessel-identity:v4.0
Macoya,730151928,COL,Colombia,Other,139,fcfab0ecb-b4f0-bd1c-57b1-823bd10743e5,public-global-vessel-identity:v4.0
Oscar Eduardo,730151036,COL,Colombia,Other,136,86e16ba2f-fed4-2ce2-5a32-4081df9e3a74,public-global-vessel-identity:v4.0
Unknown vessel,730001500,COL,Colombia,Other,135,2e900ca34-4ad9-e61c-4a36-1ae162b755a7,public-global-vessel-identity:v4.0
Promar Express,730117000,COL,Colombia,Passenger,132,47d63b95a-af0c-9b8a-dafc-2e458aec8372,public-global-vessel-identity:v4.0
Sea Land,730156173,COL,Colombia,Passenger,129,9af53977d-dd76-dfb3-bab6-81a0abd20db9,public-global-vessel-identity:v4.0
Maersk Wakayama,563188500,SGP,Singapore,Cargo,123,bbbb8dfe1-1b79-f00c-0e95-02e434401810,public-global-vessel-identity:v4.0
Oscar Paez Jr.,730152781,COL,Colombia,Other,123,5951c94cc-c980-ac0c-7f50-2a2b5479f09e,public-global-vessel-identity:v4.0
Turbana 1,730151993,COL,Colombia,Other,122,198dd624c-c137-c179-79be-8380edc2735d,public-global-vessel-identity:v4.0
Tecnilan II,730151151,COL,Colombia,Passenger,121,c1dc583ee-ea9f-979f-650c-3cd3c2d0550b,public-global-vessel-identity:v4.0
Bahia Solano,730000245,COL,Colombia,Other,119,1077a73b3-3a79-af14-00d2-44159945dfd3,public-global-vessel-identity:v4.0
Rm Baru,730125000,COL,Colombia,Other,111,3e6366fdf-f4ff-606a-4efd-3b20967c60ea,public-global-vessel-identity:v4.0
Siriana,730152003,COL,Colombia,Other,108,3bf239e4b-bb72-bf62-d426-970b37d0a6fc,public-global-vessel-identity:v4.0
