name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Biokovo,238936140,HRV,Croatia,Passenger,3072,74fbd2ee2-2144-bdbb-8f71-00ea9763e3cc,public-global-vessel-identity:v4.0
Marjan,238244640,HRV,Croatia,Passenger,2768,dd2405bf9-94ce-6e44-6038-73c93652e3f6,public-global-vessel-identity:v4.0
Hrvat,238453240,HRV,Croatia,Passenger,2738,2d227964a-a04b-c600-e4fe-85d976b27545,public-global-vessel-identity:v4.0
Krilo Nomadic,238037240,HRV,Croatia,Passenger,2113,e7a84ba21-14bf-8e6d-c7d9-3ba35451de7f,public-global-vessel-identity:v4.0
Danica,238073740,HRV,Croatia,Passenger,1984,72ab2acaa-a186-f266-c76e-c9ea39bfb4fe,public-global-vessel-identity:v4.0
Tin Ujevic,238118940,HRV,Croatia,Passenger,1802,524f16177-7dab-ce38-3052-899f79ae77b3,public-global-vessel-identity:v4.0
Soltanka,238116140,HRV,Croatia,Passenger,1732,5c8113ad6-6c0e-1973-8437-986e09eddb16,public-global-vessel-identity:v4.0
Proversa,238094240,HRV,Croatia,Passenger,1635,d2ef60b80-0702-1a77-bb64-3bc08e85aa76,public-global-vessel-identity:v4.0
Jelena,238182740,HRV,Croatia,Passenger,1579,6692f8c26-6825-65f2-b1cb-f51ec50b1d78,public-global-vessel-identity:v4.0
Sveti Duje,238614840,HRV,Croatia,Passenger,1539,15b2143d6-6e8a-6c0c-6e18-3e68450cf08b,public-global-vessel-identity:v4.0
Krilo Tropic,238385740,HRV,Croatia,Passenger,1490,48cb2ec6a-aad5-776d-86a0-640d07333666,public-global-vessel-identity:v4.0
Kolovare,238117710,HRV,Croatia,Passenger,1419,3f37005d7-72f4-2608-dc35-386804bc985f,public-global-vessel-identity:v4.0
Peljescanka,238115040,HRV,Croatia,Passenger,1406,5872fffe6-6d6c-505e-0b88-eb16caf79aa9,public-global-vessel-identity:v4.0
