name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Usav New Orleans,366965000,USA,United States of America,Other,185,13fb9bc8c-c8f4-0f92-f37f-d1c98589ffc4,public-global-vessel-identity:v4.0
LC Megano,371537000,PAN,Panama,Cargo,74,f0906fe38-816f-d4d2-6ce3-d356759548fe,public-global-vessel-identity:v4.0
Ocean Integrity,353600000,PAN,Panama,Other,72,ebb0d1caa-a4b7-ea91-ec92-d5d33fdb985d,public-global-vessel-identity:v4.0
Tormenta 2,323132110,CUB,Cuba,Other,64,f5cc407fc-ce5b-7ff8-15fe-523fc9fba8c1,public-global-vessel-identity:v4.0
Castellanos I,374928000,PAN,Panama,Cargo,60,fcc12c31f-fdaf-7db6-0fd5-ba620eddc9cf,public-global-vessel-identity:v4.0
Acuario,223171000,---,---,Other,55,2c2ed842d-d254-e929-37c4-ab80528efa48,public-global-vessel-identity:v4.0
Omega,323619012,CUB,Cuba,Other,53,e0b6210aa-a895-ba8e-0e93-73a488a43e39,public-global-vessel-identity:v4.0
Sagitario II,323174110,CUB,Cuba,Other,52,bdfa0b141-1732-5bae-8a03-59c8820bb11c,public-global-vessel-identity:v4.0
Violet,275543000,LVA,Latvia,Other,51,693188d29-9f3a-4a02-abe3-eec4d566bc86,public-global-vessel-identity:v4.0
Mt Caribbean Allianc,357644000,PAN,Panama,Other,43,c0910b77a-a663-3511-8bd9-9dadae0c7a30,public-global-vessel-identity:v4.0
Usav Wilson Wharf,368792000,USA,United States of America,Other,42,27a8b4bd0-0092-5e16-9692-9b4b4cc7932d,public-global-vessel-identity:v4.0
Primula,312062000,BLZ,Belize,Other,40,cdc28c9a3-308e-d585-9a4b-d7d3dd646673,public-global-vessel-identity:v4.0
Pastorita,323144000,CUB,Cuba,Other,38,04cf3c139-904f-b8a3-a6dc-38a85a7a71ff,public-global-vessel-identity:v4.0
Vilma,323151000,CUB,Cuba,Other,38,8a9d8f4a3-3eec-a57c-abbd-92bb2ea88a6b,public-global-vessel-identity:v4.0
Azure,275544000,LVA,Latvia,Cargo,35,073d6ac15-50f3-9ea7-77ff-a2477b3498f9,public-global-vessel-identity:v4.0
Challenger,305812000,ATG,Antigua and Barbuda,Cargo,33,2ecee0529-96e4-6bb8-89d6-f98e677b605b,public-global-vessel-identity:v4.0
Murden,369970571,USA,United States of America,Other,32,c41e10337-7aa3-ab92-210d-7e3aeb46f89b,public-global-vessel-identity:v4.0
Acuario,374636000,PAN,Panama,Other,29,867c1ca42-2904-5c40-766e-7afe9d77ee42,public-global-vessel-identity:v4.0
Tinto,325147300,DMA,Dominica,Other,26,049a8d1c5-5154-c1d5-b2fa-7794dcc11d6f,public-global-vessel-identity:v4.0
Carmita,374783000,PAN,Panama,Cargo,25,23551ef74-4d15-7c36-dbc4-755ee145ef6a,public-global-vessel-identity:v4.0
Green Sea,563102100,SGP,Singapore,Cargo,24,0f7625bc9-9ad6-4c8f-6d8b-27396d694c1c,public-global-vessel-identity:v4.0
Green Ocean,563095700,SGP,Singapore,Cargo,24,680c3c0f8-8b0d-31b9-9b30-df94da0969c2,public-global-vessel-identity:v4.0
Melba,374718000,PAN,Panama,Cargo,23,121a06546-650a-f7df-1e43-8cabba50f2e7,public-global-vessel-identity:v4.0
Cma Cgm Alexandria,229824000,MLT,Malta,Cargo,22,2ef4581d5-5aec-e5a0-e914-9244de15963f,public-global-vessel-identity:v4.0
Asela,374649000,PAN,Panama,Other,22,e6a7a5886-6f06-bf42-c277-2142e1d5171d,public-global-vessel-identity:v4.0
Balam,577406000,VUT,Vanuatu,Other,22,580d69bb7-7757-3222-1673-28e9104dfbe6,public-global-vessel-identity:v4.0
Maria Cristina,323147000,CUB,Cuba,Other,21,bc6541c4e-ea53-1055-7208-2790cd4b0a91,public-global-vessel-identity:v4.0
Guadalupe,210959000,CYP,Cyprus,Other,21,eeee64115-53fe-3b88-f937-ca1799a99729,public-global-vessel-identity:v4.0
Bgc 080,323000011,CUB,Cuba,Fishing,21,e68e1919c-ce9f-c88c-6fbd-5b374773c084,public-global-vessel-identity:v4.0
Sc Montana,636018194,LBR,Liberia,Cargo,20,79b058134-4442-4b6f-4f9b-4e438a90bdae,public-global-vessel-identity:v4.0
Unknown vessel,323000000,CUB,Cuba,Fishing,20,5d18bb28f-fe8d-4b02-6beb-0e33a1bc626b,public-global-vessel-identity:v4.0
Ocean Mariner,636021918,LBR,Liberia,Other,19,3c3f95270-02ee-c329-6c2f-410a5652a7e7,public-global-vessel-identity:v4.0
Lpg Emilia,323150000,CUB,Cuba,Other,19,43b9e264a-a8bf-a6b9-6793-c0688da70c14,public-global-vessel-identity:v4.0
Unknown vessel,351070000,PAN,Panama,Cargo,18,a125a8246-60bc-f56d-a52c-8d7a8dfdba93,public-global-vessel-identity:v4.0
Deneb,304941000,ATG,Antigua and Barbuda,Cargo,17,e29751bcd-d69b-96a1-24c4-949545daa442,public-global-vessel-identity:v4.0
Avera,255806107,PRT,Portugal,Cargo,17,c84ab7179-9f86-dc8c-f71f-4a32e581b48a,public-global-vessel-identity:v4.0
Theodor,305506000,ATG,Antigua and Barbuda,Cargo,16,1faaa0d70-0ab9-2380-ec27-4284714dfa22,public-global-vessel-identity:v4.0
Eagle II,538010031,MHL,Marshall Islands,Cargo,16,0f6f206b3-3772-7dd3-527f-1f7b2655dcc0,public-global-vessel-identity:v4.0
Avenir Achievement,319205300,CYM,Cayman Islands,Other,16,b51bf10b8-8099-759c-1f27-f7480b717b62,public-global-vessel-identity:v4.0
Ro-Ro Nova Orion,323096000,CUB,Cuba,Cargo,15,1ff17e4a3-3598-206e-091b-0802e22877ba,public-global-vessel-identity:v4.0
Cay Trader II,671322100,TGO,Togo,Cargo,15,a2b457038-8b43-b949-1487-281c94188fbb,public-global-vessel-identity:v4.0
Lourdes,323143000,CUB,Cuba,Other,15,162ebfd19-98a0-b31a-eb9c-42b7f448e36a,public-global-vessel-identity:v4.0
Gotland,255804880,PRT,Portugal,Cargo,15,a7903176a-adf9-d479-fd73-db1b87f79c9f,public-global-vessel-identity:v4.0
Asian Katra,352001274,PAN,Panama,Cargo,15,a5dad5533-3fcc-297e-c992-1feb24860f56,public-global-vessel-identity:v4.0
Sandino,323148000,CUB,Cuba,Other,15,918b58afb-bb8a-f2ea-91cb-01285513acda,public-global-vessel-identity:v4.0
Himalaya,677087000,TZA,Tanzania,Other,15,4725dca29-9957-82af-51cf-980998b25dd1,public-global-vessel-identity:v4.0
Liti,632001117,GIN,Guinea,Other,14,7801dfa9e-e2a0-c752-3b60-3db110f1c998,public-global-vessel-identity:v4.0
Regula,304304000,ATG,Antigua and Barbuda,Cargo,14,660780343-3694-fd4a-7bd2-4b019b85ce7d,public-global-vessel-identity:v4.0
Delsa,323152000,CUB,Cuba,Other,14,f8f6b2173-3050-bb56-bea1-07d9375c20fe,public-global-vessel-identity:v4.0
Alicia,323149000,CUB,Cuba,Other,13,447a6af1b-b92e-d036-1e35-50e8b13aad56,public-global-vessel-identity:v4.0
Gas Exelero,538003606,MHL,Marshall Islands,Other,13,b1d8ac162-24b8-fe46-7ca9-164f8faf7f5b,public-global-vessel-identity:v4.0
Quetzal,636024108,LBR,Liberia,Cargo,13,0122c6cc5-5617-ae4c-5615-87f22c9de13a,public-global-vessel-identity:v4.0
Minchah,352001233,PAN,Panama,Cargo,13,3b456e117-73a5-d6a1-c914-53e0d686a24a,public-global-vessel-identity:v4.0
Gloria C,351070000,PAN,Panama,Cargo,13,6d79d9da5-587f-21f2-42eb-372f0e59d6f9,public-global-vessel-identity:v4.0
Venus,323030247,CUB,Cuba,Other,13,6015ebd39-96c5-2152-33ce-f5357d28c244,public-global-vessel-identity:v4.0
Augusta Luna,255803890,PRT,Portugal,Cargo,13,5975a8f1a-aa9f-d050-3922-67ddf67da71f,public-global-vessel-identity:v4.0
Woodland,671378100,TGO,Togo,Cargo,12,5f1abbefa-a949-14fc-5453-e663723a11e2,public-global-vessel-identity:v4.0
Msc Key F,209739000,CYP,Cyprus,Other,12,e67fa6ac2-2e38-802b-5f5d-df371e29a899,public-global-vessel-identity:v4.0
Capt Beau,367543820,USA,United States of America,Other,12,7605418c8-8bb9-42e6-d291-94310b172520,public-global-vessel-identity:v4.0
Copan,636024109,LBR,Liberia,Cargo,11,894d5fdc2-240c-e132-b98e-3953cbc7f619,public-global-vessel-identity:v4.0
Annelie,367017460,USA,United States of America,Other,10,cd63a3d56-6e1d-66e6-d7e5-4edd6b9c3994,public-global-vessel-identity:v4.0
Unknown vessel,323000047,CUB,Cuba,Other,10,f79077e2e-ebbf-019c-5100-d4c11c663fdc,public-global-vessel-identity:v4.0
Seaboard Galaxy,636022974,LBR,Liberia,Cargo,10,404110ad0-0d21-f385-2dfd-51083a550188,public-global-vessel-identity:v4.0
Nicos I.V.,377489000,VCT,Saint Vincent and the Grenadines,Other,9,de726d2c7-7ff1-94ca-0f60-391f9c39879a,public-global-vessel-identity:v4.0
M/V Hamburg,309908000,BHS,Bahamas,Passenger,9,2c0ddb090-0914-cf58-7903-1edbbbd81312,public-global-vessel-identity:v4.0
Aldebaran J,304972000,ATG,Antigua and Barbuda,Cargo,9,00915e31a-a4cb-5711-6a24-7975f6e0cf57,public-global-vessel-identity:v4.0
Atenea,720605000,BOL,Bolivia (Plurinational State of),Other,9,aa440caf0-09a2-8bf1-8629-5b557a15649f,public-global-vessel-identity:v4.0
Unknown vessel,369970571,USA,United States of America,Other,8,afc33fc3b-b8da-adcf-cb2f-ad0c0c394be6,public-global-vessel-identity:v4.0
Aries II,370830000,PAN,Panama,Other,8,bd6b8d854-4769-d528-53e5-a91e0c01994f,public-global-vessel-identity:v4.0
Antares,323032012,CUB,Cuba,Fishing,8,8d236f9a1-1b5c-6bcc-d9a3-5df69955ffcb,public-global-vessel-identity:v4.0
Seaboard Pride,636021440,LBR,Liberia,Cargo,8,73d5e4038-8cb4-b0f2-9062-7a26c9c03ad2,public-global-vessel-identity:v4.0
Domingo Da Silva,375322000,VCT,Saint Vincent and the Grenadines,Other,8,b79b45780-0d7f-8837-e28a-8d7f2f50b068,public-global-vessel-identity:v4.0
Ctm Istmo,352003103,PAN,Panama,Cargo,7,2e6a1ec30-0112-3375-bae2-507f37e0ef9d,public-global-vessel-identity:v4.0
Unknown vessel,338229139,USA,United States of America,Passenger,7,bca9ff170-0328-7177-1f5e-69065976c9f5,public-global-vessel-identity:v4.0
Fortunato,351434000,PAN,Panama,Other,7,136048775-5432-7476-8535-da5f4de53301,public-global-vessel-identity:v4.0
Contship Gem,210247000,CYP,Cyprus,Cargo,7,f6f478046-609f-376c-94cf-540b8910266c,public-global-vessel-identity:v4.0
Ijsselborg,244707000,NLD,Netherlands,Cargo,7,7b9ebf289-9463-fbf3-8e20-55b412cf9e74,public-global-vessel-identity:v4.0
Uss Govt Vessel 21,368926299,USA,United States of America,Other,7,1b563a663-3fdc-bcd4-ead1-5192c38bd71c,public-global-vessel-identity:v4.0
Cay Trader II,677042300,TZA,Tanzania,Other,7,0499dc0f6-6854-4c7e-b8f4-c1a433685ee5,public-global-vessel-identity:v4.0
Marlin Ammolite,538005805,MHL,Marshall Islands,Other,7,f1a0c0b96-6a8a-f946-9bef-ecec002e8940,public-global-vessel-identity:v4.0
Kirk B,352005610,PAN,Panama,Cargo,7,caf5ce7fe-e6f6-0e0f-a540-f5ae3108a08c,public-global-vessel-identity:v4.0
Unknown vessel,323000170,CUB,Cuba,Other,7,caa0fe8cc-cefc-5fed-dad3-a660853925e2,public-global-vessel-identity:v4.0
Eugenia Gas,636017206,LBR,Liberia,Other,7,6ec21aaa1-1e38-341b-e10d-48ff222e7b16,public-global-vessel-identity:v4.0
Orinoco,564050000,SGP,Singapore,Cargo,6,16c40c37d-d00d-6fce-1790-e691ef386dc6,public-global-vessel-identity:v4.0
Torogoz,636024111,LBR,Liberia,Cargo,6,7f075c6a7-7f62-cfe2-ebba-696f8234bfc0,public-global-vessel-identity:v4.0
Puna,210858000,CYP,Cyprus,Cargo,6,88e0b97ad-ddfa-4b02-1e6b-55bfccc45b46,public-global-vessel-identity:v4.0
Manduley,372375000,PAN,Panama,Cargo,6,00818323c-c6c3-a147-ca8b-af2d6d291a75,public-global-vessel-identity:v4.0
Cg Campbell,367289000,USA,United States of America,Other,6,a6c01ea1d-d15d-1144-967b-9f714d9a1a05,public-global-vessel-identity:v4.0
X Press Netravati,563139800,SGP,Singapore,Cargo,6,fcf11a2a3-362a-8894-8e8f-96c1857308b9,public-global-vessel-identity:v4.0
Point Of Sand,319049000,CYM,Cayman Islands,Other,6,2ce140641-1eeb-15c6-b811-30775467c64e,public-global-vessel-identity:v4.0
LM Ares,636024209,LBR,Liberia,Other,6,f62be28ac-c9b1-2590-113b-94b75c63d795,public-global-vessel-identity:v4.0
Evergreen State,367353070,USA,United States of America,Other,5,add7f97bb-b377-037c-77e5-815a142b5524,public-global-vessel-identity:v4.0
Unknown vessel,323112000,CUB,Cuba,Other,5,9278e3df7-70ec-628c-abd7-3fe0de3b7b86,public-global-vessel-identity:v4.0
Prairie  Tulip,255915613,PRT,Portugal,Other,5,6f1386e39-9379-1159-d7f3-9004e15821d0,public-global-vessel-identity:v4.0
Manuel Gual,775345000,VEN,Venezuela,Cargo,5,dd986c82e-ebd3-fe94-d76d-766cd4e93e0b,public-global-vessel-identity:v4.0
Queen Y,312375000,BLZ,Belize,Passenger,5,57048a700-0ca9-eb16-0af8-a54d00aa99f0,public-global-vessel-identity:v4.0
Unknown vessel,323000158,CUB,Cuba,Other,4,8c1008deb-b716-1f7f-d4e6-2e760e194e53,public-global-vessel-identity:v4.0
Unknown vessel,323000909,CUB,Cuba,Other,4,31c2130ca-a664-3fff-7c1f-9458bf265072,public-global-vessel-identity:v4.0
Morning Tide,314617000,BRB,Barbados,Cargo,4,b583518d8-8f65-97f4-b14d-4e5dcae2115d,public-global-vessel-identity:v4.0
Pegasus J,304122000,ATG,Antigua and Barbuda,Cargo,4,ed709a048-8dba-62fb-97c2-debbc0ea4e38,public-global-vessel-identity:v4.0
Unknown vessel,312062000,BLZ,Belize,Other,4,3710447cc-c1b0-caa5-edcd-2a1faf86a3ed,public-global-vessel-identity:v4.0
14 Festival,323000906,CUB,Cuba,Other,4,8fbce161e-ec61-19f1-eea5-64e1440e0cec,public-global-vessel-identity:v4.0
Tucana,305140000,ATG,Antigua and Barbuda,Cargo,4,8154fc48f-ffb1-7241-2988-4985617d96e0,public-global-vessel-identity:v4.0
