name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Aphroditei,212983045,CYP,Cyprus,Passenger,456,b967690fa-abfc-4e3d-004a-ecddebbf8423,public-global-vessel-identity:v4.0
Onwa20297,9120297,---,---,Passenger,385,41e961724-4e32-7eac-eae8-a9545668885c,public-global-vessel-identity:v4.0
Ozgur,271055006,TUR,Turkey,Other,345,21e9a8b42-2674-585a-19e8-58bf5803d000,public-global-vessel-identity:v4.0
Anamnisis,209561000,CYP,Cyprus,Passenger,341,88d25f381-1f4f-c2e6-a8a2-029d73209c52,public-global-vessel-identity:v4.0
Sirena One,212984099,CYP,Cyprus,Passenger,299,6b27e0cbb-b7ce-2b70-67e9-a79326de9aa6,public-global-vessel-identity:v4.0
Mediterraneo 3,212983044,CYP,Cyprus,Passenger,296,8d2c93fa1-1436-ecf8-891d-fe8b9bc9db87,public-global-vessel-identity:v4.0
Napa King II,212983001,CYP,Cyprus,Passenger,290,faa3c79d6-6c11-fa49-52a9-adfeef4544fd,public-global-vessel-identity:v4.0
Lady Popi 1,212983075,CYP,Cyprus,Passenger,255,c1acdf423-381d-4789-3b1f-be6d6aa19c52,public-global-vessel-identity:v4.0
Besparmak,271527140,TUR,Turkey,Passenger,229,fc10fc579-9deb-c282-9936-68e2b6d13064,public-global-vessel-identity:v4.0
Medusa 1,212983128,CYP,Cyprus,Passenger,218,8c5615634-4f68-b7da-dd7d-f1d32588a71d,public-global-vessel-identity:v4.0
Mediterranean Diamon,212639000,CYP,Cyprus,Passenger,217,f5950bfa9-9612-ec15-eb77-0790499721a6,public-global-vessel-identity:v4.0
San Antonio II,212983064,CYP,Cyprus,Passenger,207,2bc524c6a-a507-8f34-9989-a7c6c9844f16,public-global-vessel-identity:v4.0
Dolphin Submarine,212983070,CYP,Cyprus,Passenger,198,72b7ce92e-e20e-1fcd-317f-ac2d98c845bb,public-global-vessel-identity:v4.0
Aphrodite II,212983009,CYP,Cyprus,Passenger,194,57472b52d-d6b3-40ee-1349-c86d60852c8a,public-global-vessel-identity:v4.0
Atlantis N,212983019,CYP,Cyprus,Passenger,192,a4e495826-6276-cac7-49ff-ba09e30bc573,public-global-vessel-identity:v4.0
Flisvos,212983068,CYP,Cyprus,Passenger,187,414d258f3-3b16-e440-2e88-79c99086ecb5,public-global-vessel-identity:v4.0
St Georgios,209244000,CYP,Cyprus,Other,186,c7110b8f7-7275-4821-df85-a13accdf2c72,public-global-vessel-identity:v4.0
No Limit,212983159,CYP,Cyprus,Passenger,184,76fbff2c0-094a-701a-099a-0d7aca038399,public-global-vessel-identity:v4.0
Aphrodite Explorer,212983163,CYP,Cyprus,Fishing,182,bae27f892-224c-7afd-d647-8bcd3e8efb4a,public-global-vessel-identity:v4.0
Ocean Vision,212983137,CYP,Cyprus,Passenger,179,1850b1dbc-c51c-a0dd-6b1c-2be3744ce205,public-global-vessel-identity:v4.0
Dry Gin,209386000,CYP,Cyprus,Fishing,175,a5770c000-00a7-97e4-7517-e44577545d93,public-global-vessel-identity:v4.0
Oceanis,209679000,CYP,Cyprus,Passenger,166,7da9b6d78-813d-dd41-c61b-66ca513ed54a,public-global-vessel-identity:v4.0
Via Mare,271055018,TUR,Turkey,Cargo,166,dd9e07a25-5b8c-4f40-b643-934298c6044e,public-global-vessel-identity:v4.0
Aerosa,210368000,CYP,Cyprus,Other,161,3f38afcf0-0d12-8b37-247e-26011e0eddaa,public-global-vessel-identity:v4.0
Atlas I,212473000,CYP,Cyprus,Passenger,158,cf8da893e-e93a-317a-505e-d8668d3c242b,public-global-vessel-identity:v4.0
Ocean Queen,209954000,CYP,Cyprus,Fishing,155,8951dbfe4-4e23-0796-77fd-4816d32108d8,public-global-vessel-identity:v4.0
Margeo XII,240033600,GRC,Greece,Passenger,147,864af0934-4c49-fda7-332e-bc8364104452,public-global-vessel-identity:v4.0
Roro Lefke,271055032,TUR,Turkey,Other,138,6bc9fd394-485f-6e69-eef3-2f888b9b40cf,public-global-vessel-identity:v4.0
Myhendrika II,212899000,CYP,Cyprus,Fishing,137,1e31af445-5635-0610-7078-fb0a40dd4474,public-global-vessel-identity:v4.0
Marin,271055037,TUR,Turkey,Cargo,136,b7bda826c-c7af-c4c5-2296-27f2aeadf471,public-global-vessel-identity:v4.0
Seastar,212983047,CYP,Cyprus,Passenger,135,4e9791e38-82a7-b014-fb52-ddaaf1c15e07,public-global-vessel-identity:v4.0
Onwa20615,9120615,---,---,Fishing,134,95bfffa86-6526-f9f7-9c07-b85afcf69785,public-global-vessel-identity:v4.0
