name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Saad Omar Guelleh,621819088,DJI,Djibouti,Passenger,53,eed295304-40b4-5cbd-cb6a-6f105bc9f773,public-global-vessel-identity:v4.0
Ali Mohamed Kako,621819090,DJI,Djibouti,Passenger,44,e0bd82dc6-6683-65a5-bd4d-f18fad0612ff,public-global-vessel-identity:v4.0
Dark Ocean,312109000,BLZ,Belize,Other,34,b784bb566-6f49-afc5-de82-35196b48271d,public-global-vessel-identity:v4.0
Capt. Elmi Robleh,621819075,DJI,Djibouti,Other,32,fe4b6a83d-d4fc-2ba1-5490-7cf1381df636,public-global-vessel-identity:v4.0
Marsa Virgo,352004751,PAN,Panama,Other,32,3d0e652fa-a55c-1a9b-0a8c-e9718cb615a2,public-global-vessel-identity:v4.0
Elreedy Star,622112802,EGY,Egypt,Cargo,30,3745b8aa7-7fee-d9ad-5d31-8664b28b3f77,public-global-vessel-identity:v4.0
Africa Sun,621819050,DJI,Djibouti,Cargo,27,2d03d7059-9af4-98de-67a2-7fef7e13a2ee,public-global-vessel-identity:v4.0
Ssf Lyra,341783001,KNA,Saint Kitts and Nevis,Cargo,27,5db8ccf37-7f60-7099-7f50-8ec7807eff65,public-global-vessel-identity:v4.0
Tuwiq 1,677028600,TZA,Tanzania,Other,26,f8c15ea23-3379-d315-3578-a5e7fc780379,public-global-vessel-identity:v4.0
Safeen Prism,538005224,MHL,Marshall Islands,Cargo,24,895bd6172-2414-ffe5-eb61-f16aa2eca1ce,public-global-vessel-identity:v4.0
Tj Zarar,352001894,PAN,Panama,Cargo,23,fa0631937-7841-774e-7502-ddac2c525265,public-global-vessel-identity:v4.0
Kota Naga,565893000,SGP,Singapore,Cargo,20,c232a671d-dd11-eeeb-9b6f-7956f187cc48,public-global-vessel-identity:v4.0
Col. Major Ali Gaad,375332000,VCT,Saint Vincent and the Grenadines,Other,19,30f251156-6015-569f-0a29-f7ce59cba73e,public-global-vessel-identity:v4.0
Red Sea 1,621819089,DJI,Djibouti,Other,19,7ee60d63b-b43e-b44d-dee6-1571564203a4,public-global-vessel-identity:v4.0
Safeen Pride,538009719,MHL,Marshall Islands,Cargo,19,1978a74d9-9a7a-d6ac-6224-ed469393c5de,public-global-vessel-identity:v4.0
Kota Nanhai,563011000,SGP,Singapore,Cargo,19,3a47a92e1-1ac7-05db-5e1f-f004e4e9731d,public-global-vessel-identity:v4.0
Apnoia,215282000,MLT,Malta,Bunker,18,cc61d66e1-1bb0-5137-262e-65ff69b10e71,public-global-vessel-identity:v4.0
Lady Maria,677062000,TZA,Tanzania,Cargo,17,ef9d065ad-d1e4-7de6-6246-092eb99d6b3f,public-global-vessel-identity:v4.0
