name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Wolf,735059970,ECU,Ecuador,Passenger,686,6e5c8c03c-c9b7-6f40-45f7-2877d6adce44,public-global-vessel-identity:v4.0
Sigiloza,735058367,ECU,Ecuador,Passenger,681,1575011ff-f324-e713-9743-b86d41fed69b,public-global-vessel-identity:v4.0
Queen Jenny,735060423,ECU,Ecuador,Passenger,667,1a52772b5-51ea-1d1e-d4c6-882ce11e9250,public-global-vessel-identity:v4.0
Susy Love,735060019,ECU,Ecuador,Passenger,632,caed89fbd-df0f-9690-3c83-e98bf99d4460,public-global-vessel-identity:v4.0
Legendary,735060422,ECU,Ecuador,Passenger,580,9cea0f341-1139-3b4c-2930-4ee5b1d8e22f,public-global-vessel-identity:v4.0
Brithanny I,735059228,ECU,Ecuador,Passenger,559,7daeafe7a-a4ea-93da-42eb-64b3c4d1815c,public-global-vessel-identity:v4.0
Angel Kellie I,735060389,ECU,Ecuador,Passenger,554,3ecae7bc3-36e2-0644-421b-8cd5bb0dd49d,public-global-vessel-identity:v4.0
D Luis,735059180,ECU,Ecuador,Passenger,543,37555affb-b081-0a73-1580-37686770b06f,public-global-vessel-identity:v4.0
Andy,735058546,ECU,Ecuador,Passenger,510,40e1bd1a6-633e-4567-c243-6c739c1c6fbf,public-global-vessel-identity:v4.0
Andy II,735059676,ECU,Ecuador,Passenger,506,5e1d90d4d-d818-4e56-de1a-c7fabc592bef,public-global-vessel-identity:v4.0
King Marine II,735058745,ECU,Ecuador,Passenger,502,5e307803a-a479-e752-2405-5fcf47a93a58,public-global-vessel-identity:v4.0
Gaviota,735059994,ECU,Ecuador,Passenger,502,49f0d4dd2-21d8-8f50-f5fe-deea3b1bcac6,public-global-vessel-identity:v4.0
Destiny I,735060399,ECU,Ecuador,Passenger,497,2182e8d4d-d709-65da-32e7-e19b12f5ace6,public-global-vessel-identity:v4.0
Sea Baby,735060111,ECU,Ecuador,Passenger,493,68cb4353c-c2cf-de8e-0089-62ab5e1ed151,public-global-vessel-identity:v4.0
Spondylus,735059184,ECU,Ecuador,Passenger,486,abccec817-7413-37bd-03cd-02d5543e2d46,public-global-vessel-identity:v4.0
Arrecife,735058048,ECU,Ecuador,Passenger,479,3f9bf90b6-62d7-2fa1-3164-c49d58f6723d,public-global-vessel-identity:v4.0
Gladel,735058707,ECU,Ecuador,Passenger,477,d49579bc2-2648-67e1-ee8c-32a063546ce7,public-global-vessel-identity:v4.0
Cactus,735059695,ECU,Ecuador,Passenger,466,0ce7d6688-8005-aeb1-ec32-dcd11ebce85b,public-global-vessel-identity:v4.0
Dorada,735059219,ECU,Ecuador,Passenger,448,9d95b5204-40a3-2155-8d72-19c9701600d2,public-global-vessel-identity:v4.0
Golden Ray I,735060418,ECU,Ecuador,Passenger,445,daae34c09-97e8-65c5-92c6-b9b886661e14,public-global-vessel-identity:v4.0
Maranatha,735059200,ECU,Ecuador,Passenger,429,862b34edb-bbe3-90ca-e3d5-01e0fd3a4c64,public-global-vessel-identity:v4.0
Nabiry,735059250,ECU,Ecuador,Passenger,429,dc9ab3113-33c6-5d26-0a06-24a0f338864b,public-global-vessel-identity:v4.0
Anita,735058969,ECU,Ecuador,Passenger,428,0867e448b-b539-aff8-ff6d-c1bb8da5b25a,public-global-vessel-identity:v4.0
Diana II,735060557,ECU,Ecuador,Passenger,416,19937fc92-28eb-9109-841f-b2f1c512076a,public-global-vessel-identity:v4.0
New Cristel,735059248,ECU,Ecuador,Passenger,416,f7377951c-c244-c61c-3115-7789db3a46b7,public-global-vessel-identity:v4.0
Isabela II,735059039,ECU,Ecuador,Passenger,414,23307dc9e-e7ac-5ff8-23ef-a3415f1001b7,public-global-vessel-identity:v4.0
Speed Pacific I,735059907,ECU,Ecuador,Passenger,411,4b93b9e3f-f479-5e69-059d-393b26f79d9e,public-global-vessel-identity:v4.0
Galapagos Endemic,735059796,ECU,Ecuador,Passenger,405,04456fc22-2d09-b287-51c3-4f1537fe549e,public-global-vessel-identity:v4.0
