name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Saam Mississippi,352004555,PAN,Panama,Other,318,14588cf4c-c2a0-123a-243c-4afe52e621f7,public-global-vessel-identity:v4.0
Saam Tarqui,354444000,PAN,Panama,Other,267,20735e7f6-670c-2c31-ff80-958e06143b91,public-global-vessel-identity:v4.0
Saam Jarocho,352978140,PAN,Panama,Other,257,c303b382c-c4f6-6fe7-1776-10082df17a8c,public-global-vessel-identity:v4.0
Saam San Lorenzo,354156000,PAN,Panama,Other,255,034e7c9a0-046d-0607-122b-482081557adf,public-global-vessel-identity:v4.0
Flying Cloud,735059329,ECU,Ecuador,Other,220,1acd03e26-6e4b-57f5-475c-19b1768583ff,public-global-vessel-identity:v4.0
Camila III,735059998,ECU,Ecuador,Other,209,ac7de08ff-f7a3-bf62-106d-4effa1448fee,public-global-vessel-identity:v4.0
Maria Del Carmen V,735058840,ECU,Ecuador,Other,199,12fe60359-9be3-f545-7c48-ff6f39b54d35,public-global-vessel-identity:v4.0
Navaho,735058078,ECU,Ecuador,Other,195,bbb100918-8d03-3dbe-c413-a746ebddd1ba,public-global-vessel-identity:v4.0
Maria Del Carmen III,735057784,ECU,Ecuador,Other,163,9cecccc60-02e5-7d80-2825-0447a6e7c42d,public-global-vessel-identity:v4.0
Bt Farallon,735058776,ECU,Ecuador,Other,160,a6f6cd633-3455-f977-24a7-2d526ad44838,public-global-vessel-identity:v4.0
Bt Rio Amazonas,735058197,ECU,Ecuador,Other,157,673f9a7eb-b035-a2ba-8f90-c02b04e62acf,public-global-vessel-identity:v4.0
Camila,735059839,ECU,Ecuador,Other,153,ab1ce4d99-9f52-6c41-47d9-86b2758852ce,public-global-vessel-identity:v4.0
Ram Puyango,735059214,ECU,Ecuador,Other,147,229a12df3-34c4-edf4-9942-eece4dbca211,public-global-vessel-identity:v4.0
Andes VI,735059235,ECU,Ecuador,Other,145,9c0d91dd9-9efd-c5b8-615f-413e3e60135e,public-global-vessel-identity:v4.0
Maria Del Carmen IV,735058041,ECU,Ecuador,Bunker,144,7810f67a4-4c4a-c428-e262-af95e76ea6f4,public-global-vessel-identity:v4.0
Sangay,735060179,ECU,Ecuador,Other,128,61ae9472c-cee5-67eb-82cf-96151f4fbae5,public-global-vessel-identity:v4.0
Puelo,370022000,PAN,Panama,Cargo,122,838e58c2c-ca6f-2b7e-a7c7-e8f353b28b43,public-global-vessel-identity:v4.0
Ram Macara,735059297,ECU,Ecuador,Other,117,08ca9387e-e418-a642-d6f0-66675cff7e18,public-global-vessel-identity:v4.0
Angol,735060442,ECU,Ecuador,Other,107,c9e80ecaf-ffe0-0541-77bb-53df7c91b461,public-global-vessel-identity:v4.0
Al-Idrisi,253495000,LUX,Luxembourg,Other,103,ad00c5ab2-2d1f-6dae-f0e8-e9abf1f706bd,public-global-vessel-identity:v4.0
Ram Yasuni,735058841,ECU,Ecuador,Other,96,664d3855f-fbb3-20f4-7b00-657481447d28,public-global-vessel-identity:v4.0
Condor,735060094,ECU,Ecuador,Other,96,0d4747582-2c2e-07a0-4256-e793570128ea,public-global-vessel-identity:v4.0
Libertad III,735057614,ECU,Ecuador,Other,95,0c366d14d-d1f0-1939-7ef8-57903dec8c17,public-global-vessel-identity:v4.0
Caripe,735059288,ECU,Ecuador,Fishing,91,b7d23488a-aaea-b30d-a987-8c40180143a4,public-global-vessel-identity:v4.0
Santorini,735060181,ECU,Ecuador,Other,89,cff533120-07cf-e3b1-62bd-e54a3a03c273,public-global-vessel-identity:v4.0
Psa Aguila (Gp28),563010430,SGP,Singapore,Passenger,85,675c1bc88-84a7-4b90-e09f-9e4bb7eb1abf,public-global-vessel-identity:v4.0
Mt.Victoria,735059140,ECU,Ecuador,Other,80,7a43c8a13-3983-0b30-6469-4ff9b154c2a8,public-global-vessel-identity:v4.0
Ciudad De Esmeraldas,735059766,ECU,Ecuador,Other,79,7f985b488-8939-47e4-34a0-461eff684744,public-global-vessel-identity:v4.0
Florida,735059280,ECU,Ecuador,Fishing,77,6c845423f-ffd8-205a-4c85-8bcb582d3dc4,public-global-vessel-identity:v4.0
