name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Al Sadiyat 16,470475247,ARE,United Arab Emirates,Passenger,1948,966f9796e-e98d-772a-aba2-23c5e64b4456,public-global-vessel-identity:v4.0
Al Safeer 4,470008953,ARE,United Arab Emirates,Other,1713,41d0537a1-1166-e3e3-e462-cc46981f95d5,public-global-vessel-identity:v4.0
Al Misbar,470450000,ARE,United Arab Emirates,Other,1703,3b867822f-f017-c2b5-c496-9db4b61c7536,public-global-vessel-identity:v4.0
Al Dairah,471229000,---,---,Other,1702,42a7f4432-2ea7-41b2-82a3-fd9113e858d3,public-global-vessel-identity:v4.0
Fujairah Pilot 2,470500000,ARE,United Arab Emirates,Other,1462,4e23c4bb6-6305-305e-db41-2815ec823ae2,public-global-vessel-identity:v4.0
Fujairah Pilot 1,470499000,ARE,United Arab Emirates,Other,1366,73685bb0d-d0fe-f143-287d-a06a861e7e4c,public-global-vessel-identity:v4.0
Al Safeer 1,470331000,ARE,United Arab Emirates,Other,1309,04ab2c252-2323-a81b-6d06-9c0958a54ba7,public-global-vessel-identity:v4.0
Murshid,471121000,---,---,Fishing,1240,6e846391a-ab08-3940-976c-48eab53a6567,public-global-vessel-identity:v4.0
Stanford Seal,377484000,VCT,Saint Vincent and the Grenadines,Other,1149,cb0476cc2-2867-f574-fabf-54aa2d6483d5,public-global-vessel-identity:v4.0
Agathe,341591000,KNA,Saint Kitts and Nevis,Fishing,1073,42bd6c367-7483-7af0-ade3-e0668863c571,public-global-vessel-identity:v4.0
Morjan,471179000,---,---,Other,1018,bd4972664-4431-f7a0-ec33-a2261efc9465,public-global-vessel-identity:v4.0
Adnoc C 01,470081000,ARE,United Arab Emirates,Other,959,4073e0cf9-9d1b-7002-0671-74fb62e2b184,public-global-vessel-identity:v4.0
Amouage,470026000,ARE,United Arab Emirates,Other,943,ccc75beda-a94e-a717-e95d-1492f0cff2fd,public-global-vessel-identity:v4.0
Umm Khorah,470451000,ARE,United Arab Emirates,Other,888,58bc78ed5-5570-e44b-5311-afc7236bd32d,public-global-vessel-identity:v4.0
Dn 78,645262000,MUS,Mauritius,Passenger,872,c0cb4680b-b880-77d7-12ff-c6fb0caedf94,public-global-vessel-identity:v4.0
Stanford Mermaid,377012000,VCT,Saint Vincent and the Grenadines,Other,814,f8886d259-9795-0c9c-1d1c-59cd44a31905,public-global-vessel-identity:v4.0
Jed,470659200,ARE,United Arab Emirates,Other,769,f350f4cfc-cd35-0887-adad-d2c3588b26a8,public-global-vessel-identity:v4.0
Delma 1,470549000,ARE,United Arab Emirates,Passenger,760,2b33edfc7-75e3-88ec-f2ef-66b1cc032fc3,public-global-vessel-identity:v4.0
Dta 11,538007868,MHL,Marshall Islands,Other,757,22c0e259a-a259-c2dc-1dec-710e6fbe1fa2,public-global-vessel-identity:v4.0
Dn200,645254000,MUS,Mauritius,Other,746,60947c836-6a24-f85a-c4b0-266f897accec,public-global-vessel-identity:v4.0
Mcs Allianz Levanto,371921000,PAN,Panama,Other,734,5349d3eb6-6321-24ba-9558-c1469bad836f,public-global-vessel-identity:v4.0
Victoria 2,341764001,KNA,Saint Kitts and Nevis,Other,716,7f9116992-2afa-a36d-54a6-1c0029c48a3c,public-global-vessel-identity:v4.0
Allianz Surfer 3,376904000,VCT,Saint Vincent and the Grenadines,Other,716,ddd801cb4-4c9e-5b8a-c4f6-9d96d414a234,public-global-vessel-identity:v4.0
Sharafdiamond,470479000,ARE,United Arab Emirates,Other,708,f8ea90f3c-ca5d-faaa-b99b-7e48e19adcf9,public-global-vessel-identity:v4.0
Rubban,471178000,---,---,Other,688,85c37f0a7-7d4f-5df7-6c35-92004b36e884,public-global-vessel-identity:v4.0
Al Sadiyat 19,470102344,ARE,United Arab Emirates,Passenger,684,515daf251-1730-f2d9-e4c0-638fe9ab6c62,public-global-vessel-identity:v4.0
Adnoc C04,470232000,ARE,United Arab Emirates,Other,675,4b56a1c57-74ef-281c-db5a-cb8a42a6c482,public-global-vessel-identity:v4.0
Shaima,470572000,ARE,United Arab Emirates,Other,642,678b7ae90-0dcb-a56a-d306-4ab51c2e69bd,public-global-vessel-identity:v4.0
Ameer Alkouloub,470389000,ARE,United Arab Emirates,Other,630,2429a96fc-cf5a-fcf6-2491-14b3dd35b881,public-global-vessel-identity:v4.0
Adnoc P01,470009227,ARE,United Arab Emirates,Other,618,5140a21b8-8e64-cab9-ecf3-633fbfd64527,public-global-vessel-identity:v4.0
Yasat,470122000,ARE,United Arab Emirates,Other,618,bc08083ac-cd0e-19ab-ef88-5730558e67fe,public-global-vessel-identity:v4.0
Axelle,341759000,KNA,Saint Kitts and Nevis,Other,605,04ff47bb8-8e5d-bb86-fdc7-462f799c1fe2,public-global-vessel-identity:v4.0
Adnoc M05,470069000,ARE,United Arab Emirates,Other,602,1021838aa-aa86-27b7-7ec7-16234ecd08a4,public-global-vessel-identity:v4.0
Blackbird,246093000,NLD,Netherlands,Other,593,6a7ea7b93-3f96-ff6a-bd35-594dd4924806,public-global-vessel-identity:v4.0
Blueshark 14,470010441,ARE,United Arab Emirates,Passenger,583,7c24d49a8-8f99-f539-bf02-b66136e3ceb0,public-global-vessel-identity:v4.0
Stanford Puma,376668000,VCT,Saint Vincent and the Grenadines,Other,582,d3579a7c0-0f82-762b-39af-cd8b8d2024ba,public-global-vessel-identity:v4.0
Buzzard,246564000,NLD,Netherlands,Other,581,87efce062-274c-13ff-8acf-f14fb5940279,public-global-vessel-identity:v4.0
Kingfisher,245479000,NLD,Netherlands,Other,576,4fedbbc1f-fb7c-3284-b66d-9fa9107f15a6,public-global-vessel-identity:v4.0
Dn72,645754000,MUS,Mauritius,Other,562,9c5bba3a5-5820-0860-8c75-daeeceff6800,public-global-vessel-identity:v4.0
Blue Shark 13,470009199,ARE,United Arab Emirates,Passenger,557,fe5663ac2-2d6f-18dc-daf4-f577d7f3b6b5,public-global-vessel-identity:v4.0
Adnoc 714,470317000,ARE,United Arab Emirates,Other,555,fd2268980-0908-878c-2f10-89c008f5b2a9,public-global-vessel-identity:v4.0
Delma 2,470226000,ARE,United Arab Emirates,Passenger,550,bc73a6bc7-70d1-0045-a3ac-eaf57e73449b,public-global-vessel-identity:v4.0
Al Saadiyat,470213000,ARE,United Arab Emirates,Other,533,b40ea5f9a-ab5f-6a9d-36d7-3f18824eb088,public-global-vessel-identity:v4.0
Adnoc M06,470071000,ARE,United Arab Emirates,Other,521,f909a1a03-3050-8e08-0798-b369e551b633,public-global-vessel-identity:v4.0
Salford 12,636024979,LBR,Liberia,Other,514,2ca4e6312-2e53-a3de-c0f7-8906c35e103a,public-global-vessel-identity:v4.0
Ghagha-1,470123000,ARE,United Arab Emirates,Other,506,547a85db9-9c54-f36a-298a-114f5a875824,public-global-vessel-identity:v4.0
Al Fazeiya,470741000,ARE,United Arab Emirates,Other,505,02d76b8d9-9cd7-2d1f-7652-294dd9396f9c,public-global-vessel-identity:v4.0
Sea Line 1,470080000,ARE,United Arab Emirates,Other,502,35f6a909c-c265-88cc-3e20-607d8e5b717e,public-global-vessel-identity:v4.0
Norah-1,470729000,ARE,United Arab Emirates,Other,485,ff538ff0c-cb42-071d-9ac0-9aff1d75191b,public-global-vessel-identity:v4.0
Gerardus Mercator,645309000,MUS,Mauritius,Other,471,da4929a33-3890-0505-dc43-c7e77f467359,public-global-vessel-identity:v4.0
Lct Hawaya,470665000,ARE,United Arab Emirates,Cargo,452,252c78cbc-c9d7-b6a9-8d6b-d8e1842ba60e,public-global-vessel-identity:v4.0
Survey 4,470767000,ARE,United Arab Emirates,Other,451,240b8a8ee-edb1-4f96-600f-cb87669241ba,public-global-vessel-identity:v4.0
Mcs Coromell,373163000,PAN,Panama,Other,451,4d67e53a2-2ac9-4a28-7a6b-5606ef2e9806,public-global-vessel-identity:v4.0
Lms 34,470857417,ARE,United Arab Emirates,Passenger,450,1d7f50213-3325-e373-0bdc-e5f2b9962352,public-global-vessel-identity:v4.0
Bilshuoum,470766000,ARE,United Arab Emirates,Other,447,0c864cf19-9a5a-e8dc-f648-500e9dc51d49,public-global-vessel-identity:v4.0
Dayyinah Star 1,470900000,ARE,United Arab Emirates,Other,447,4cb401987-79f6-e5e9-e240-491bc8cea0bb,public-global-vessel-identity:v4.0
Al Sadiyath 8,470587654,ARE,United Arab Emirates,Passenger,428,dc5bb5ee5-5451-7e1d-0c6d-0587bb390ca2,public-global-vessel-identity:v4.0
Al Aliah,470270000,ARE,United Arab Emirates,Other,426,d579fa3bc-c845-13da-3971-45886dcb1f3e,public-global-vessel-identity:v4.0
Al Jimi 1,470599000,ARE,United Arab Emirates,Other,426,e54a0e74f-fe5a-a0e5-9a61-cc2817dc8e9a,public-global-vessel-identity:v4.0
Dta 9,538007866,MHL,Marshall Islands,Other,415,0c3d5d19d-d806-6bcb-2e10-b22b13e588a4,public-global-vessel-identity:v4.0
Mcs Allianz Amber,356021000,PAN,Panama,Other,415,807d2961c-ceae-c078-3a25-3263d364f1f6,public-global-vessel-identity:v4.0
Dn 30,645164000,MUS,Mauritius,Other,412,0483d64b0-0aeb-291c-557e-f7a4ea83f96c,public-global-vessel-identity:v4.0
Al Shaheed,471032000,---,---,Other,411,b344e0db4-4de1-91fe-8906-8363679a067e,public-global-vessel-identity:v4.0
Dn76,645248000,MUS,Mauritius,Other,407,8463240fc-c4db-e2b7-7a71-2e647cd4a170,public-global-vessel-identity:v4.0
Adnoc 713,470970000,ARE,United Arab Emirates,Other,405,cc67bbf56-6ea7-29a6-2848-1256e44c2307,public-global-vessel-identity:v4.0
Allianz Citrine,352005180,PAN,Panama,Other,404,5ecb1508d-df9a-344f-4da4-013501e47e8a,public-global-vessel-identity:v4.0
Caspian Breeze,436000089,KAZ,Kazakhstan,Other,401,b63ce1092-2aaa-a5c2-8819-87694fa96dcd,public-global-vessel-identity:v4.0
Lct Emsameh,470087000,ARE,United Arab Emirates,Other,397,c19b920dd-d166-bb67-e848-c0a7c6a28b94,public-global-vessel-identity:v4.0
Safeer 2,470007563,ARE,United Arab Emirates,Other,395,199002b34-4e3f-276c-0a68-821013534997,public-global-vessel-identity:v4.0
Dta 8,538007865,MHL,Marshall Islands,Other,394,de24611bd-d70c-0705-c83e-477e8943c8d7,public-global-vessel-identity:v4.0
Al Ruwais,471065000,---,---,Other,391,1476bd212-2f81-118f-a865-7f3901e2c332,public-global-vessel-identity:v4.0
MV Atlas Jade,671946000,TGO,Togo,Other,383,2b5aad1b4-48fa-fe76-ac97-e93a2257ee40,public-global-vessel-identity:v4.0
Sils-1,470037000,ARE,United Arab Emirates,Other,371,127d8d90a-a204-e276-1c84-cd6b0172beb3,public-global-vessel-identity:v4.0
Tawam 1,470154000,ARE,United Arab Emirates,Other,369,ab535e080-0574-ec3e-9f8f-63a5029dfacf,public-global-vessel-identity:v4.0
Dn91,645302000,MUS,Mauritius,Other,369,017816a42-2b28-c99f-4b5f-c3a2ed39cf19,public-global-vessel-identity:v4.0
Encore,471107000,---,---,Passenger,368,e6e65c46d-d5d7-fdcb-4fa9-e8bd62cbc395,public-global-vessel-identity:v4.0
Falcon,566874000,SGP,Singapore,Other,368,c7fb2c568-826e-9d18-c134-fd5f32350f4c,public-global-vessel-identity:v4.0
Al Jaser 3,471141000,---,---,Other,363,f13e87565-57db-33fd-48cb-e8e1a8b87a81,public-global-vessel-identity:v4.0
Monjasa Shaker,636020734,LBR,Liberia,Other,362,439610e35-5b48-ae32-ecac-fda8bc98ad4a,public-global-vessel-identity:v4.0
Jewaher 1,470316000,ARE,United Arab Emirates,Other,353,1faaa3821-17c7-6ced-1e65-320063b76f4d,public-global-vessel-identity:v4.0
Taibah 1,470906000,ARE,United Arab Emirates,Other,349,f1a171423-39b0-be70-6b6c-1dc1f75c8c17,public-global-vessel-identity:v4.0
Sm 7 Sudha,470537000,ARE,United Arab Emirates,Other,347,728d9744a-aab0-0f9d-7782-e9fc9527a056,public-global-vessel-identity:v4.0
Inchcape 5,470646000,ARE,United Arab Emirates,Other,346,364b55bb6-6622-801b-690c-c074ff380874,public-global-vessel-identity:v4.0
Topaz Ob,538007333,MHL,Marshall Islands,Other,345,7304948e7-790b-cf4b-60e5-a9e43c7f2541,public-global-vessel-identity:v4.0
Sm Mandiri,525007376,IDN,Indonesia,Other,344,356c206e7-7edc-dbd7-c46d-d2c608d112bf,public-global-vessel-identity:v4.0
Wardeh 1,471047000,---,---,Other,343,086dd4905-5e72-f985-7c5b-80377d0d36ad,public-global-vessel-identity:v4.0
Adnoc 511,470897000,ARE,United Arab Emirates,Other,342,d244b45a7-7aa8-6b75-1503-e378a2c90f56,public-global-vessel-identity:v4.0
Adnoc  510,470898000,ARE,United Arab Emirates,Other,337,1f73784be-e268-8a43-6175-73a477f9153f,public-global-vessel-identity:v4.0
Fnsa 6,470920000,ARE,United Arab Emirates,Other,336,fbaf103e6-6d10-38c0-6329-99758e2fab73,public-global-vessel-identity:v4.0
Sea Pioneer,408201074,BHR,Bahrain,Other,334,edad6ebfe-e9c7-4786-cc92-580c44631e68,public-global-vessel-identity:v4.0
Bardsey Island,235083529,GBR,United Kingdom,Other,334,a40e66d1d-d99f-651b-d2ef-7dfe95680b4b,public-global-vessel-identity:v4.0
Monjasa Server,636020246,LBR,Liberia,Other,334,682ec85d4-4fff-b084-401f-a68236a52e5e,public-global-vessel-identity:v4.0
Mutawa 301,470514000,ARE,United Arab Emirates,Other,333,299a1370a-ab2e-28e3-b97a-7da4596deaf0,public-global-vessel-identity:v4.0
Dms Courageous,538006333,MHL,Marshall Islands,Other,329,da567ebac-c9f4-63fe-3ca7-970e863b8a48,public-global-vessel-identity:v4.0
Adnoc 512,470979000,ARE,United Arab Emirates,Other,322,ee2d88484-4925-41d5-a202-67d6be45c433,public-global-vessel-identity:v4.0
Dubai Fortune,209258000,CYP,Cyprus,Cargo,322,23bce3805-5576-6c9e-3025-34e3667838b8,public-global-vessel-identity:v4.0
Barag 1,470304000,ARE,United Arab Emirates,Other,321,57d5f86ce-e5bd-ffe4-ce32-2c7e144b1d46,public-global-vessel-identity:v4.0
Pioneer Eagle,376818000,VCT,Saint Vincent and the Grenadines,Other,321,4b5b6acb0-034d-f08c-5eec-2892329da6b2,public-global-vessel-identity:v4.0
Remah-1,470165000,ARE,United Arab Emirates,Other,319,d84c8c0b6-667b-e8de-6a23-f0e95b88f466,public-global-vessel-identity:v4.0
Dta-3,470685000,ARE,United Arab Emirates,Other,318,5311398df-f722-2dea-d835-6f5fe80d8482,public-global-vessel-identity:v4.0
Geo Motion,245225000,NLD,Netherlands,Other,315,cac2b9201-1bf2-9c3f-7dc5-3e9b03933dd8,public-global-vessel-identity:v4.0
Puffin Two,636021985,LBR,Liberia,Other,314,d4399e1aa-a986-b757-8085-62e7790f6214,public-global-vessel-identity:v4.0
Haqul-1,470038000,ARE,United Arab Emirates,Other,313,cd8b22843-379a-4bef-23b2-d4a411b02ffa,public-global-vessel-identity:v4.0
Allianz Opal,370027000,PAN,Panama,Other,313,6dc9a637c-c366-dc39-2f4f-04ef61475fac,public-global-vessel-identity:v4.0
Al Ain,470667000,ARE,United Arab Emirates,Other,312,05d35920b-b181-f254-a1c2-8b2cc63dfd54,public-global-vessel-identity:v4.0
Allianz Chloe,376349000,VCT,Saint Vincent and the Grenadines,Other,311,98dd03d82-2ca6-f60c-1c5d-8256a877242a,public-global-vessel-identity:v4.0
Mutawa 312,470445000,ARE,United Arab Emirates,Other,310,4cfabfacf-f27c-5aa7-7313-bb831ba068ea,public-global-vessel-identity:v4.0
Zakher Ocean,352002162,PAN,Panama,Other,310,6214396da-a127-50c3-131c-d8a1f854eedb,public-global-vessel-identity:v4.0
Allianz Liberty,376145000,VCT,Saint Vincent and the Grenadines,Other,307,1ce03b78c-c306-fab1-7ab7-3ce79f72b750,public-global-vessel-identity:v4.0
I.N.W-5,373829000,PAN,Panama,Other,307,474b62cc3-371d-3cba-5925-18bc319c4e24,public-global-vessel-identity:v4.0
Tarffah 1,470159000,ARE,United Arab Emirates,Other,306,efbc3a03d-d751-5a3f-9190-cd076583aea3,public-global-vessel-identity:v4.0
Bes Savvy,538011157,MHL,Marshall Islands,Other,304,72ff25d8f-fab8-a9ff-35d2-02f1846ce1ff,public-global-vessel-identity:v4.0
Al Safeer 3,470007905,ARE,United Arab Emirates,Other,303,2140a231d-d107-00fd-0fdf-db27126e7af6,public-global-vessel-identity:v4.0
Sea Parrot,470943000,ARE,United Arab Emirates,Other,303,b55f7f2b2-20f7-209b-c477-06bde66c2a1a,public-global-vessel-identity:v4.0
Smit Lumut,636092758,LBR,Liberia,Other,302,2463db495-5078-f1fd-c671-63745ad59387,public-global-vessel-identity:v4.0
Bima Sembilan,377057000,VCT,Saint Vincent and the Grenadines,Other,302,7ae4a9c5c-c760-015f-e4eb-f114f2f8d37d,public-global-vessel-identity:v4.0
