name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Zula,377069000,VCT,Saint Vincent and the Grenadines,Other,19,f4d38cd61-1155-325e-1374-0828b353b56d,public-global-vessel-identity:v4.0
Africa Sun,621819050,DJI,Djibouti,Cargo,9,2d03d7059-9af4-98de-67a2-7fef7e13a2ee,public-global-vessel-identity:v4.0
Ming Qiang Xing,352005474,PAN,Panama,Other,4,d0a7f387f-f462-c52b-14e3-8af80f6dbbe5,public-global-vessel-identity:v4.0
Alawad1,671373000,TGO,Togo,Cargo,4,abb356488-8907-042f-ab34-99fb48ccd3a8,public-global-vessel-identity:v4.0
Elreedy Star,622112802,EGY,Egypt,Cargo,4,3745b8aa7-7fee-d9ad-5d31-8664b28b3f77,public-global-vessel-identity:v4.0
Sea Runner,636021904,LBR,Liberia,Other,4,c612d6cce-ecfe-ac01-f465-2823b7013080,public-global-vessel-identity:v4.0
Catalonia,305312000,ATG,Antigua and Barbuda,Cargo,3,d12e80924-48ee-8f1e-3560-8d6e18510110,public-global-vessel-identity:v4.0
Gas Melody,636023743,LBR,Liberia,Other,3,34994547a-a1d2-2119-c6f3-f1bd7d3d9635,public-global-vessel-identity:v4.0
Great Qin,352001481,PAN,Panama,Cargo,3,8ece2805c-c9e7-c779-37ec-2def7dc6dc31,public-global-vessel-identity:v4.0
Thuraya M,341607001,KNA,Saint Kitts and Nevis,Cargo,3,1702cf677-782a-b16d-c881-6fc8891e6f56,public-global-vessel-identity:v4.0
Sultan,341706001,KNA,Saint Kitts and Nevis,Cargo,3,2b7bdb999-97f2-0e85-2199-5647835b7582,public-global-vessel-identity:v4.0
Nokra,375659000,VCT,Saint Vincent and the Grenadines,Other,2,911e724c0-0d45-d210-b423-be1de321baaa,public-global-vessel-identity:v4.0
Maria,403640000,SAU,Saudi Arabia,Other,2,5256985ad-d1ec-d3e5-4a44-903e5f828393,public-global-vessel-identity:v4.0
Mica,636019627,LBR,Liberia,Other,2,cd36b2ac6-684c-06ce-77a1-aba8b771af74,public-global-vessel-identity:v4.0
Xin Hai Tong 21,538006687,MHL,Marshall Islands,Cargo,2,3ff93264c-ca0f-60b3-2935-1f8edf597779,public-global-vessel-identity:v4.0
Ps Pelican,352001463,PAN,Panama,Other,2,bc5b47ad9-9ef0-7dab-6fed-95463df43e7d,public-global-vessel-identity:v4.0
Tian You,413494710,CHN,China,Cargo,2,730ee4e2a-adf8-2010-e0d1-81761f5d06d1,public-global-vessel-identity:v4.0
Feng Hai,352003531,PAN,Panama,Other,2,afcead4a8-8db9-5d09-0f1c-7b6f3cc4221f,public-global-vessel-identity:v4.0
