name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Fort Trio,745003380,GUF,French Guiana,Passenger,262,6603760f3-3d8c-b1ab-712c-ed85ca4eb91e,public-global-vessel-identity:v4.0
Fregate,745005800,GUF,French Guiana,Other,102,1b8656cdc-c709-a8ba-223e-1509893002fe,public-global-vessel-identity:v4.0
Dreyfus,352938000,PAN,Panama,Cargo,76,ca8d07161-11ea-b8ec-a348-88c71868c6ad,public-global-vessel-identity:v4.0
Kabalebo,353779000,PAN,Panama,Passenger,53,063d69a5e-e719-580a-0fea-8d675223553a,public-global-vessel-identity:v4.0
Delta Queen II,373443000,PAN,Panama,Other,47,64773188e-e259-e914-6a41-23eaf09e5ac0,public-global-vessel-identity:v4.0
Morlander,235101545,GBR,United Kingdom,Fishing,47,70e79d397-7351-5c7d-60f0-c17340c32915,public-global-vessel-identity:v4.0
Demerara,229754000,MLT,Malta,Other,34,8996f2f90-06f3-2799-a568-1987e5ebd232,public-global-vessel-identity:v4.0
Pilote Joseph,745000310,GUF,French Guiana,Passenger,26,f713a0329-9fc0-06b6-dd5e-1b084ddc310b,public-global-vessel-identity:v4.0
Ilhan Bayrak,256438000,MLT,Malta,Other,24,15c9f5b6c-c203-a9a2-8547-e75d0789d1e0,public-global-vessel-identity:v4.0
Papillon,745005700,GUF,French Guiana,Other,18,396f81556-6197-e20b-27e8-caeebb719a2e,public-global-vessel-identity:v4.0
Unknown vessel,745000310,GUF,French Guiana,Passenger,17,d137ced34-495b-e82a-83e8-cc8e0e121b17,public-global-vessel-identity:v4.0
F/V Antillaise 2,745004200,GUF,French Guiana,Fishing,17,4828516b6-6f00-53dc-0b8d-f534e9e4730e,public-global-vessel-identity:v4.0
Janina,304373000,ATG,Antigua and Barbuda,Cargo,12,70c4225b1-1140-90eb-e558-afb31d00a318,public-global-vessel-identity:v4.0
Nadja,304460000,ATG,Antigua and Barbuda,Cargo,12,a09307328-89c8-fb4e-c49d-cb08d2deea6c,public-global-vessel-identity:v4.0
Mauritius Pride II,210503000,CYP,Cyprus,Cargo,11,f75ef4432-2f5a-03fa-3827-bd8c8d28b6a6,public-global-vessel-identity:v4.0
Hoegh Caribia,538009725,MHL,Marshall Islands,Cargo,10,686a920e8-8f86-a3ff-21e1-7d3abc4e0307,public-global-vessel-identity:v4.0
F/V Stereden,745002800,GUF,French Guiana,Fishing,10,caaa6364f-feb3-2d73-7a3f-de1424566dad,public-global-vessel-identity:v4.0
Basaran Bayrak,229878000,MLT,Malta,Other,9,16b31a9fb-b098-f1d9-7b24-656c577b7839,public-global-vessel-identity:v4.0
F/V La Floridienne 2,745004600,GUF,French Guiana,Fishing,9,d33021d73-3061-8d87-d6b9-a0e997707329,public-global-vessel-identity:v4.0
Marfret Niolon,253343000,LUX,Luxembourg,Cargo,8,702484156-6117-7075-03a4-71061e0a1cc6,public-global-vessel-identity:v4.0
Douce France,228395600,FRA,France,Cargo,8,e127f6d2e-e6c3-c05c-a7b3-724554021c4b,public-global-vessel-identity:v4.0
Asg Kherson,511101311,PLW,Palau,Other,8,49f4acfb1-1d82-d371-a45d-0b9163bd5e5a,public-global-vessel-identity:v4.0
Canopee,228438700,FRA,France,Cargo,7,6cb9213a1-1e09-f510-c296-39bf7e05a325,public-global-vessel-identity:v4.0
Puka,210517000,CYP,Cyprus,Cargo,7,033fafd01-1e08-bddb-c847-dc4a054a53be,public-global-vessel-identity:v4.0
Neptun Viking,244170050,NLD,Netherlands,Other,7,173bb8552-2198-e882-9ddc-597a33fc95fc,public-global-vessel-identity:v4.0
Altamira III,775993205,VEN,Venezuela,Fishing,6,93bc00642-2929-37fd-51e0-f5cd9df0e0d6,public-global-vessel-identity:v4.0
