name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Bangor,227644930,FRA,France,Passenger,2817,e9072cf0a-a711-2d4d-660c-16e3648c63f4,public-global-vessel-identity:v4.0
Vindilis,227003750,FRA,France,Passenger,2263,37abbad8d-d85a-f136-103e-a02bfdd971f5,public-global-vessel-identity:v4.0
Lh Pilot St Joseph,227211180,FRA,France,Passenger,1662,dbd4e1dab-baad-b2fd-e083-9429f9afadcd,public-global-vessel-identity:v4.0
Quehan,227981280,FRA,France,Passenger,1575,446f15eb2-253a-b58a-3552-e0f6f38a557c,public-global-vessel-identity:v4.0
Oscar Wilde,209479000,CYP,Cyprus,Passenger,1562,8274f3ed7-7996-3065-7550-a59e6d792b3e,public-global-vessel-identity:v4.0
Melvan,227051790,FRA,France,Passenger,1536,702d5491d-d765-4cd5-8514-49cdbec86062,public-global-vessel-identity:v4.0
Isle Of Inishmore,209093000,CYP,Cyprus,Passenger,1447,cb7a05d46-6555-5b98-07ef-d903ca32b010,public-global-vessel-identity:v4.0
P&O Pioneer,210385000,CYP,Cyprus,Other,1395,08d2ea33b-b00c-d6b3-1c21-c7f8dea548db,public-global-vessel-identity:v4.0
P&O Liberte,210384000,CYP,Cyprus,Passenger,1306,2d5ddec0d-debc-ea85-4cef-16ffdc20fa97,public-global-vessel-identity:v4.0
Cote D`Opale,228417600,FRA,France,Passenger,1295,d38e784a6-681e-6c0e-c349-8da440f7c30a,public-global-vessel-identity:v4.0
Fromveur II,228017700,FRA,France,Passenger,1240,6293d45a7-7cff-308d-c51e-3a4a5e312f9a,public-global-vessel-identity:v4.0
Cote Des Dunes,227022800,FRA,France,Passenger,1219,6bf433ccd-dd6f-16f3-6b7d-5594faae8e72,public-global-vessel-identity:v4.0
Spirit Of France,209490000,CYP,Cyprus,Passenger,1073,08d2fdccd-d74b-6b19-dc76-8a41096168c4,public-global-vessel-identity:v4.0
Lh Pilot St Honorine,228055080,FRA,France,Passenger,1056,07dde42d9-9747-58f0-54f3-216652bfc463,public-global-vessel-identity:v4.0
Dover Seaways,235010500,GBR,United Kingdom,Passenger,1055,c8d58114d-d35d-f9b4-e3b1-7cc6903b297b,public-global-vessel-identity:v4.0
Dunkerque Seaways,235028825,GBR,United Kingdom,Passenger,1017,eda675f52-29ed-92b5-20a7-266e8b357d95,public-global-vessel-identity:v4.0
Rouen Pilot Avocette,228147320,FRA,France,Passenger,1003,9c39b350a-a6af-a0bf-1f7c-7b278cff5223,public-global-vessel-identity:v4.0
Cote Des Flandres,228085000,FRA,France,Passenger,1001,5f6669efc-c21c-74d7-1ffc-6f5b8482f86c,public-global-vessel-identity:v4.0
Delft Seaways,235009590,GBR,United Kingdom,Passenger,928,5e3e7dead-dc5a-6cd8-9b9a-c31caee650d7,public-global-vessel-identity:v4.0
Enez Sun 3,227002630,FRA,France,Passenger,909,77e6ca613-3ebe-9e86-da65-6c34138daa9f,public-global-vessel-identity:v4.0
Cherbourg Pilot 4,227280790,FRA,France,Passenger,863,4d12de683-37ae-0e44-4e79-9114d1c04f2b,public-global-vessel-identity:v4.0
Pxx,228248740,FRA,France,Passenger,828,cee4bcce0-0256-116c-e07d-bce3c4abd17d,public-global-vessel-identity:v4.0
Lh Pilot St Cecile,227752910,FRA,France,Passenger,825,93f2b8281-19f3-9d82-97c7-f24a3f3cb6a5,public-global-vessel-identity:v4.0
