name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Saba,213002000,GEO,Georgia,Fishing,299,13ac9edaf-f09b-39fe-94dc-f674242a101a,public-global-vessel-identity:v4.0
Beshumi,213363000,GEO,Georgia,Fishing,216,674fc67f7-7099-1b30-9090-536a9e21a8cd,public-global-vessel-identity:v4.0
Vest,213422000,GEO,Georgia,Fishing,197,1a2701bbb-b89e-4546-1b0b-dbb840b1d7a5,public-global-vessel-identity:v4.0
Liberty,677041900,TZA,Tanzania,Other,188,9902382ec-cc16-91ab-2c7b-0304c29503b6,public-global-vessel-identity:v4.0
Irs,677028900,TZA,Tanzania,Other,187,ab58f2f23-3ac4-8d08-707e-0c7d7cc01bea,public-global-vessel-identity:v4.0
Hegemann IV,677066100,TZA,Tanzania,Other,165,3ea382743-3baa-cf83-19b3-082e9db735c6,public-global-vessel-identity:v4.0
Victoria,213994000,GEO,Georgia,Fishing,156,d7e835d42-2a36-7df0-8095-eb98507b23e5,public-global-vessel-identity:v4.0
Samegrelo,213004000,GEO,Georgia,Fishing,132,011f17b93-313f-c20e-d110-079a0f654bf8,public-global-vessel-identity:v4.0
Sl Tamari,213999000,GEO,Georgia,Fishing,130,ae2143be6-6f85-82dd-76d6-feaed5285cff,public-global-vessel-identity:v4.0
Argo,213007000,GEO,Georgia,Fishing,112,b0f51a0a6-6300-37df-3123-69b3d1f6be1d,public-global-vessel-identity:v4.0
David 2007,213191000,GEO,Georgia,Fishing,102,eded73a2b-b924-e1ba-c385-12fb4635001b,public-global-vessel-identity:v4.0
Ritsa,213005000,GEO,Georgia,Fishing,98,5604794a5-5a89-f25a-5bff-4a7ea2124ad2,public-global-vessel-identity:v4.0
Sl Crossbill,213062000,GEO,Georgia,Other,88,ea4df0e18-8133-f55b-ac67-c13222a1d207,public-global-vessel-identity:v4.0
Lanchkhuti,213003000,GEO,Georgia,Fishing,85,f77a20da5-56b8-074a-c228-f52a56eb36db,public-global-vessel-identity:v4.0
Albatros,213521000,GEO,Georgia,Fishing,76,2cb02854b-b1d6-d74d-7b92-edf6a3cda593,public-global-vessel-identity:v4.0
Pitsunda,213996000,GEO,Georgia,Fishing,73,2fb93a804-41b9-05aa-eb2a-72a6e433002a,public-global-vessel-identity:v4.0
Fazisi,213997000,GEO,Georgia,Fishing,72,7645d86d5-555b-8633-3bb7-264db3524ef9,public-global-vessel-identity:v4.0
Ilori,213995000,GEO,Georgia,Fishing,66,99c7cd371-1665-47b3-e7c7-039b729a0e9d,public-global-vessel-identity:v4.0
Schs1151,213381000,GEO,Georgia,Fishing,62,355d9c544-4741-a2b7-7fde-0fbaa2bd0d42,public-global-vessel-identity:v4.0
Iceberg 2,213577000,GEO,Georgia,Fishing,62,f282252eb-b811-6e0f-99d7-40353432a8da,public-global-vessel-identity:v4.0
Dromoni1,213579000,GEO,Georgia,Fishing,61,08cb8ce71-1ee1-8f3c-ea20-75308860c206,public-global-vessel-identity:v4.0
Marian B,667005127,SLE,Sierra Leone,Other,61,aa91473f1-1922-3410-c759-9c7863227134,public-global-vessel-identity:v4.0
Lazika,213974000,GEO,Georgia,Fishing,61,2d7c2014e-ef32-b37f-ca4b-737777ebbc2a,public-global-vessel-identity:v4.0
Geofish Company,213578000,GEO,Georgia,Fishing,61,42f1856e7-77f3-f9eb-aafb-b6437cae7d4b,public-global-vessel-identity:v4.0
