name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Enos,237448900,GRC,Greece,Passenger,4150,6d150db54-4eb3-d32d-e8b4-78e617131883,public-global-vessel-identity:v4.0
Vikentios Damodos,239692500,GRC,Greece,Passenger,3028,64d499ebb-b751-61a0-10a7-cde5199126f8,public-global-vessel-identity:v4.0
Protoporos VI,210263000,CYP,Cyprus,Cargo,3009,d84155732-2c60-9b4e-a045-8aeed669bf63,public-global-vessel-identity:v4.0
Dodekanisos Pride,240383000,GRC,Greece,Passenger,2763,0310f68b4-46cd-5fa1-0a48-26dc4a2cde3b,public-global-vessel-identity:v4.0
Aero 3 Highspeed,241804000,GRC,Greece,Passenger,2702,edf7fc83c-c7f6-baad-1213-a234ce9e8b67,public-global-vessel-identity:v4.0
Blue Star Naxos,239923000,GRC,Greece,Passenger,2486,da65b6426-69d3-e7c3-b3e9-8b9e87fb20b4,public-global-vessel-identity:v4.0
Artemis,237026300,GRC,Greece,Passenger,2337,0026df5ac-c2a7-9f57-d167-aea492b321ca,public-global-vessel-identity:v4.0
Ionion Pelagos,237029100,GRC,Greece,Passenger,2316,d4b9891f2-218f-b750-e3a1-ee1217cdf1c3,public-global-vessel-identity:v4.0
Mare DI Levante,240015000,GRC,Greece,Passenger,2246,0d62a0748-8a8d-aeba-7ce2-dfa5689a94b1,public-global-vessel-identity:v4.0
Super Jet,239430000,GRC,Greece,Passenger,2231,2c913e56d-d3d8-e313-5a55-e43b165ee171,public-global-vessel-identity:v4.0
Anax,240059600,GRC,Greece,Passenger,2178,bb511e43a-a17f-94b0-86e9-550cc20e3104,public-global-vessel-identity:v4.0
Aero 1 Highspeed,241802000,GRC,Greece,Passenger,2120,74350df82-2157-9f64-13fc-a38a8d4628e5,public-global-vessel-identity:v4.0
Flyingcat 3,239552000,GRC,Greece,Passenger,1989,a0c6fa290-0820-b7bc-8b83-60b50ac23017,public-global-vessel-identity:v4.0
Aero 2 Highspeed,241803000,GRC,Greece,Passenger,1953,182ba583c-c81e-2d4c-1715-baca2873a447,public-global-vessel-identity:v4.0
Agia Theodora,239619000,GRC,Greece,Passenger,1942,077f2be82-2ee3-7937-4b02-98b2aaa561b9,public-global-vessel-identity:v4.0
Ioannis-Sophia K,239985600,GRC,Greece,Passenger,1942,fa2f758f3-3e9a-bd9b-ec0f-0e1fca7b14e4,public-global-vessel-identity:v4.0
Evia Star,237363700,GRC,Greece,Passenger,1896,29d40ee50-034b-6271-4d28-479c2f746349,public-global-vessel-identity:v4.0
Flying Cat 5,237836900,GRC,Greece,Passenger,1856,9ac5d5a81-12be-7fb1-947b-ef8c90380f7f,public-global-vessel-identity:v4.0
Blue Star Myconos,240389000,GRC,Greece,Passenger,1796,05b8e3fef-f5a0-5b12-4967-051028953b48,public-global-vessel-identity:v4.0
