name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Arapaima,750000073,GUY,Guyana,Other,359,c6ef3f603-36bc-db6e-26e2-aba38d3db0c0,public-global-vessel-identity:v4.0
Haiama 1,750000085,GUY,Guyana,Other,185,38d431929-949f-0ca7-fb16-5600c5b23234,public-global-vessel-identity:v4.0
Alvar Nunez C D Vaca,253296000,LUX,Luxembourg,Other,144,db20eb9dd-d12c-17aa-21bd-b831bfd85613,public-global-vessel-identity:v4.0
Haiakwa,750000086,GUY,Guyana,Other,142,d29d1adc9-971f-680b-e2c2-cef4bf57792a,public-global-vessel-identity:v4.0
Yuan Heng Frieghter,750000048,GUY,Guyana,Other,99,0e6b80040-0063-f85f-ea99-20f5c459369f,public-global-vessel-identity:v4.0
Ganghua1,750006688,GUY,Guyana,Cargo,92,bef25a065-5904-644b-d6c4-cc9c9e0fa5d4,public-global-vessel-identity:v4.0
Michael Crombie Mcca,366724000,USA,United States of America,Other,85,322a48c24-4e1d-c0ca-4f87-0a473302bfd5,public-global-vessel-identity:v4.0
Emily Day Mccall,338582000,USA,United States of America,Other,80,3bdee2586-61a7-3b7e-4a73-78ded577ba68,public-global-vessel-identity:v4.0
As Of The Seas,341720000,KNA,Saint Kitts and Nevis,Other,70,e508a24de-e498-2a44-46f7-6e5b9f68bd2f,public-global-vessel-identity:v4.0
Long Yun 588,312814000,BLZ,Belize,Other,69,e5683d587-7a7b-3b12-956c-9c9ac5103454,public-global-vessel-identity:v4.0
Sanibel Island,367653270,USA,United States of America,Other,63,e8bcfc4e2-2380-7d8e-07d0-1bb4b7404363,public-global-vessel-identity:v4.0
Gerard Tide,577034000,VUT,Vanuatu,Other,58,f834f892f-f0f1-c45a-7add-45afd88eca34,public-global-vessel-identity:v4.0
Bourbon Front,253787000,LUX,Luxembourg,Other,57,581af6cf8-82d0-5a34-db61-fc5f83ebddf5,public-global-vessel-identity:v4.0
