name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Charlie 2,341775000,KNA,Saint Kitts and Nevis,Other,947,86487e29a-af9c-d4d6-604f-8381c4bce173,public-global-vessel-identity:v4.0
Charlie 1,341691000,KNA,Saint Kitts and Nevis,Other,794,460efea0d-d881-9ef6-50b0-66ae2ff9b07b,public-global-vessel-identity:v4.0
Tohid Qeshm,422069300,IRN,Iran (Islamic Republic of),Passenger,640,7f37cabe5-5d98-70b6-b9a1-8b9a0ec175a4,public-global-vessel-identity:v4.0
Hadi 2,422564000,IRN,Iran (Islamic Republic of),Other,621,5754933ba-a929-209d-ed18-a4eed24925c5,public-global-vessel-identity:v4.0
Arian9,422873000,IRN,Iran (Islamic Republic of),Cargo,569,c69e1d48c-c835-0a50-037b-65b3616f851e,public-global-vessel-identity:v4.0
Nava2,422850000,IRN,Iran (Islamic Republic of),Passenger,517,337bc8ae0-0696-b208-c25e-b56a58997e16,public-global-vessel-identity:v4.0
Aftab 111,42278000,---,---,Other,511,a49714e78-8741-bd73-d121-5f9195ea3540,public-global-vessel-identity:v4.0
Khoshnava,422066500,IRN,Iran (Islamic Republic of),Passenger,501,a678edf89-930c-c736-e08e-53697587431a,public-global-vessel-identity:v4.0
Negin Caspian,422275500,IRN,Iran (Islamic Republic of),Other,496,a5ed04ef2-2d4a-568a-e477-d57961a8613a,public-global-vessel-identity:v4.0
Zar,422175800,IRN,Iran (Islamic Republic of),Passenger,482,8c6f8ab4d-dfa6-8a31-eede-c4da35fe225f,public-global-vessel-identity:v4.0
Global King,375774000,VCT,Saint Vincent and the Grenadines,Other,445,1cb758aae-e909-656e-ca30-a520dec722b0,public-global-vessel-identity:v4.0
Arvand110,422648000,IRN,Iran (Islamic Republic of),Other,440,3014676f1-1123-675f-4c0b-d05a03c9c7fd,public-global-vessel-identity:v4.0
Global Phoenix,375861000,VCT,Saint Vincent and the Grenadines,Other,418,4cac6afa9-9ebd-0e07-ac1a-da2dd42ac317,public-global-vessel-identity:v4.0
Neptune1,422018500,IRN,Iran (Islamic Republic of),Other,410,83827ae82-2758-28a5-ef90-a6a56a192f06,public-global-vessel-identity:v4.0
Kiarash,422046500,IRN,Iran (Islamic Republic of),Passenger,408,ee0731a2b-be83-4051-20d8-fd49fb522323,public-global-vessel-identity:v4.0
Tida,422513200,IRN,Iran (Islamic Republic of),Other,403,8987a9fff-f8e2-06e7-8e60-6b9932d255c2,public-global-vessel-identity:v4.0
