name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Jawar 30,376484000,VCT,Saint Vincent and the Grenadines,Other,367,3d0f57974-48d0-d0f9-692b-24291a7616e9,public-global-vessel-identity:v4.0
Qishunjiao7,413319020,CHN,China,Fishing,240,8850950a1-1289-8d42-c4a8-9653d055f562,public-global-vessel-identity:v4.0
Almuthanna,425001052,IRQ,Iraq,Other,174,e72999b70-0c08-5d8c-d9e7-4fff933da027,public-global-vessel-identity:v4.0
Al-Sandibad,373145000,PAN,Panama,Other,168,f0d760bb3-3ecb-5cc8-c111-a6bd7a77ffb9,public-global-vessel-identity:v4.0
Dawoodiah,425001043,IRQ,Iraq,Other,162,e0bbd5e2b-be7b-6783-5d8a-e2477f746d11,public-global-vessel-identity:v4.0
Kirkuk,355045000,PAN,Panama,Other,153,004d9e9c1-1efc-af3f-7fe3-aecafe89d2e9,public-global-vessel-identity:v4.0
Shatt Al-Arab,425001072,IRQ,Iraq,Other,153,8bbf54baa-a8bf-d00c-b018-a07a6fce73d0,public-global-vessel-identity:v4.0
Al-Faw,425001073,IRQ,Iraq,Other,152,57249d370-0b0b-76d8-95f8-b611accc6e58,public-global-vessel-identity:v4.0
Cabri,671403100,TGO,Togo,Other,150,4c87bf495-517a-e1ba-e3c3-378fc986b412,public-global-vessel-identity:v4.0
Zayed1,671503100,TGO,Togo,Other,149,855441567-7ef5-9dd5-5dad-a3e2701675ad,public-global-vessel-identity:v4.0
Jinhangting  40,412017780,CHN,China,Other,144,059f3b73b-ba18-4c2c-eca7-94855626816c,public-global-vessel-identity:v4.0
Wasit,425001053,IRQ,Iraq,Other,136,95a24f2bd-d5b7-d9a1-4c45-d1c2344b08b0,public-global-vessel-identity:v4.0
Al-Ashaar,352688000,PAN,Panama,Other,134,cc9ed54a8-8d48-fabf-36cd-16eaf95c887a,public-global-vessel-identity:v4.0
Jinxin117,414352870,CHN,China,Other,133,8ef2135e0-00d0-b9e7-ed8c-9e10e621bdda,public-global-vessel-identity:v4.0
Tong Xu,413017070,CHN,China,Other,120,359c2eca7-78d2-9cd9-51a4-1f12f135042f,public-global-vessel-identity:v4.0
310,555666777,PCN,Pitcairn,Other,107,bf2bb6155-569b-f122-f4af-4c4fcd6771d4,public-global-vessel-identity:v4.0
Al Hawraa,341362000,KNA,Saint Kitts and Nevis,Other,102,9a9eacec6-603e-7b56-078b-629a6b2e59e9,public-global-vessel-identity:v4.0
Jinxin29,413368650,CHN,China,Other,98,c62252a07-7ecc-9eb4-8116-fddc18ef9664,public-global-vessel-identity:v4.0
Al-Maqal,351901000,PAN,Panama,Other,98,8bee2f7a1-1bfe-f3cd-8c1b-d2f2766f20f5,public-global-vessel-identity:v4.0
Alman,620551000,COM,Comoros,Other,97,d133885d6-62ca-8140-f832-227f82da89a4,public-global-vessel-identity:v4.0
Zatara,511101203,PLW,Palau,Other,90,f190da208-848d-778b-3a11-e79640f1c43a,public-global-vessel-identity:v4.0
Dustin,620273000,COM,Comoros,Other,90,40d4ed4a1-1a59-3b5a-7ca2-c3e9fea01899,public-global-vessel-identity:v4.0
Al-Kufa,355257000,PAN,Panama,Other,79,d2dc6b75d-d6a7-e887-9c15-92776e9793b7,public-global-vessel-identity:v4.0
Al-Asmaey,425000017,IRQ,Iraq,Other,79,94b5e7905-5366-e456-1a6c-5e9e244cab48,public-global-vessel-identity:v4.0
Roana,373930000,PAN,Panama,Other,78,fef5cd04d-d60d-bd74-5b02-78334552bd13,public-global-vessel-identity:v4.0
Jawar Dubai,377093000,VCT,Saint Vincent and the Grenadines,Other,76,04ffbab1f-fe43-c546-a994-d71fc8d26fc9,public-global-vessel-identity:v4.0
Sea Bride,671878000,TGO,Togo,Other,76,ba47b0fb7-7abd-2383-3080-fee35c00a56e,public-global-vessel-identity:v4.0
Al Merbid,425001062,IRQ,Iraq,Other,74,97ce9dd79-9951-1535-0cba-186b7ad8f877,public-global-vessel-identity:v4.0
M/T Sumer,425000019,IRQ,Iraq,Other,74,747f3fdbc-c9ff-a890-e259-c6477cd43efb,public-global-vessel-identity:v4.0
Sea Pearl,671153100,TGO,Togo,Other,73,f68c280ec-cf17-8315-7e58-edeefed41f50,public-global-vessel-identity:v4.0
Alqurna,425000018,IRQ,Iraq,Other,73,38e190fbc-caf4-5d6b-85a6-25517d76aad8,public-global-vessel-identity:v4.0
Rivana,669518000,SWZ,Eswatini,Other,73,3ea7e88fa-a8a1-4aae-55aa-49f2f0217e7a,public-global-vessel-identity:v4.0
Alforat,425000002,IRQ,Iraq,Other,73,a45db50d6-6ad9-85e9-3245-38b7b133e925,public-global-vessel-identity:v4.0
M/T Akkad,425000020,IRQ,Iraq,Other,72,7bfc602e9-9c53-204d-4349-4153d4505f20,public-global-vessel-identity:v4.0
Dijlah,425000001,IRQ,Iraq,Other,71,567d654a3-3b61-beca-04ca-671512f9bc86,public-global-vessel-identity:v4.0
Baghdad,438031018,JOR,Jordan,Other,69,35a7805c6-6179-bb42-9422-2284312a50fa,public-global-vessel-identity:v4.0
Zara 17,620999896,COM,Comoros,Other,67,e23b08a60-0e6a-bea2-c822-f09b68e60291,public-global-vessel-identity:v4.0
Baghdad,425000004,IRQ,Iraq,Other,66,485c9afa1-131b-c38f-a8ec-edab9510393b,public-global-vessel-identity:v4.0
Antonella,352002800,PAN,Panama,Other,65,3602b6d78-87f4-781c-26a9-d90c83584f06,public-global-vessel-identity:v4.0
Jawar Salah Aldin,377317000,VCT,Saint Vincent and the Grenadines,Other,63,77051a10c-c57e-6781-481a-db6a4f71ed60,public-global-vessel-identity:v4.0
Challenger,370976000,PAN,Panama,Other,63,af818e948-88c2-8eaf-3e55-125c91fea049,public-global-vessel-identity:v4.0
Zayed1,671503100,TGO,Togo,Other,60,4a8846ce2-2f20-02f8-3042-2a1d2da448c4,public-global-vessel-identity:v4.0
Thiqar,374455000,PAN,Panama,Other,60,e815db59b-b581-e516-2ac0-e4074ab8de3e,public-global-vessel-identity:v4.0
Jawar Seeba,677061700,TZA,Tanzania,Other,55,1b8873979-9e12-338e-2936-508f7b856951,public-global-vessel-identity:v4.0
As Clementina,255806125,PRT,Portugal,Cargo,55,dd162713e-e5b0-3401-e815-501d9715f42e,public-global-vessel-identity:v4.0
Al Hussein,671152100,TGO,Togo,Other,54,f06490f98-8dac-b6f7-91d8-07e1c02f4f20,public-global-vessel-identity:v4.0
Armada Alkheleej,677034600,TZA,Tanzania,Cargo,54,3323243d4-413d-8112-c245-b1a812346fc2,public-global-vessel-identity:v4.0
Kota Rahmat,565730000,SGP,Singapore,Cargo,52,20f2e002e-e062-7d8f-896f-2122caf1f92e,public-global-vessel-identity:v4.0
Unknown vessel,447884000,KWT,Kuwait,Fishing,52,94afa6282-2ac7-3cce-6f76-38a1c3baebf3,public-global-vessel-identity:v4.0
Ai-Ubilah,425001057,IRQ,Iraq,Other,51,e7184ad97-7918-cd40-8695-f75f8f4e48f1,public-global-vessel-identity:v4.0
Stella,257868000,NOR,Norway,Other,51,52320ca7d-d195-7385-2377-c4f3609c3720,public-global-vessel-identity:v4.0
Maya Gas 1,620999533,COM,Comoros,Other,50,e6313674e-ee1b-05fd-6a73-ea0fff54dc31,public-global-vessel-identity:v4.0
Jabal Ali 11,341743001,KNA,Saint Kitts and Nevis,Other,48,c841a10e4-4805-9a8b-5d1b-4a25dd65c1f8,public-global-vessel-identity:v4.0
Ocean Pearl,636022689,LBR,Liberia,Other,48,4e84a54cb-b185-531b-df40-62d0200b0c2f,public-global-vessel-identity:v4.0
Shatt Al Arab,425000003,IRQ,Iraq,Other,47,1091bf37e-ebe7-c9a6-fbce-0be6455e6e5c,public-global-vessel-identity:v4.0
Vs88,352002855,PAN,Panama,Other,47,d38700ebc-cbde-8a0a-01c9-eda71b3e2d74,public-global-vessel-identity:v4.0
Gemma,511873000,PLW,Palau,Cargo,46,a76db1e7c-c9dc-cffa-d5ff-dc9cf8d44576,public-global-vessel-identity:v4.0
Ashley,636019105,LBR,Liberia,Other,45,5475dc3ce-e611-71e7-5ade-204165a28aae,public-global-vessel-identity:v4.0
Jawar Abu Dhabi,377004000,VCT,Saint Vincent and the Grenadines,Other,44,e8a21d149-9b0b-b19b-3819-0944441e0f44,public-global-vessel-identity:v4.0
Vaughan,636018400,LBR,Liberia,Other,44,1988ce041-1e8e-d712-4f55-ab2eecf8f34d,public-global-vessel-identity:v4.0
Peaceland,341471001,KNA,Saint Kitts and Nevis,Other,44,9bc432c63-315c-1ce4-4868-6f159feb35dd,public-global-vessel-identity:v4.0
Cy Indian,374234000,PAN,Panama,Other,43,1dcce5535-5bb1-62c3-de91-56bf59ca9c1b,public-global-vessel-identity:v4.0
Jabal Ali 10,370891000,PAN,Panama,Cargo,43,7eab03504-4aac-e86d-8e0a-fa98ea43b59c,public-global-vessel-identity:v4.0
312,555666888,PCN,Pitcairn,Other,43,f401becac-c63c-be96-e861-fb15456ebfc7,public-global-vessel-identity:v4.0
Samara,425001051,IRQ,Iraq,Other,40,333831c02-2869-1b2e-65e7-adbd5b77b89e,public-global-vessel-identity:v4.0
Cy Atlantic,538006454,MHL,Marshall Islands,Other,39,74b1ac76f-fd75-1d4f-1f78-968da01ae914,public-global-vessel-identity:v4.0
Camilla,636020658,LBR,Liberia,Cargo,38,3c90f22b2-2caa-3453-e4da-b81f07a4c426,public-global-vessel-identity:v4.0
Sol Unity,352005611,PAN,Panama,Cargo,37,9f30b6500-05d0-c369-7bf6-a8214a5ac63a,public-global-vessel-identity:v4.0
Bianca,636023688,LBR,Liberia,Other,37,398d3ddae-e019-64c5-9e1b-1f448b42f00c,public-global-vessel-identity:v4.0
Unknown vessel,447090000,KWT,Kuwait,Other,36,f966c2ef2-27c1-5c05-0afa-b7d6c53c0964,public-global-vessel-identity:v4.0
Evanca,636013195,LBR,Liberia,Other,35,d1cb225ce-eb55-e207-a7c8-eaa7ef0a990e,public-global-vessel-identity:v4.0
Roberta,636023554,LBR,Liberia,Other,35,07251b13a-ae62-408c-3d89-079321a09493,public-global-vessel-identity:v4.0
Delfina,636022667,LBR,Liberia,Other,34,04b13b7d0-0ac5-532c-c313-d291bbf0892a,public-global-vessel-identity:v4.0
447578000,447578000,KWT,Kuwait,Fishing,34,5b207075f-f7cc-42a6-c8c4-eefd0e92c7c8,public-global-vessel-identity:v4.0
Jabal Ali 1,620212000,COM,Comoros,Other,34,7bbb9c9c5-56b9-82ec-14aa-b8d2e654c7ce,public-global-vessel-identity:v4.0
Sofie,636023770,LBR,Liberia,Other,34,0187b5664-4e9d-219b-9a7d-a267ce0a97db,public-global-vessel-identity:v4.0
Shiva,518998181,COK,Cook Islands,Other,33,3a890500f-f784-c13a-6306-1bfeb0acc87f,public-global-vessel-identity:v4.0
Astrid,352003743,PAN,Panama,Other,33,e1ecc8ae5-585d-5eeb-a56f-d4af559ef5f7,public-global-vessel-identity:v4.0
Al Safa,352978129,PAN,Panama,Other,33,d9487358b-bcf1-2e0a-ff7e-0d640503549c,public-global-vessel-identity:v4.0
Unknown vessel,447084000,KWT,Kuwait,Fishing,32,e6faac761-18e9-01d6-c4f8-a3c4ce330012,public-global-vessel-identity:v4.0
Renad,636024319,LBR,Liberia,Cargo,32,9976d6bf8-8d4c-f9c7-9baa-eceebca18d95,public-global-vessel-identity:v4.0
447518000,447518000,KWT,Kuwait,Fishing,31,a7eb7285c-c44f-cbaf-dfd6-b7316378d744,public-global-vessel-identity:v4.0
Unknown vessel,447463000,KWT,Kuwait,Fishing,31,c57347ce4-444f-b2e5-8eaa-4daf62ca56c5,public-global-vessel-identity:v4.0
Soyia,636022477,LBR,Liberia,Other,31,987353d68-8181-724b-78bc-c8f146156cdf,public-global-vessel-identity:v4.0
Arrow G,370722000,PAN,Panama,Other,31,0ffc712bf-f4b3-7e54-cce9-7864e52a93c7,public-global-vessel-identity:v4.0
Tahreer,425001063,IRQ,Iraq,Other,30,ef9158cc5-5980-ef8c-0c51-89ca964ff497,public-global-vessel-identity:v4.0
Unknown vessel,447529000,KWT,Kuwait,Fishing,30,2530b7e7e-e46c-5770-353d-a90a85854588,public-global-vessel-identity:v4.0
Tb Linhai,538009951,MHL,Marshall Islands,Cargo,29,ddffb1478-8c23-2448-2db5-594c2c8db2c0,public-global-vessel-identity:v4.0
Unknown vessel,447720000,KWT,Kuwait,Fishing,29,eea6d7867-7deb-195b-87a4-d3ab472c62d5,public-global-vessel-identity:v4.0
Unknown vessel,447370000,KWT,Kuwait,Fishing,29,68b28df7f-f06b-1514-2c46-fa475e248743,public-global-vessel-identity:v4.0
Kassia,352001708,PAN,Panama,Other,29,dcea50717-7f9f-f65c-3ec6-9ad3b23a6825,public-global-vessel-identity:v4.0
Nainawa,357445000,PAN,Panama,Other,29,67b8215e9-946c-af00-ad40-a418fa655dff,public-global-vessel-identity:v4.0
Oak,620999409,COM,Comoros,Other,28,b682c4dac-ccc5-040e-4fe1-b363450d1035,public-global-vessel-identity:v4.0
Jawar Um Qasr,376858000,VCT,Saint Vincent and the Grenadines,Other,28,8bf62a536-6541-fd0a-4565-45e666a19297,public-global-vessel-identity:v4.0
Unknown vessel,447667000,KWT,Kuwait,Fishing,28,9a5f7204a-a155-313e-2c38-dbf6dc5d53eb,public-global-vessel-identity:v4.0
Jawar Faw,375381000,VCT,Saint Vincent and the Grenadines,Other,27,f43f0ec2b-b92b-e071-b1f3-a27145b22614,public-global-vessel-identity:v4.0
Nisr,425001085,IRQ,Iraq,Other,27,bf1d1a217-71ad-fb56-2507-6796335e762b,public-global-vessel-identity:v4.0
Kota Handal,563137700,SGP,Singapore,Cargo,27,a71785bcc-c848-d2f5-6e50-9bb30a18935d,public-global-vessel-identity:v4.0
