name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Elio,247378900,ITA,Italy,Passenger,5876,8739bf9ed-d0f9-e6a7-6e49-0a8ea2d8da1e,public-global-vessel-identity:v4.0
Isola DI Procida,247546000,ITA,Italy,Passenger,4805,bd57bc435-54e7-7357-987a-ae17c80d9d15,public-global-vessel-identity:v4.0
Pietro Mondello,247485900,ITA,Italy,Passenger,4777,7b0c1bca3-3a5c-2f35-1ef1-c35d4f890d3c,public-global-vessel-identity:v4.0
Alijumbo Zibibbo,247215700,ITA,Italy,Passenger,3350,474166a3e-e610-0c09-c84a-6042c4f69e6a,public-global-vessel-identity:v4.0
Villa San Giovanni,247054600,ITA,Italy,Passenger,3207,63ffd03f0-03d8-4b9e-a167-7153dd90e1d9,public-global-vessel-identity:v4.0
Gabriele M,247415700,ITA,Italy,Passenger,2980,889b2fbd7-766c-bfa2-5a86-b66aea7955c7,public-global-vessel-identity:v4.0
Garagonay,247294400,ITA,Italy,Passenger,2964,1b87ad836-6402-e1ea-2c47-db9bf7557554,public-global-vessel-identity:v4.0
Schiopparello Jet,247373200,ITA,Italy,Passenger,2964,993c53ff2-23b0-0df6-d468-6a8bc2b91505,public-global-vessel-identity:v4.0
Giunone Jet,247055800,ITA,Italy,Passenger,2861,184a0ac2a-a214-e51a-3dae-e54357e4bacf,public-global-vessel-identity:v4.0
Marmorica,247046600,ITA,Italy,Passenger,2779,3ad62d062-2418-ad2d-069e-82c12508b834,public-global-vessel-identity:v4.0
Fiammetta M,247679000,ITA,Italy,Passenger,2692,4db47689a-a230-72ff-9807-82d5cb97de7d,public-global-vessel-identity:v4.0
Alessandro Morace,247488200,ITA,Italy,Passenger,2690,6d0bbfe2f-fcd8-9cc7-85b6-3ab5d4e6a297,public-global-vessel-identity:v4.0
Emma M,247350300,ITA,Italy,Passenger,2663,c633e4ace-e478-d155-dcef-1a4044e37a41,public-global-vessel-identity:v4.0
Cristina M,247445700,ITA,Italy,Passenger,2555,3625d93ff-feaa-b235-159e-8bb46431ebec,public-global-vessel-identity:v4.0
Daniela Morace,247447400,ITA,Italy,Passenger,2535,55635c8b9-9993-ca6a-feb3-8b3c108681a8,public-global-vessel-identity:v4.0
Federica M,247087600,ITA,Italy,Passenger,2515,82241f57d-df11-7ab1-50a5-13f755de2e0d,public-global-vessel-identity:v4.0
Ferdinando Morace,247447600,ITA,Italy,Passenger,2421,08adb6efb-bde1-7c2a-b039-c198c30414cb,public-global-vessel-identity:v4.0
Vittoria M,247139400,ITA,Italy,Passenger,2415,c4a382a0a-ab3d-9927-4d90-cf8685200db2,public-global-vessel-identity:v4.0
Vittorio Morace,247415900,ITA,Italy,Passenger,2402,421fd545e-ee5e-7ed2-4c5f-07c72dc6a4d5,public-global-vessel-identity:v4.0
Natalie M,247061300,ITA,Italy,Passenger,2399,b2cdf22a9-96c2-0ffd-d643-008062696cda,public-global-vessel-identity:v4.0
Super Flyte,247097200,ITA,Italy,Passenger,2398,67596d63d-d00f-8b31-6437-36b28e321a92,public-global-vessel-identity:v4.0
Gennaro C.G.,247488100,ITA,Italy,Passenger,2361,655ec8d84-40cf-db27-2a9e-6dca2e41dbe6,public-global-vessel-identity:v4.0
Alijumbo Messina,247215600,ITA,Italy,Passenger,2357,73d331825-57ac-bbd6-0d50-bf84b5a2ed30,public-global-vessel-identity:v4.0
Giuseppe Rum,247138800,ITA,Italy,Passenger,2338,287a3f8fb-bdac-be76-b420-bd2dcc15944a,public-global-vessel-identity:v4.0
G.Bellini,247041900,ITA,Italy,Passenger,2244,2e7693885-5a2f-32ed-e7c1-29321d200775,public-global-vessel-identity:v4.0
Rio Marina Bella,247121100,ITA,Italy,Passenger,2200,636563733-3ccd-18cc-7290-55139324cae5,public-global-vessel-identity:v4.0
Simone Martini,247003800,ITA,Italy,Passenger,2199,522cd3198-8ad5-f073-b46e-b3d5339f13d5,public-global-vessel-identity:v4.0
Oglasa,247046800,ITA,Italy,Passenger,2161,b14f9303c-c09a-c1b2-bc50-0d4b66e98fce,public-global-vessel-identity:v4.0
Mirella Morace,247169200,ITA,Italy,Passenger,2137,ba05de69d-dd68-3f4e-636d-9780d876d9a8,public-global-vessel-identity:v4.0
Messina,247323300,ITA,Italy,Passenger,2129,11d5240fe-e4f3-b33d-5d83-291ce0981017,public-global-vessel-identity:v4.0
Adeona,247042900,ITA,Italy,Passenger,2106,dc7cef3ca-a25d-0a08-c990-e4c1243ba90a,public-global-vessel-identity:v4.0
Europa Jet,247049400,ITA,Italy,Passenger,2027,fb17125a4-45eb-a570-4117-a813d37f6201,public-global-vessel-identity:v4.0
Nerea,247443700,ITA,Italy,Passenger,1977,a32252099-9156-d467-9f3b-e07490b3959d,public-global-vessel-identity:v4.0
Iginia,247423200,ITA,Italy,Passenger,1976,1372ea890-07b1-9d96-2f61-bb11c9e24c48,public-global-vessel-identity:v4.0
Giove Jet,247049500,ITA,Italy,Passenger,1959,4ceb436dc-cf34-b4d5-7730-5ef294b67384,public-global-vessel-identity:v4.0
Tindari Jet,247042500,ITA,Italy,Passenger,1923,90e344abd-d9c0-b9cb-772e-4eeace5e8a0a,public-global-vessel-identity:v4.0
Euro IV,247131500,ITA,Italy,Passenger,1918,2665bf0e1-1457-c5b9-73cf-dfc6216ff72e,public-global-vessel-identity:v4.0
Acciarello,247106900,ITA,Italy,Passenger,1909,17281ca84-42ea-828c-763f-5dc9bf9df4e2,public-global-vessel-identity:v4.0
Giano,247054200,ITA,Italy,Passenger,1881,b66ef3f31-1755-e6c0-f31a-5d657340445b,public-global-vessel-identity:v4.0
Ischia Jet,247048700,ITA,Italy,Passenger,1859,b2d591000-00f3-c097-b226-b4112af50c24,public-global-vessel-identity:v4.0
Ale M,247255200,ITA,Italy,Passenger,1854,9da01338e-ec0e-c93f-e59c-0b1749e3eda3,public-global-vessel-identity:v4.0
Moby Kiss,247372400,ITA,Italy,Passenger,1834,90e428476-66ec-7762-8b1a-9ede74d8d86c,public-global-vessel-identity:v4.0
Isola DI Vulcano,247492000,ITA,Italy,Passenger,1818,a7df98632-2aec-39a2-449a-a747872c77e6,public-global-vessel-identity:v4.0
Vesuvio Jet,247091800,ITA,Italy,Passenger,1782,1e1020171-1f4c-1aa5-5585-8076e41392f7,public-global-vessel-identity:v4.0
Tremestieri,247107100,ITA,Italy,Passenger,1721,17caee15c-c0a4-3e78-eff7-ed8dad431515,public-global-vessel-identity:v4.0
Tremiti Jet,247112500,ITA,Italy,Passenger,1689,f167fdbfd-dec9-a0fc-663f-2e3fd8dc16da,public-global-vessel-identity:v4.0
Super Jet,247540000,ITA,Italy,Passenger,1684,d8dab2a6a-ae01-eaa2-0ff7-90da3ff0425c,public-global-vessel-identity:v4.0
Archimede,247054700,ITA,Italy,Passenger,1680,bf25f5a02-26c9-238d-a598-661ed329a95a,public-global-vessel-identity:v4.0
Snav Orion,247128500,ITA,Italy,Passenger,1652,911ffde0f-f699-6428-12c5-1948d5f3d0fd,public-global-vessel-identity:v4.0
Selinunte Jet,247042400,ITA,Italy,Passenger,1602,9d444bfd7-7ead-2bbd-2e6c-e6a067ad6f19,public-global-vessel-identity:v4.0
Eschilo,247154300,ITA,Italy,Passenger,1576,e9b900948-85c6-4759-17e9-ad853c6292b6,public-global-vessel-identity:v4.0
Freccia D`Argento,247177900,ITA,Italy,Passenger,1571,b44ba5a43-3e63-cdb5-fc94-b01ecc433dc8,public-global-vessel-identity:v4.0
Snav Sirius,247446200,ITA,Italy,Passenger,1538,ff6ba44fb-b0cd-367a-7050-0755392ad983,public-global-vessel-identity:v4.0
Sikania,247434500,ITA,Italy,Passenger,1528,c4f79efbb-ba9f-430c-d2fb-2a0eff8ee012,public-global-vessel-identity:v4.0
Snav Virgo,247388000,ITA,Italy,Passenger,1503,6d10fd23a-a8fe-7a34-22a0-50ead5f046a8,public-global-vessel-identity:v4.0
Star,238101840,HRV,Croatia,Passenger,1443,8f7262d50-06d2-1971-78f9-b52ae59c004b,public-global-vessel-identity:v4.0
Anna Mur,247352700,ITA,Italy,Passenger,1434,6c685e57c-c223-82b3-d5a8-9b4b979ef24f,public-global-vessel-identity:v4.0
Bridge,247054100,ITA,Italy,Passenger,1405,6a424ef4b-b385-af30-76bf-7200108f967d,public-global-vessel-identity:v4.0
Filippo Lippi,247041700,ITA,Italy,Passenger,1402,feebcb4f4-4e01-72f5-fc4c-0252168c19d5,public-global-vessel-identity:v4.0
Nando Murrau,247404600,ITA,Italy,Passenger,1394,1cc17df0f-f142-33cc-09b6-0926841e4e9a,public-global-vessel-identity:v4.0
Picasso,247171500,ITA,Italy,Passenger,1378,9a42a1d14-4701-046c-80e0-79b843f0174f,public-global-vessel-identity:v4.0
Isola Del Giglio,247621000,ITA,Italy,Passenger,1362,93d038f49-9ad1-787e-27a5-507071af1dcf,public-global-vessel-identity:v4.0
Aethalia,247446900,ITA,Italy,Passenger,1343,68d5bfca0-0c08-2a26-f98d-6863c8c7c71f,public-global-vessel-identity:v4.0
Ulisse,247054500,ITA,Italy,Passenger,1334,2fa9c1bff-fc3b-7034-a06d-c0f108f8caf6,public-global-vessel-identity:v4.0
Moby Niki,247373600,ITA,Italy,Passenger,1330,ff87a79f0-02bf-486a-3289-cac8d58cefcc,public-global-vessel-identity:v4.0
Amalfi Jet,247048800,ITA,Italy,Passenger,1328,0abcdf9df-f489-bb20-1469-483f545ddc50,public-global-vessel-identity:v4.0
Carmen M,247387500,ITA,Italy,Passenger,1320,31fdd6a9a-aa24-a74e-dcfc-f298aecbdcbd,public-global-vessel-identity:v4.0
Ammari`,247359800,ITA,Italy,Passenger,1297,a0ba72ab5-5b0b-7d0b-fb94-b7cbf1ad33e7,public-global-vessel-identity:v4.0
Salerno Jet,247343000,ITA,Italy,Passenger,1264,621197b9c-ca2f-9f38-5d8a-d71ee2c5feeb,public-global-vessel-identity:v4.0
Giuseppe Franza,247054900,ITA,Italy,Passenger,1261,7d2d3aac0-0249-05a0-4632-8b5f50f3aef7,public-global-vessel-identity:v4.0
Santa Maria,247434400,ITA,Italy,Passenger,1259,b65df0275-5b97-abe7-acfe-e04bf4b031b6,public-global-vessel-identity:v4.0
Fauno,247047300,ITA,Italy,Passenger,1247,6af640c54-4604-3892-4afb-1e879456f77d,public-global-vessel-identity:v4.0
Caronte,247054800,ITA,Italy,Passenger,1217,7769c6b4e-e57a-2d0a-1548-baf8642c8007,public-global-vessel-identity:v4.0
Stretto Messina,247054300,ITA,Italy,Passenger,1170,b1e9b7126-6ad3-33ca-a166-695da12d1ed7,public-global-vessel-identity:v4.0
Citta` DI Forio,247070900,ITA,Italy,Passenger,1167,a4c3354d1-18a4-2741-a6ab-b1e133ea821b,public-global-vessel-identity:v4.0
Telepass,247055000,ITA,Italy,Passenger,1146,75ef7aa7e-e4af-389e-d99a-5a856581682f,public-global-vessel-identity:v4.0
Jumbo Jet,247381800,ITA,Italy,Passenger,1129,0c66debd3-374a-8698-5f5d-7d2f1413b716,public-global-vessel-identity:v4.0
Sirena Due,247191800,ITA,Italy,Passenger,1120,a1f96de30-0492-dce5-2a06-86a53bace6cb,public-global-vessel-identity:v4.0
Carmine,247431100,ITA,Italy,Passenger,1098,8156366d1-1ffa-b6db-0a71-49eef55396c2,public-global-vessel-identity:v4.0
Stelio Montomoli,247046700,ITA,Italy,Passenger,1083,4f618b3dc-c0b5-66e4-89bc-126179128abe,public-global-vessel-identity:v4.0
Trinacria,247390900,ITA,Italy,Passenger,1074,b94ebfcb4-4355-864c-b5b1-2a1e1af94e09,public-global-vessel-identity:v4.0
Sofia M,247294200,ITA,Italy,Passenger,1074,fe91c8933-30f7-9d96-4441-2af25ae95204,public-global-vessel-identity:v4.0
Calypso,247143200,ITA,Italy,Passenger,1053,a48e669f5-5109-5e25-a8ab-a2c5daf394c1,public-global-vessel-identity:v4.0
Sibilla,247045300,ITA,Italy,Passenger,1052,ef977b8e8-81de-cab4-f063-d60c843b9734,public-global-vessel-identity:v4.0
Sara D,247051600,ITA,Italy,Passenger,1051,5f23f1879-9d10-0fcc-0d3a-7884d4f489ac,public-global-vessel-identity:v4.0
Naiade,247047200,ITA,Italy,Passenger,1038,7ee885f95-5f59-7ab9-6e57-a1a5d250fd94,public-global-vessel-identity:v4.0
San Salvatore,247487500,ITA,Italy,Passenger,1035,546c9b2bf-f1e5-ceed-1e14-c380d7431236,public-global-vessel-identity:v4.0
Adriana M,247413000,ITA,Italy,Passenger,1035,d133fdd6d-d756-ae6d-71f1-ceaec906f9ec,public-global-vessel-identity:v4.0
Blitz,247081200,ITA,Italy,Passenger,1016,0a9d352b1-1c04-64cc-ff49-c9de8ec4b02e,public-global-vessel-identity:v4.0
Enotria,247079200,ITA,Italy,Passenger,947,424b693fb-b85c-d90b-c825-43eb62d49600,public-global-vessel-identity:v4.0
Gennaro C.G.,255915836,PRT,Portugal,Passenger,933,a294a6030-0a4c-fd80-eae6-02a400303273,public-global-vessel-identity:v4.0
Zancle,247054400,ITA,Italy,Passenger,924,ca46f9020-0844-8d95-59cc-7d682568e5ed,public-global-vessel-identity:v4.0
Antonello Da Messina,247041800,ITA,Italy,Passenger,921,58b902337-76ad-538d-74c5-c1aec2436d96,public-global-vessel-identity:v4.0
Sorrento Jet,247043400,ITA,Italy,Passenger,881,be76894b2-23fd-c297-6516-bedcc4172179,public-global-vessel-identity:v4.0
Dragon,247450500,ITA,Italy,Passenger,874,3b6395e1a-afff-a9b9-a4f3-afdfd87ed896,public-global-vessel-identity:v4.0
Carlotta M,247294800,ITA,Italy,Passenger,855,24f2e78f7-706e-3ad0-eadb-ed80c2ae612c,public-global-vessel-identity:v4.0
Don Francesco,247171200,ITA,Italy,Passenger,837,03d132fc5-5ab1-92bc-2950-036d6d063a78,public-global-vessel-identity:v4.0
M/N  Dianium,247048300,ITA,Italy,Passenger,836,90245ec7d-d5af-9d37-baae-9b924a957858,public-global-vessel-identity:v4.0
Isola DI Caprera,247045500,ITA,Italy,Passenger,804,497ea2352-280e-b5db-76ba-4f7c921a1a88,public-global-vessel-identity:v4.0
Driade,247048600,ITA,Italy,Passenger,794,d817a9bc6-6542-648a-2a6c-23576d5f8371,public-global-vessel-identity:v4.0
Lng Express,247296700,ITA,Italy,Other,790,23147b009-949a-ff57-eb96-63378e5e4217,public-global-vessel-identity:v4.0
Tetide,247043100,ITA,Italy,Passenger,759,2461e8200-09df-24a8-b823-64ed2a5e46c2,public-global-vessel-identity:v4.0
Snav Antares,247058900,ITA,Italy,Passenger,744,61c5ce4ba-ad90-30b6-5f9e-d610b375b798,public-global-vessel-identity:v4.0
Eduardo M,247114000,ITA,Italy,Passenger,742,00c22ddba-a408-2889-eaa9-f2a084e51da9,public-global-vessel-identity:v4.0
