name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Koc Meskan,447268000,KWT,Kuwait,Other,809,fe936e069-9805-9ff2-da75-dda78d851cdb,public-global-vessel-identity:v4.0
Koc Mutreba,447258000,KWT,Kuwait,Passenger,719,7a8bda5f3-300d-b9c0-edfe-f9c5a2566e60,public-global-vessel-identity:v4.0
Koc Bahra,447260000,KWT,Kuwait,Passenger,641,bd7eb97bd-d6c6-9084-d938-a1feee998dee,public-global-vessel-identity:v4.0
Koc Jawad,447209000,KWT,Kuwait,Other,498,24e93d071-144c-8823-8bef-a87d6b76b66e,public-global-vessel-identity:v4.0
Specialities-1,447333000,KWT,Kuwait,Passenger,496,7602578c7-7885-65da-667d-e563b2408bc6,public-global-vessel-identity:v4.0
Koc-Fares,447207000,KWT,Kuwait,Other,419,aebce6cad-d267-206e-061b-04f0cc26c6ff,public-global-vessel-identity:v4.0
Charlie 3,341930000,KNA,Saint Kitts and Nevis,Other,405,37784236b-bdbb-73de-9724-f24a4b5e4d30,public-global-vessel-identity:v4.0
Nakilat 9,447128000,KWT,Kuwait,Other,397,211392300-093c-6517-824a-d4560a7c8e97,public-global-vessel-identity:v4.0
Koc Boubyan,447267000,KWT,Kuwait,Passenger,390,6fc5529e9-97ce-84c6-3c81-28f7bee06227,public-global-vessel-identity:v4.0
Koc Kubbar,447264000,KWT,Kuwait,Other,378,8510f91df-fa18-086c-3a63-e228aa74eeb3,public-global-vessel-identity:v4.0
Specialities-2,447332000,KWT,Kuwait,Passenger,378,cec228128-8ac6-faee-fea9-dc1a8a295806,public-global-vessel-identity:v4.0
Koc Wafra,447257000,KWT,Kuwait,Passenger,343,93429d117-7333-58f1-02ae-04191fdb2741,public-global-vessel-identity:v4.0
Nakilat 8,447127000,KWT,Kuwait,Other,323,f673b3cfa-ae1d-2fec-656e-a7b9c9f80c89,public-global-vessel-identity:v4.0
Nakilat 10,447174000,KWT,Kuwait,Other,292,3916123f7-77ef-86c8-8b91-92189554b01b,public-global-vessel-identity:v4.0
Nakilat VI,447156000,KWT,Kuwait,Other,289,077a6ce33-37f0-11c0-a933-a21897c92179,public-global-vessel-identity:v4.0
447000249,447000249,KWT,Kuwait,Passenger,277,972826f03-3d51-fb5b-b640-d86fffc913f9,public-global-vessel-identity:v4.0
Koc Al-Joun,447199000,KWT,Kuwait,Other,271,bdbc1d179-9082-dc58-38c0-1ee27bba24cb,public-global-vessel-identity:v4.0
Nakilat 11,447175000,KWT,Kuwait,Other,265,eaa6e3f18-83eb-8ca4-3f6e-01b8a93bf664,public-global-vessel-identity:v4.0
Koc Dhafer,447213000,KWT,Kuwait,Other,263,45a9d9f33-3d44-6647-e388-1a60e017e7be,public-global-vessel-identity:v4.0
447639000,447639000,KWT,Kuwait,Passenger,258,02815671a-a1ac-3cef-7170-880974a568c8,public-global-vessel-identity:v4.0
Koc Kaser,447214000,KWT,Kuwait,Other,253,810a5c3bb-ba4b-dd4b-a92f-6e30ca5b1162,public-global-vessel-identity:v4.0
Koc Warba,447263000,KWT,Kuwait,Passenger,242,eecd0cd77-75d7-ec1b-ed9f-950cf9faef68,public-global-vessel-identity:v4.0
Fishingve,447860000,KWT,Kuwait,Gear,231,f72e3aeb4-4036-b366-1706-fab9d3893fcc,public-global-vessel-identity:v4.0
Koc Shamekh,447202000,KWT,Kuwait,Other,219,bd11fab55-5aef-0593-c313-ba1ec34da5dd,public-global-vessel-identity:v4.0
Almail,447664000,KWT,Kuwait,Fishing,217,966969300-0a90-1926-b220-869e32511d8b,public-global-vessel-identity:v4.0
447744000,447744000,KWT,Kuwait,Passenger,214,5be651ddc-ccae-f783-7f8a-2d6fdd3d0e4e,public-global-vessel-identity:v4.0
Koc Musaned 5,447195000,KWT,Kuwait,Other,209,1f73f04b4-406c-2efa-e7a6-b097253ebe83,public-global-vessel-identity:v4.0
447575000,447575000,KWT,Kuwait,Fishing,205,f56685cf9-94f7-3ba8-f975-88f324a3cacb,public-global-vessel-identity:v4.0
Koc Al Sour,447198000,KWT,Kuwait,Other,204,1c4e20841-12bd-919e-08e3-a7edcfbbf1d7,public-global-vessel-identity:v4.0
447732000,447732000,KWT,Kuwait,Passenger,202,941b3bb16-6f0e-9be3-6da5-afcc5d1b072a,public-global-vessel-identity:v4.0
447000175,447000175,KWT,Kuwait,Other,196,8eea2b03d-d4a1-4fd0-afb9-85ff0f0e1eb5,public-global-vessel-identity:v4.0
Unknown vessel,447823000,KWT,Kuwait,Fishing,193,b5e7b47ef-f9e1-0820-4d5b-79b9002e4242,public-global-vessel-identity:v4.0
447775000,447775000,KWT,Kuwait,Passenger,188,ed812e13a-a613-c12b-d2c9-9ea6bfb91347,public-global-vessel-identity:v4.0
Al Ashram,447378000,KWT,Kuwait,Fishing,187,a7944dc29-936b-7240-5170-02245f636eb3,public-global-vessel-identity:v4.0
ONWA33NT 100%,447001634,KWT,Kuwait,Gear,177,829ffb8eb-b8bb-f9cd-f1ad-88e674e5556d,public-global-vessel-identity:v4.0
Inshaat 3,447008704,KWT,Kuwait,Fishing,167,cfd16e050-0c7d-0d0b-f3d2-cf1b9f0e7d97,public-global-vessel-identity:v4.0
447654000,447654000,KWT,Kuwait,Other,167,714eea439-9467-1b6d-5c0f-f70aeba406b8,public-global-vessel-identity:v4.0
Dastoor,447109000,KWT,Kuwait,Other,167,521b6b6c3-3bc2-3bc9-3c2a-ddc815dc0086,public-global-vessel-identity:v4.0
Heisco-7,447348000,KWT,Kuwait,Other,158,ef248805d-d968-2657-c89e-207e92c56267,public-global-vessel-identity:v4.0
447853000,447853000,KWT,Kuwait,Gear,157,b22c89f46-6464-0c7e-f76d-cf9a9882bf75,public-global-vessel-identity:v4.0
Al Kout,447197000,KWT,Kuwait,Other,155,f002547fb-bfd9-eb8e-ffe4-acd527767195,public-global-vessel-identity:v4.0
9K3173-99%,447007076,KWT,Kuwait,Gear,155,54bc5963a-a268-35ad-491f-9ff55b041492,public-global-vessel-identity:v4.0
447652000,447652000,KWT,Kuwait,Passenger,151,9e1a24b04-47b6-61dd-fb9b-dc20a0f03787,public-global-vessel-identity:v4.0
447861000,447861000,KWT,Kuwait,Gear,148,c9ae4c6da-afda-fb7c-bc7a-f7541bc8ef2b,public-global-vessel-identity:v4.0
Unknown vessel,447002223,KWT,Kuwait,Other,148,05381498e-e864-3c5d-c3bd-589d684ac5e0,public-global-vessel-identity:v4.0
Unknown vessel,447002783,KWT,Kuwait,Other,143,6540a5178-859d-feaf-35f5-537781a9a7a1,public-global-vessel-identity:v4.0
Musaned3,447193000,KWT,Kuwait,Other,143,06184996e-ee05-d8ef-29ac-476a89b34086,public-global-vessel-identity:v4.0
Unknown vessel,447001886,KWT,Kuwait,Gear,142,9fe488bcd-d99e-c432-0fe7-7268d32ea542,public-global-vessel-identity:v4.0
447670000,447670000,KWT,Kuwait,Passenger,135,58a7d5ac0-0d3f-4d38-6529-0e69fe9289cd,public-global-vessel-identity:v4.0
ONWA33NT 96%,447001647,KWT,Kuwait,Gear,134,c465379ac-ced0-a7a3-ac4e-f4475a25f0ea,public-global-vessel-identity:v4.0
Inqath 10,447297000,KWT,Kuwait,Passenger,133,82f1d1e7a-afe7-a3a2-8b3c-0498f75a75a5,public-global-vessel-identity:v4.0
Unknown vessel,447001131,KWT,Kuwait,Gear,130,ba5e89c85-598f-c80a-0667-46b6724ff4cb,public-global-vessel-identity:v4.0
447866000,447866000,KWT,Kuwait,Gear,125,7c8b424d5-5e9a-a3b9-db5a-99d8631bd0a7,public-global-vessel-identity:v4.0
Koc Musaned 6,447196000,KWT,Kuwait,Other,125,46a927771-15be-4c5a-7149-1110d6183de1,public-global-vessel-identity:v4.0
447008099,447008099,KWT,Kuwait,Passenger,123,a275a7e83-3404-de07-731a-9f73d6383aca,public-global-vessel-identity:v4.0
