name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Sea Express IV,229000337,MLT,Malta,Passenger,852,ad46694c3-35ac-d83c-6f27-f687eccc4252,public-global-vessel-identity:v4.0
Undaunted,249000720,MLT,Malta,Passenger,771,8ee7bd496-6864-2db4-4896-a92953ada1d8,public-global-vessel-identity:v4.0
Sea Express II,249000872,MLT,Malta,Passenger,747,f2ad11df1-17ba-8698-6c7f-6e1188aa3032,public-global-vessel-identity:v4.0
Gozo Express,229803000,MLT,Malta,Passenger,587,63fc181fd-d451-0e52-274a-d0d04b344a85,public-global-vessel-identity:v4.0
Provider,256004012,MLT,Malta,Passenger,581,eaaa9a39e-e4bb-18c5-d390-d06b03eca7ba,public-global-vessel-identity:v4.0
Sea Express V,248000322,MLT,Malta,Other,554,0996f373f-f06e-713d-2a64-6948170bb8cd,public-global-vessel-identity:v4.0
Ohio,248000285,MLT,Malta,Passenger,547,16678fed0-0758-c960-da35-e076ec085c1e,public-global-vessel-identity:v4.0
Wilfred,256000621,MLT,Malta,Passenger,533,5401d3684-4c01-f137-a0f0-73a8a6f4958f,public-global-vessel-identity:v4.0
Saint John Paul II,248015000,MLT,Malta,Passenger,511,2bab5b128-85a4-d328-d4ca-6b1ece982531,public-global-vessel-identity:v4.0
Sea Express I,256000895,MLT,Malta,Fishing,471,06fddc824-412b-1660-e5f0-df16b14fb838,public-global-vessel-identity:v4.0
Foxtrot,249000492,MLT,Malta,Passenger,446,6588acc78-8b67-2e8d-84e3-09cd052d67cc,public-global-vessel-identity:v4.0
Onnella,256000318,MLT,Malta,Carrier,442,c073b187a-ae67-d1f8-59b8-8a33ab69f485,public-global-vessel-identity:v4.0
Your Wisdom,229113000,MLT,Malta,Passenger,423,8632091eb-b4a6-2ec7-c1b9-3adea30b4648,public-global-vessel-identity:v4.0
Mare Blu II,229000556,MLT,Malta,Carrier,397,2ec7f283f-fd9e-891e-5489-6c31477cf271,public-global-vessel-identity:v4.0
Yaizatun Dos,256000675,MLT,Malta,Carrier,393,600aee206-676c-e18f-9d17-42b346ba1aa4,public-global-vessel-identity:v4.0
Mare Blu III,229000557,MLT,Malta,Carrier,382,e7f21cff0-04fe-1fe1-1701-e9afac8453fb,public-global-vessel-identity:v4.0
