name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Transcaribe I,345110024,MEX,Mexico,Passenger,2225,e44f6690e-e5f9-5eb8-0c66-927d98868d85,public-global-vessel-identity:v4.0
Xel-Ha,345090027,MEX,Mexico,Passenger,2221,0425b1410-09d0-fd48-f95b-08289f5b7129,public-global-vessel-identity:v4.0
Xcaret,345090028,MEX,Mexico,Passenger,1914,cb62c980e-effa-12d0-558d-354dabee0b81,public-global-vessel-identity:v4.0
Ultracarga I,345110016,MEX,Mexico,Passenger,1513,cf7d2e86a-ac99-450c-49a9-c1c869f7f707,public-global-vessel-identity:v4.0
Cancun,345110001,MEX,Mexico,Passenger,1459,52edb43b6-6fdd-4bc1-47c2-a684d9a882b5,public-global-vessel-identity:v4.0
"""Ultramar""",345110036,MEX,Mexico,Passenger,1299,4262b90f2-2e38-cf92-1482-ec5352612c1b,public-global-vessel-identity:v4.0
Cozumel,345090005,MEX,Mexico,Passenger,1197,281c2c956-6c5e-07c3-2523-4a1b5e7ce703,public-global-vessel-identity:v4.0
Mexico III,345110004,MEX,Mexico,Passenger,1162,4b955034c-ca12-5c2e-8504-7e1148b70b0e,public-global-vessel-identity:v4.0
Ultramar I,345110022,MEX,Mexico,Passenger,1107,e7093c48c-c43f-8676-b996-a377814c86bd,public-global-vessel-identity:v4.0
Mexico V,345110005,MEX,Mexico,Passenger,910,99c553b1f-f26f-2cbc-3c82-da126bca4d7a,public-global-vessel-identity:v4.0
Mexico IV,345110009,MEX,Mexico,Passenger,907,d77ee237a-a879-96e5-c34e-7e8b834cd440,public-global-vessel-identity:v4.0
La Victoria,345030092,MEX,Mexico,Passenger,824,50d2bb5c8-819e-a595-8948-bb07c2087334,public-global-vessel-identity:v4.0
Holbox,345110037,MEX,Mexico,Passenger,764,f98394ba0-0325-54f7-f9dd-a2b039e2a60a,public-global-vessel-identity:v4.0
Mauricio,345070048,MEX,Mexico,Other,748,ba2e96b28-8302-a2a1-accc-4df5684bc88c,public-global-vessel-identity:v4.0
Lulu 1,300353558,---,---,Passenger,719,ad9ed89dc-c69c-5c9e-5268-5af37b1be173,public-global-vessel-identity:v4.0
Cityjet V,345110033,MEX,Mexico,Passenger,693,d79ab2a96-6cf8-a6a1-8ce8-a7b563f2fd03,public-global-vessel-identity:v4.0
Ultracarga IV,345110039,MEX,Mexico,Passenger,679,9d3e33d0f-fff6-aea7-c182-efc1b9abdfe9,public-global-vessel-identity:v4.0
Pb Veracruz,345030118,MEX,Mexico,Passenger,668,77ca2d0fc-c47a-95ef-ac81-1d066ed3eff6,public-global-vessel-identity:v4.0
Cobos,345070364,MEX,Mexico,Other,617,b1983dd53-3a82-4bb4-84d0-99c2bcbf11f0,public-global-vessel-identity:v4.0
Don Joaquin,345070186,MEX,Mexico,Other,597,915abaaa3-35d5-0c6f-b6ac-54142dfa1d6a,public-global-vessel-identity:v4.0
Anny MV,345070326,MEX,Mexico,Other,569,3b4339959-9d45-78c1-2ded-3d85b4727255,public-global-vessel-identity:v4.0
California Star,345040015,MEX,Mexico,Other,567,5faaca024-4fb3-1fc6-0c42-4dab61a958b1,public-global-vessel-identity:v4.0
Topo Pilots,345041234,MEX,Mexico,Passenger,566,cc60d944c-c50a-6f7d-c40d-b3a4f5a01e3c,public-global-vessel-identity:v4.0
Lady A,345110031,MEX,Mexico,Passenger,565,4f97aee7e-eb78-decf-6e4f-880babcf0be6,public-global-vessel-identity:v4.0
Juan Pablo II,345070176,MEX,Mexico,Other,550,dd6fd976a-a7b7-4ca4-9674-dfc2da269f64,public-global-vessel-identity:v4.0
Tom Car,345030093,MEX,Mexico,Passenger,549,f0fe03f15-58f5-d496-125a-430548806358,public-global-vessel-identity:v4.0
Queen Lulu,300366071,---,---,Passenger,541,51d244b2c-c965-ddc4-e911-ee285eb1dc5c,public-global-vessel-identity:v4.0
Saam Huasteca,345030117,MEX,Mexico,Other,541,ab9845c99-912a-93ef-dfa2-a554aa9bf4ec,public-global-vessel-identity:v4.0
Don Adrian,345070431,MEX,Mexico,Other,486,7fde04e7d-d03d-aef2-21dc-37b4f9710ad9,public-global-vessel-identity:v4.0
Dona Angela Maria T.,345070225,MEX,Mexico,Other,475,c008ae934-420e-c6b5-b84a-7b29ad6c0aa8,public-global-vessel-identity:v4.0
Mexico IV,345110009,MEX,Mexico,Passenger,474,72e5d7151-112b-c624-7b83-d92960a63cdd,public-global-vessel-identity:v4.0
Don Vicente,345050017,MEX,Mexico,Other,457,1f270836b-bdd1-e334-d7a7-1d5d1cd8aba4,public-global-vessel-identity:v4.0
Glory,345070360,MEX,Mexico,Other,452,5f7014195-5098-a01b-49d2-f52c0932b17a,public-global-vessel-identity:v4.0
Nautla,345010066,MEX,Mexico,Other,450,ef92c67f8-861a-5efd-fcb3-084065074310,public-global-vessel-identity:v4.0
Gayla Graham,345070428,MEX,Mexico,Other,422,5395f6443-3e16-021c-f5e1-e0300cf4593c,public-global-vessel-identity:v4.0
Independencia,345070246,MEX,Mexico,Other,401,0ff00bd7b-bab2-362b-0247-259e4a5a1eff,public-global-vessel-identity:v4.0
Don Daniel T,345070179,MEX,Mexico,Other,392,2bb4c8201-176e-de47-9083-e4505af6a999,public-global-vessel-identity:v4.0
Baco,345070331,MEX,Mexico,Other,392,6b341a6b4-46f6-4598-2d0e-db1738696303,public-global-vessel-identity:v4.0
Doreen Mccall,345050025,MEX,Mexico,Other,391,fe1bead72-2b8b-2d79-d19c-404ae2b2a537,public-global-vessel-identity:v4.0
Pionero,345010029,MEX,Mexico,Other,389,b4dd910d7-70af-701d-cddb-421dadbe68b5,public-global-vessel-identity:v4.0
Spica,345999990,MEX,Mexico,Fishing,389,894a0f8e7-7a92-2e77-2694-10745114c4a7,public-global-vessel-identity:v4.0
Adhara,345999999,MEX,Mexico,Other,386,f9aad616d-d838-5e76-8ed8-2f4cf29ff984,public-global-vessel-identity:v4.0
Icacos,345070363,MEX,Mexico,Other,384,c0e00d03a-a49a-fb43-6879-079564781fb3,public-global-vessel-identity:v4.0
Horizon,345070421,MEX,Mexico,Other,383,f9cbcd89e-ebe8-2f28-4f06-407954f94d4d,public-global-vessel-identity:v4.0
San Rafael,345010016,MEX,Mexico,Other,374,7ce9a2445-5869-7c8f-f20e-af8ee50cbd38,public-global-vessel-identity:v4.0
Trucha--,345070117,MEX,Mexico,Passenger,374,672d3f7ea-a4ad-2e98-7879-46700b948fc5,public-global-vessel-identity:v4.0
Linda F,345070228,MEX,Mexico,Other,373,03ff0ec21-1a90-c144-1341-b04cadae8820,public-global-vessel-identity:v4.0
