name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Petar 69-HN4O,262996550,MNE,Montenegro,Passenger,257,1e4c3deae-e2d0-a83c-6147-956ff7dc697a,public-global-vessel-identity:v4.0
94-Bd,262997050,MNE,Montenegro,Other,154,0311d79d8-844a-8920-0794-91db19fd715e,public-global-vessel-identity:v4.0
Eastcoast,249680000,MLT,Malta,Other,120,906f82e2b-bb01-37c3-22fd-bc6aeb2d127d,public-global-vessel-identity:v4.0
Mpa 01,262986120,MNE,Montenegro,Passenger,109,bdb532660-04ea-3100-6b49-e7bcbca77eed,public-global-vessel-identity:v4.0
Moretaa,262999080,MNE,Montenegro,Passenger,101,c8c895788-85fe-f69a-9744-9994db20b4cc,public-global-vessel-identity:v4.0
Cathy,262986980,MNE,Montenegro,Passenger,100,f0457067e-e5e8-f61a-52f6-d16314c682f5,public-global-vessel-identity:v4.0
17-Bd Aquarius,262985270,MNE,Montenegro,Fishing,99,251af3d6c-cbf7-cafb-0e63-1fb20707ea8d,public-global-vessel-identity:v4.0
Catarina,262500055,MNE,Montenegro,Fishing,96,7c0046286-6485-591e-2ebf-213da7996afb,public-global-vessel-identity:v4.0
Sadri Usta-1,271041060,TUR,Turkey,Passenger,93,e7367cacf-f0f8-7e47-3a94-86ecdf5d0ef5,public-global-vessel-identity:v4.0
Petar 116-Hn,262998270,MNE,Montenegro,Passenger,81,f9b498d6f-f57b-7086-931c-7895461cf0ec,public-global-vessel-identity:v4.0
Legal Blonde,232008612,GBR,United Kingdom,Passenger,79,dd81a5de1-1830-7bd2-8add-96be0f7fc18c,public-global-vessel-identity:v4.0
Veci,262995890,MNE,Montenegro,Passenger,74,f6d6f7925-5f18-2429-c276-8ecdddb7e7e1,public-global-vessel-identity:v4.0
Kaptan Sevket,271001088,TUR,Turkey,Passenger,71,f6a5032c4-4b84-351b-c09e-5ee5d1aa303f,public-global-vessel-identity:v4.0
Antonija,238491440,HRV,Croatia,Passenger,70,cc3726b17-752c-889f-7b94-64979d1edb20,public-global-vessel-identity:v4.0
Barba Boats 123-Hn,262995270,MNE,Montenegro,Passenger,69,00a013fb7-7e7c-a179-fb8e-34a50cbdd3f5,public-global-vessel-identity:v4.0
Amaryllis,227997150,FRA,France,Passenger,66,40547faf0-0bf5-a201-8332-82df2508dc15,public-global-vessel-identity:v4.0
Satellite,503162590,AUS,Australia,Passenger,66,4bc9a9ce6-6f26-34df-4ed4-1f08c491951a,public-global-vessel-identity:v4.0
Alexanda 3,262985850,MNE,Montenegro,Passenger,60,844db4d0c-c145-3779-568b-5f5cb99e2231,public-global-vessel-identity:v4.0
Duke And Kay,368039760,USA,United States of America,Passenger,54,e72026396-6c00-1004-ec7b-1a3fd9226996,public-global-vessel-identity:v4.0
Rumba,262075500,MNE,Montenegro,Passenger,49,fe264b109-95fe-e5f1-0cd7-1102194aacf2,public-global-vessel-identity:v4.0
Vega 72-Hn,262986190,MNE,Montenegro,Passenger,47,a4a41ea01-1554-6cf9-6ebf-19b66b9b7032,public-global-vessel-identity:v4.0
Unknown vessel,262985410,MNE,Montenegro,Passenger,44,78d97b13d-dabc-6eea-6af5-35830f04f810,public-global-vessel-identity:v4.0
Tuna,262997140,MNE,Montenegro,Fishing,44,aedff6766-6639-3438-3126-a2c3bc884443,public-global-vessel-identity:v4.0
Orion,256002151,MLT,Malta,Passenger,43,f118c8f49-9c64-db7c-ee1f-0aa08aceca3f,public-global-vessel-identity:v4.0
Alexandra 5,262999550,MNE,Montenegro,Passenger,43,7e6cfb61b-b532-c92c-1f01-3896db5e272c,public-global-vessel-identity:v4.0
Arrebatao,224151530,ESP,Spain,Passenger,43,24aadd641-199b-2a2a-ef36-9a5bfc1f9166,public-global-vessel-identity:v4.0
277-Kt,262985280,MNE,Montenegro,Fishing,41,2fc4a8406-6389-e68a-c7f1-e7ae08ff4ca1,public-global-vessel-identity:v4.0
Sommelier,262077600,MNE,Montenegro,Passenger,39,492a7fba5-5984-efe8-17be-ea854ae7f20c,public-global-vessel-identity:v4.0
Ampere,227494340,FRA,France,Other,39,dafacb2d9-94f3-2f4f-62be-4e16738c1895,public-global-vessel-identity:v4.0
Alexandra 1,262987310,MNE,Montenegro,Passenger,39,487169eec-c57b-902f-d00b-9cd4cd4a6838,public-global-vessel-identity:v4.0
