name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Saint Georges,254760000,MCO,Monaco,Passenger,10,0e96ddd16-63bf-54a6-96c6-1045545b6f32,public-global-vessel-identity:v4.0
Princesse Gabriella,254329000,MCO,Monaco,Other,9,93a309a02-2410-f030-b9bf-14160f08f63a,public-global-vessel-identity:v4.0
Seabourn Ovation,311000585,BHS,Bahamas,Passenger,7,9757dada4-4711-6cf4-70f4-6d6d7a90d001,public-global-vessel-identity:v4.0
Mana,254465000,MCO,Monaco,Other,6,a4e2f500b-b95a-8ccd-50ff-104f2bdade15,public-global-vessel-identity:v4.0
Rocambole,254069000,MCO,Monaco,Passenger,4,98bd1affb-ba22-fbcd-9b3a-628bd1eebd2f,public-global-vessel-identity:v4.0
Breakthrough,319300600,CYM,Cayman Islands,Other,4,e6c438c81-13dd-94c1-64e0-6cf7859374c6,public-global-vessel-identity:v4.0
Zen,319200300,CYM,Cayman Islands,Passenger,3,6b1807cb2-2970-a35a-fe0d-c54b7223deeb,public-global-vessel-identity:v4.0
Twins Epg,232063183,GBR,United Kingdom,Other,3,4510cf55d-d6a1-65c7-159a-4a48726b8202,public-global-vessel-identity:v4.0
Mirovia,256003783,MLT,Malta,Passenger,3,5996a8642-2954-1d19-9b55-e0fde121b7af,public-global-vessel-identity:v4.0
Beastie,254854000,MCO,Monaco,Passenger,3,f31c6205b-bafa-5ea1-100c-a1e1b1bb07fc,public-global-vessel-identity:v4.0
Ahs One,232056111,GBR,United Kingdom,Passenger,3,4711ca071-1902-bfd3-e35d-a2ea1697d978,public-global-vessel-identity:v4.0
Dar,319133300,CYM,Cayman Islands,Passenger,3,faa336791-18cd-0ec2-a898-e3867d90843f,public-global-vessel-identity:v4.0
Viking Star,257903000,NOR,Norway,Passenger,3,a389e2679-9450-b752-e921-2a94a9a0fc0e,public-global-vessel-identity:v4.0
Love The Sea,235040042,GBR,United Kingdom,Passenger,3,479df1734-4186-8ce1-4af2-524b0bcf94c0,public-global-vessel-identity:v4.0
Viking Sea,258215000,NOR,Norway,Passenger,3,25103f51b-bf45-d42b-aff6-9631704006cf,public-global-vessel-identity:v4.0
Squiz2,254487000,MCO,Monaco,Passenger,3,bb897d6e9-93ca-006b-6790-9b54a4c69c97,public-global-vessel-identity:v4.0
Alidea,254048000,MCO,Monaco,Passenger,3,b666ebebf-ffe7-fcce-49af-9913ef115303,public-global-vessel-identity:v4.0
Proton,983192600,---,---,Gear,2,62af12690-0acb-7fcc-a60a-46f9f1be139c,public-global-vessel-identity:v4.0
K`Mena Solo Sailor,254429000,MCO,Monaco,Passenger,2,a4b5caa18-899e-f857-d8ae-913f4ed003bd,public-global-vessel-identity:v4.0
CC-Summer,538071410,MHL,Marshall Islands,Passenger,2,55266fc13-3a46-5f9b-489d-ca4db5f7699e,public-global-vessel-identity:v4.0
T/T Home,985380201,---,---,Passenger,2,ac2a8a5ca-a763-222a-78a9-9b9d9ba724aa,public-global-vessel-identity:v4.0
M\Y Yas,319085200,CYM,Cayman Islands,Passenger,2,2ccbc3f1b-b7c0-ab14-ffa1-a890e6c9db1a,public-global-vessel-identity:v4.0
Ellen,254276000,MCO,Monaco,Passenger,2,570aec870-09d4-df72-0d7c-b5ddc317777d,public-global-vessel-identity:v4.0
Scenic Eclipse,311000995,BHS,Bahamas,Passenger,2,e2e04030e-ef6a-9b76-b6b4-1c1afc24668a,public-global-vessel-identity:v4.0
Mimtee,538071497,MHL,Marshall Islands,Passenger,2,ceb1c47c3-3488-45e2-87ca-3cd9c5d4c196,public-global-vessel-identity:v4.0
Viking Vesta,257944000,NOR,Norway,Other,2,c81c5a303-3039-94b6-502d-d3364535d58a,public-global-vessel-identity:v4.0
La Voglia Matta,254289000,MCO,Monaco,Other,2,80f384ce6-6211-1934-b3b0-fef0a4416e3c,public-global-vessel-identity:v4.0
Jacaranda,254116000,MCO,Monaco,Fishing,2,1051b6d9d-dd42-35cf-5715-03da32b58ca1,public-global-vessel-identity:v4.0
Mizar,229431000,MLT,Malta,Passenger,2,2aba53e49-9a66-9d8f-9b1e-e2cbbcba0363,public-global-vessel-identity:v4.0
T/T Lucky Lady,338060241,USA,United States of America,Passenger,2,8f6ef3a7b-b8aa-a3f9-f3fb-d072c2dd4f3a,public-global-vessel-identity:v4.0
Rush,247387840,ITA,Italy,Passenger,2,164e05b3c-cbb7-5893-abff-f6e7f66b9856,public-global-vessel-identity:v4.0
Unleash The Lion,256004264,MLT,Malta,Passenger,2,44cc3f560-032a-9c93-5024-ca9c78ccf1a0,public-global-vessel-identity:v4.0
S/Y Imagine D,378316000,VGB,British Virgin Islands,Passenger,2,a66bc5150-07b3-fa4c-7114-5b2355b37fb3,public-global-vessel-identity:v4.0
Penelope 8,254833000,MCO,Monaco,Passenger,2,011813c34-4631-c287-e5d2-2ccd906eb1bf,public-global-vessel-identity:v4.0
Malstrom,254583000,MCO,Monaco,Passenger,2,e26203395-5b0b-1c45-ef06-2fbfdf56f951,public-global-vessel-identity:v4.0
Favourite Mistake,229341000,MLT,Malta,Other,2,c178b20c0-0c8a-5237-e22d-ef83786efe85,public-global-vessel-identity:v4.0
Ilma,256343000,MLT,Malta,Passenger,2,8226a4ddf-fb9f-2c62-d461-27c4d3d14dd8,public-global-vessel-identity:v4.0
Happy,227432210,FRA,France,Passenger,2,ff838d83c-cb63-289d-2707-44001b70b0d2,public-global-vessel-identity:v4.0
Drizzle,256867000,MLT,Malta,Passenger,2,b5fc27310-058a-525d-b18c-39444ac48f6b,public-global-vessel-identity:v4.0
Blue Eyes,249619000,MLT,Malta,Cargo,2,7589e155a-a57a-b065-3d7f-d0eb220c14c7,public-global-vessel-identity:v4.0
Coco Y,249713000,MLT,Malta,Cargo,2,e676dd6a5-5374-68ea-1556-0845577ceb1f,public-global-vessel-identity:v4.0
Luminara,249161000,MLT,Malta,Cargo,2,7ece7f30d-d479-6dad-3708-92664e331758,public-global-vessel-identity:v4.0
Energy,319239800,CYM,Cayman Islands,Passenger,2,9e9775fde-e965-7a3d-66cf-2d655535557e,public-global-vessel-identity:v4.0
Seadream 1,308908000,BHS,Bahamas,Passenger,2,5c49b48a8-87ff-8625-a9a5-b1d970f9f7d1,public-global-vessel-identity:v4.0
Tjo,256003848,MLT,Malta,Passenger,2,187e67c9a-a69d-a2ce-94b4-157e84397a01,public-global-vessel-identity:v4.0
La Bandita,256003322,MLT,Malta,Passenger,2,b66994b18-82ac-2f66-0419-fc84691516ee,public-global-vessel-identity:v4.0
Pornstar,319270800,CYM,Cayman Islands,Passenger,2,5e52e4b9d-d7e4-7db7-e7f8-cc2807872b8c,public-global-vessel-identity:v4.0
Dojo,248233000,MLT,Malta,Passenger,2,a5394f4c0-02d6-5a3e-b4e8-24242ebaee0c,public-global-vessel-identity:v4.0
Pioneer Rb1,983192599,---,---,Gear,2,030bb9c4d-dba8-d08e-b57f-ba4df34ffab7,public-global-vessel-identity:v4.0
Supernova,254734000,MCO,Monaco,Other,2,bb79eb6d6-6799-1076-f340-44e2aaa26906,public-global-vessel-identity:v4.0
Alp,232054687,GBR,United Kingdom,Passenger,2,2493a57ac-c3a1-6dd2-7a73-c68f5017464a,public-global-vessel-identity:v4.0
Kismet,319069900,CYM,Cayman Islands,Passenger,2,73f28cd63-3dbb-6cae-ec14-137322ac8283,public-global-vessel-identity:v4.0
Provocateur,538071939,MHL,Marshall Islands,Passenger,2,68677615a-adb1-6c60-00f9-532abd06eb0f,public-global-vessel-identity:v4.0
