name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Amjaad,461000270,OMN,Oman,Passenger,792,add82dfbb-bd09-bbce-4c9f-0cb472fe685b,public-global-vessel-identity:v4.0
Coastway,212761000,CYP,Cyprus,Other,296,7e1f32ea7-7421-778d-90da-70890eded80c,public-global-vessel-identity:v4.0
Big Mac,461000175,OMN,Oman,Other,278,390eb78b0-0633-92e3-abc1-bf881851b21d,public-global-vessel-identity:v4.0
Ibhar,461000278,OMN,Oman,Passenger,252,6fe2298af-f0b2-c18c-e5fd-b043b3cca500,public-global-vessel-identity:v4.0
Hormuz,461000151,OMN,Oman,Passenger,241,e74cd0193-32ac-7d7b-6e99-6b90eddbcd7d,public-global-vessel-identity:v4.0
Panicker,352002023,PAN,Panama,Other,221,510780192-2a04-8832-7f02-36434f5d5ff6,public-global-vessel-identity:v4.0
Willem Van Oranje,210621000,CYP,Cyprus,Other,211,c7d72a6fb-b588-6b89-40c8-202dc3c3d698,public-global-vessel-identity:v4.0
Olng Seeb,461000136,OMN,Oman,Other,171,de8e78b57-71ae-576f-cd18-b9d1992bba00,public-global-vessel-identity:v4.0
Olng Sur,461000137,OMN,Oman,Other,170,fc0d0e3d4-474c-44e6-4294-6acfd6cc5ee2,public-global-vessel-identity:v4.0
Olng Masirah,461000140,OMN,Oman,Other,170,77210254c-c552-e00b-a946-28b67461fe6b,public-global-vessel-identity:v4.0
Olng Muttrah,461000139,OMN,Oman,Other,170,29e2b4a8b-be44-3498-86ab-b40ce7989a6b,public-global-vessel-identity:v4.0
Mag Swift,636024802,LBR,Liberia,Other,163,37c77994d-d4bd-f4c0-1219-02db52572b01,public-global-vessel-identity:v4.0
Baraka-4,620800073,COM,Comoros,Other,156,5068cf997-7e1f-8805-7ef2-24a0efa167bc,public-global-vessel-identity:v4.0
Gac Sharq,461000341,OMN,Oman,Passenger,137,c6fcc0fc7-78bb-ae86-f5ac-ad229eb5ca7a,public-global-vessel-identity:v4.0
Sea Bison,246528000,NLD,Netherlands,Other,122,a3245afb5-5da1-e9b5-0b93-2d8a96570c2d,public-global-vessel-identity:v4.0
Ad Comet II,471053000,---,---,Other,113,b9e5e59c1-1e66-5553-2382-3b7bd5551508,public-global-vessel-identity:v4.0
Capt.Haddock,341242002,KNA,Saint Kitts and Nevis,Other,110,91de04fba-adca-a91d-1ff1-5218a285a9df,public-global-vessel-identity:v4.0
Baraka 2,470447000,ARE,United Arab Emirates,Cargo,107,66b4de7ae-ea63-922c-d672-952f9bea8af8,public-global-vessel-identity:v4.0
Nezami Ganjavi 3,422765000,IRN,Iran (Islamic Republic of),Cargo,103,48fa29c7c-c2ec-2da7-7c7a-0fe24b06d983,public-global-vessel-identity:v4.0
Ofogh Pol,422561500,IRN,Iran (Islamic Republic of),Cargo,101,dbd53846b-b413-84f6-1096-8541ad003074,public-global-vessel-identity:v4.0
Margherita Cosulich,563059400,SGP,Singapore,Bunker,98,27d7f2e63-39a1-75df-d019-4b6e62777cbb,public-global-vessel-identity:v4.0
Alhallaniyat,461000125,OMN,Oman,Passenger,91,45807f80d-d215-a337-531d-6a336fd7dc58,public-global-vessel-identity:v4.0
Aquamarine,209305000,CYP,Cyprus,Other,88,f7682f530-0009-6d0b-359a-d4739dc3d3db,public-global-vessel-identity:v4.0
Ghazaldarya,422865400,IRN,Iran (Islamic Republic of),Cargo,84,85bbd939c-c2e6-6096-eefa-18e8a3062452,public-global-vessel-identity:v4.0
Ctow Bieke,245289000,NLD,Netherlands,Other,76,a173a524d-d48e-d223-7a2b-faf3076295b0,public-global-vessel-identity:v4.0
Lct  Amir Abbas 1,422658000,IRN,Iran (Islamic Republic of),Cargo,75,399d0be35-5c7a-775d-0eb2-cc77bedda838,public-global-vessel-identity:v4.0
Marzhan,357037000,PAN,Panama,Cargo,74,ba3218e97-7c59-f7fb-1e2d-871fd742921b,public-global-vessel-identity:v4.0
Multratug 34,246816000,NLD,Netherlands,Cargo,63,172f6a65b-b049-58de-a9bc-4ef6c6a93d55,public-global-vessel-identity:v4.0
Inchcape 5,470646000,ARE,United Arab Emirates,Other,60,364b55bb6-6622-801b-690c-c074ff380874,public-global-vessel-identity:v4.0
Songa Diamond,538003277,MHL,Marshall Islands,Other,59,5faa6ce37-72f8-f552-2cc5-8273b294e41e,public-global-vessel-identity:v4.0
Lct Fin,422779000,IRN,Iran (Islamic Republic of),Other,59,14bfb2801-129e-673a-61c9-87143f96ac5f,public-global-vessel-identity:v4.0
