name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Dintelstroom,246642000,NLD,Netherlands,Other,145,c867b12b2-2205-9163-ae49-ab57803770ca,public-global-vessel-identity:v4.0
Giessenstroom,246569000,NLD,Netherlands,Other,142,887d2039e-eb4f-3b6e-31c1-378a05a4d908,public-global-vessel-identity:v4.0
Unispirit,304908000,ATG,Antigua and Barbuda,Cargo,38,288257a74-4717-da78-b6fc-85a3f8379dff,public-global-vessel-identity:v4.0
Lilibet,232045897,GBR,United Kingdom,Fishing,35,e817c8484-4541-f216-b577-755bff5dd1bf,public-global-vessel-identity:v4.0
Jason,636017460,LBR,Liberia,Bunker,19,f4172cebc-c89b-06ca-5a66-0a7afbd5026e,public-global-vessel-identity:v4.0
Pharos Sg,235011790,GBR,United Kingdom,Other,14,73bf81176-6d3b-3f77-e25c-011ae0580628,public-global-vessel-identity:v4.0
Sil,740356000,FLK,Falkland Islands (Malvinas),Fishing,13,2bf709078-8b2c-8db8-3f02-0ba6d2e5746f,public-global-vessel-identity:v4.0
Sealion,636014306,LBR,Liberia,Bunker,13,220260b99-9135-0663-aa67-6116729b72f9,public-global-vessel-identity:v4.0
Kestrel,740349000,FLK,Falkland Islands (Malvinas),Fishing,12,8a6a3d2d7-75b4-0117-262d-75e048ef12c7,public-global-vessel-identity:v4.0
Seaquest,740381000,FLK,Falkland Islands (Malvinas),Passenger,11,7f9fe7f74-48ec-049c-b19a-d0ceb55953e6,public-global-vessel-identity:v4.0
Sir D. Attenborough,740405000,FLK,Falkland Islands (Malvinas),Seismic vessel,11,84157556e-eafd-0655-42d6-89e45f12a954,public-global-vessel-identity:v4.0
Petrel,740333000,FLK,Falkland Islands (Malvinas),Fishing,11,d150740ac-c4b5-cdd4-93ed-77b9be7475df,public-global-vessel-identity:v4.0
Castelo,740358000,FLK,Falkland Islands (Malvinas),Fishing,11,4c06bdcb4-4a56-f0b3-5c41-ab4ddce178c7,public-global-vessel-identity:v4.0
New Polar,740372000,FLK,Falkland Islands (Malvinas),Fishing,11,3755cc607-7db3-ff9b-69f9-a1873c8166c5,public-global-vessel-identity:v4.0
Monteferro,740402000,FLK,Falkland Islands (Malvinas),Fishing,10,ec0ccfb40-0a5f-0713-6195-8e6cc6ec116e,public-global-vessel-identity:v4.0
Argos Vigo,740359000,FLK,Falkland Islands (Malvinas),Fishing,10,3174edb8f-f7a0-5886-e3af-4d14029e371f,public-global-vessel-identity:v4.0
Hms Forth,232005742,GBR,United Kingdom,Other,10,8c3a40f1e-ef7f-a6f9-98ff-b4792dfafcce,public-global-vessel-identity:v4.0
Argos Pereira,740353000,FLK,Falkland Islands (Malvinas),Fishing,9,b382b8f1c-ce5f-8c50-13d5-e4b827802960,public-global-vessel-identity:v4.0
Prion,740434000,FLK,Falkland Islands (Malvinas),Fishing,9,045a02864-40ff-8024-671a-04951126bc53,public-global-vessel-identity:v4.0
Venturer,740354000,FLK,Falkland Islands (Malvinas),Fishing,9,cc2b64c23-32a6-c9ba-dad7-df0b625b548f,public-global-vessel-identity:v4.0
Robin M. Lee,740366000,FLK,Falkland Islands (Malvinas),Fishing,9,ca54d00b6-602b-74bf-0818-1721d4a61e15,public-global-vessel-identity:v4.0
Montelourido,740422000,FLK,Falkland Islands (Malvinas),Fishing,9,56b6bf0ff-feb7-dcb1-9cad-d066386864b5,public-global-vessel-identity:v4.0
Falcon,740423000,FLK,Falkland Islands (Malvinas),Fishing,9,9b4da9b7a-af6e-23bc-e687-910600f73398,public-global-vessel-identity:v4.0
Golden Chicha,740344000,FLK,Falkland Islands (Malvinas),Fishing,8,174d4c4ba-a42e-d1ce-0c25-e3d8c583d270,public-global-vessel-identity:v4.0
No.107 Eun Hae,440261000,KOR,Republic of Korea,Fishing,8,78d3ccc94-4d98-20a8-d02d-b04aeb7ca30a,public-global-vessel-identity:v4.0
Hms Forth,232005742,GBR,United Kingdom,Other,8,ad35c9449-9489-aa05-4f34-699dfbd002a7,public-global-vessel-identity:v4.0
John Davis,740421000,FLK,Falkland Islands (Malvinas),Passenger,8,4efe1baa1-1dc9-67f0-bb55-37e1f49ed88c,public-global-vessel-identity:v4.0
Argos Berbes,740435000,FLK,Falkland Islands (Malvinas),Fishing,8,19b926bc4-4bf9-c81d-a109-03817276dcc6,public-global-vessel-identity:v4.0
Concordia Bay,740380000,FLK,Falkland Islands (Malvinas),Passenger,8,3a8a355c4-4d5b-cb6c-1d1a-794c0f4f2378,public-global-vessel-identity:v4.0
Lagoon Phoenix,311001255,BHS,Bahamas,Carrier,7,6948f9885-5162-d797-1c55-33552340b9f1,public-global-vessel-identity:v4.0
Stevelly Bay,235082211,GBR,United Kingdom,Passenger,7,5e2410b4a-a044-83d9-9336-5ed00e288f42,public-global-vessel-identity:v4.0
Hadassa Bay,224891000,ESP,Spain,Fishing,7,5292a6eba-a6e7-c3a4-c77e-7352b39b01f5,public-global-vessel-identity:v4.0
Silver Wind,308814000,BHS,Bahamas,Passenger,7,2d35bfe50-0b35-3a82-6494-f783fe6dffd1,public-global-vessel-identity:v4.0
Cfl Hunter,740399000,FLK,Falkland Islands (Malvinas),Fishing,7,4cae31777-7ed8-be16-3034-54fff1e071d3,public-global-vessel-identity:v4.0
Fram,258932000,NOR,Norway,Passenger,6,248d92b8c-c550-b269-8e91-de031ee45cb4,public-global-vessel-identity:v4.0
Sea Spirit,255806397,PRT,Portugal,Passenger,6,24a86ec7e-e41b-e7ad-8e2e-5c4708fef43c,public-global-vessel-identity:v4.0
Festeiro,224710000,ESP,Spain,Fishing,6,f11e488e6-6cda-5060-dd09-9a8968cbf8e2,public-global-vessel-identity:v4.0
Argos Cies,740406000,FLK,Falkland Islands (Malvinas),Fishing,6,9e6199ee9-9950-da1d-4fe2-46981e6d10a2,public-global-vessel-identity:v4.0
No.7 Dae Yang,440815000,KOR,Republic of Korea,Fishing,6,4d57f610d-d4d0-fdd9-931c-14aff6d01252,public-global-vessel-identity:v4.0
Beagle Fi,740337000,FLK,Falkland Islands (Malvinas),Fishing,6,07546d77f-ff2a-4f4b-bea1-1b9b7afe5150,public-global-vessel-identity:v4.0
Igueldo,740338000,FLK,Falkland Islands (Malvinas),Fishing,6,874d45315-5239-effb-be28-16098ce46899,public-global-vessel-identity:v4.0
Amundsen,319753600,CYM,Cayman Islands,Passenger,6,b94d72722-204a-6cd0-2c95-2cd5b963dd10,public-global-vessel-identity:v4.0
Oosterdam,245417000,NLD,Netherlands,Passenger,6,ac1021065-50a1-af2e-45b2-a626ea5bf98e,public-global-vessel-identity:v4.0
Hermanos Touza,740410000,FLK,Falkland Islands (Malvinas),Fishing,5,93ddc6758-850e-edb4-60ce-8c72843be2bc,public-global-vessel-identity:v4.0
Esperanza Menduina,224775000,ESP,Spain,Fishing,5,9b267dd84-4266-7610-c5dc-265d57f75d12,public-global-vessel-identity:v4.0
Paradanta Primero,224378000,ESP,Spain,Fishing,5,6f912b524-426d-e3b4-5ba0-8922681021f8,public-global-vessel-identity:v4.0
Win Far Ying 8,416004693,TWN,Chinese Taipei,Fishing,5,15cfa5f9c-c8cc-4449-6ab5-6a8d3a9df1b6,public-global-vessel-identity:v4.0
Roald Amundsen,257425000,NOR,Norway,Other,5,4ebd07e5c-c63e-490c-6896-6a78196f1735,public-global-vessel-identity:v4.0
MV Frio Hellenic,353981000,PAN,Panama,Carrier,5,fb66c373a-a5d3-ca9d-dcd7-aa3629b27cb2,public-global-vessel-identity:v4.0
Jyi Yang,416004842,TWN,Chinese Taipei,Fishing,5,ff78645e3-34fd-e286-f6e0-be80d5eb5667,public-global-vessel-identity:v4.0
5.Dong IL,440502000,KOR,Republic of Korea,Fishing,5,4fd368e18-8cc0-ca28-e8ce-a6bc327e774f,public-global-vessel-identity:v4.0
Hermanos Gandon 4,224463000,ESP,Spain,Fishing,5,66ea7e283-3ce3-262f-b428-ce7d14c7e0c4,public-global-vessel-identity:v4.0
27Haein,440108000,KOR,Republic of Korea,Fishing,5,f9cf1e731-1f1d-5b9f-daf0-a50f350dcdcd,public-global-vessel-identity:v4.0
Ocean Venture 6,577099000,VUT,Vanuatu,Fishing,5,09567cb60-0c9b-b68d-bd2c-46f3223395da,public-global-vessel-identity:v4.0
Dream Park,441383000,KOR,Republic of Korea,Other,5,376f2fcef-f921-cff9-1e75-f946f6abd7fe,public-global-vessel-identity:v4.0
Viking Jupiter,257058920,NOR,Norway,Passenger,5,140c0c632-23e3-2713-649d-c6277ced6859,public-global-vessel-identity:v4.0
Sapphire Princess,235103357,GBR,United Kingdom,Passenger,5,4709755dc-cca3-26e8-b5a1-93bee22e60d3,public-global-vessel-identity:v4.0
Fu Kuo No6,416171800,TWN,Chinese Taipei,Fishing,4,fa270cdff-feb8-151d-59c1-5a22eadc40bf,public-global-vessel-identity:v4.0
Scenic Eclipse,311000995,BHS,Bahamas,Passenger,4,e2e04030e-ef6a-9b76-b6b4-1c1afc24668a,public-global-vessel-identity:v4.0
Costa Do Cabo,224967000,ESP,Spain,Fishing,4,65e5926c0-01b4-3afb-ace4-6941014ee65c,public-global-vessel-identity:v4.0
Aastroom,244002828,NLD,Netherlands,Other,4,465cce492-2343-223e-7986-8d4d3e6c4525,public-global-vessel-identity:v4.0
7 Dong IL,440701000,KOR,Republic of Korea,Fishing,4,c459fcb77-7ff8-ddac-4a55-4017b3f59c20,public-global-vessel-identity:v4.0
Frio Galicia,374996000,PAN,Panama,Carrier,4,766208f70-0759-9f75-911a-85e2f9205201,public-global-vessel-identity:v4.0
Ocean Venture II,577079000,VUT,Vanuatu,Fishing,4,79486b313-340f-e448-956a-bfac321818d7,public-global-vessel-identity:v4.0
Firebird,235114751,GBR,United Kingdom,Passenger,4,7fa09d9f0-0cdd-3011-6c76-8df6d7952f13,public-global-vessel-identity:v4.0
"Sae In No,5",441767000,KOR,Republic of Korea,Fishing,4,643e340f3-3c55-1ea3-3f41-1d7828a018b4,public-global-vessel-identity:v4.0
