name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Pipit,740373000,FLK,Falkland Islands (Malvinas),Passenger,31,580920978-8d92-04ca-38de-d6b6a69462ae,public-global-vessel-identity:v4.0
Prion,740374000,FLK,Falkland Islands (Malvinas),Other,21,6a2daf2bc-c79c-4e09-103b-ae28aff1035f,public-global-vessel-identity:v4.0
Silver Wind,308814000,BHS,Bahamas,Passenger,7,2d35bfe50-0b35-3a82-6494-f783fe6dffd1,public-global-vessel-identity:v4.0
Fram,258932000,NOR,Norway,Passenger,6,248d92b8c-c550-b269-8e91-de031ee45cb4,public-global-vessel-identity:v4.0
Sea Spirit,255806397,PRT,Portugal,Passenger,6,24a86ec7e-e41b-e7ad-8e2e-5c4708fef43c,public-global-vessel-identity:v4.0
Scenic Eclipse,311000995,BHS,Bahamas,Passenger,5,e2e04030e-ef6a-9b76-b6b4-1c1afc24668a,public-global-vessel-identity:v4.0
Le Lyrial,578000800,WLF,Wallis and Futuna,Passenger,5,c5d7b3e02-2b3f-9fde-0a1f-d507dfa7693d,public-global-vessel-identity:v4.0
Hondius,244327000,NLD,Netherlands,Passenger,5,2d396eff6-6be3-7c38-f1ed-3c48e4f209e1,public-global-vessel-identity:v4.0
Silver Cloud,309027000,BHS,Bahamas,Passenger,5,814a5527b-b0c7-601d-cc15-f5babe822f4b,public-global-vessel-identity:v4.0
Le Boreal,578000500,WLF,Wallis and Futuna,Passenger,5,8db2dcbb8-8f90-7111-b085-dd4a063b178b,public-global-vessel-identity:v4.0
Endurance Zodiac 10,983110300,---,---,Passenger,4,6821bc870-010b-466e-1d36-60b052765e75,public-global-vessel-identity:v4.0
Molly,235115596,GBR,United Kingdom,Other,4,bc7545168-818b-0d58-bfdf-be16abf55e5d,public-global-vessel-identity:v4.0
Hanseatic Nature,215768000,MLT,Malta,Passenger,3,25a490739-90d4-0fa9-fd31-659c11b1f36c,public-global-vessel-identity:v4.0
Silver Endeavour,311000932,BHS,Bahamas,Passenger,3,ef523f4f9-9ea7-1254-ab9b-94ce926cfdba,public-global-vessel-identity:v4.0
Fr Zodiak 07,982570207,---,---,Passenger,3,26df752f2-2440-4e50-922a-708fef6a8dd0,public-global-vessel-identity:v4.0
Zodiac 21,982570242,---,---,Passenger,3,5c1741120-067c-942d-ae43-28f4c844c0ab,public-global-vessel-identity:v4.0
Sh Diana,636093228,LBR,Liberia,Passenger,3,bf1813ec2-2358-c741-0e64-b6f80912adb8,public-global-vessel-identity:v4.0
Unknown vessel,235115598,GBR,United Kingdom,Other,3,2219e7744-4128-6415-8577-e8816d2a4fe5,public-global-vessel-identity:v4.0
Plancius,246573000,NLD,Netherlands,Passenger,3,eb3ae9248-8c74-3b85-de27-31010e87afd5,public-global-vessel-identity:v4.0
Endurance Zodiac 15,983110303,---,---,Passenger,3,51a7e391e-edd5-20d8-7607-f735ba1f9a0d,public-global-vessel-identity:v4.0
Endurance Zodiac 08,983110298,---,---,Passenger,3,dc61c4913-32e7-07d2-81a0-aba7e245a68d,public-global-vessel-identity:v4.0
Seaventure,311001633,BHS,Bahamas,Passenger,3,1fd24c4c5-5d92-3b0b-9d96-e41cd602df2b,public-global-vessel-identity:v4.0
Nat Franklin,982157686,---,---,Passenger,3,569d59c34-4bd9-7fdb-1099-a23d8185073f,public-global-vessel-identity:v4.0
Ortelius,244180151,NLD,Netherlands,Other,3,0ad5b4dea-a985-9eb4-c7f1-9457c763285f,public-global-vessel-identity:v4.0
Ng Endurance,311000929,BHS,Bahamas,Passenger,3,3c3d01ce1-1db8-64ee-db0c-73c86f2f9aec,public-global-vessel-identity:v4.0
Ocean Albatros,255915656,PRT,Portugal,Passenger,3,49066034a-a69b-c169-803c-24280902a4f7,public-global-vessel-identity:v4.0
Magellan Explorer,311000728,BHS,Bahamas,Passenger,3,b4c0ad281-1f0a-06ef-ff3e-30c89a016725,public-global-vessel-identity:v4.0
L`Austral,578000700,WLF,Wallis and Futuna,Passenger,3,227985e71-1ee0-7055-b45c-d2fff0ba2c1d,public-global-vessel-identity:v4.0
Meredian,671546100,TGO,Togo,Passenger,3,7eb402b38-8b41-58d5-18e8-11e98aa2f433,public-global-vessel-identity:v4.0
Sylvia Earle,311000867,BHS,Bahamas,Passenger,3,081400e70-0a09-69c4-53c0-577f94753b65,public-global-vessel-identity:v4.0
