name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Admiral Lazarev,273375370,RUS,Russia,Passenger,172,0f84a1ad0-0978-8021-3c17-9d283c4d875a,public-global-vessel-identity:v4.0
Chernomorets-3,273374140,RUS,Russia,Other,103,48f4df253-33bd-47bd-4917-771b47188e70,public-global-vessel-identity:v4.0
Topaz,273433510,RUS,Russia,Other,92,905dc0b09-9289-39d9-975e-654bbe5399da,public-global-vessel-identity:v4.0
Admiral Istomin,273376370,RUS,Russia,Passenger,79,7d5d147ce-e612-a88b-e531-3d9a9468aa2a,public-global-vessel-identity:v4.0
Kiana,272005529,UKR,Ukraine,Passenger,72,9e0561564-47d5-80e7-11b1-fbe3fba42800,public-global-vessel-identity:v4.0
Rybolov-1,273346480,RUS,Russia,Fishing,71,c5e13ccae-eccd-abc6-4ded-e2057195ee98,public-global-vessel-identity:v4.0
Sokol,273390950,RUS,Russia,Other,70,4a30c898f-f368-ca35-08c6-7bc4600e55cd,public-global-vessel-identity:v4.0
Sea Service,273428670,RUS,Russia,Passenger,69,287288ebb-bda5-af44-1361-139c5de17422,public-global-vessel-identity:v4.0
Mekhanik Alekseev,273398740,RUS,Russia,Other,67,b26761356-60fb-d3dd-0e35-ff212b93f395,public-global-vessel-identity:v4.0
Kap-Leyt. Kazarskiy,273395950,RUS,Russia,Other,65,e05941007-7db5-ecae-aeae-ed9212ef51ad,public-global-vessel-identity:v4.0
Kometa Galleya,273373740,RUS,Russia,Fishing,65,2eba0145f-f2c9-8986-c87c-1b1a44802bc0,public-global-vessel-identity:v4.0
Akvamarin,273358580,RUS,Russia,Passenger,65,21cb13b9c-ce84-d4f2-0133-311e7a9f2d37,public-global-vessel-identity:v4.0
Nb569,569,---,---,Other,63,6fb20a75e-e3db-e1e0-ea53-03257e30d332,public-global-vessel-identity:v4.0
Mircesti,264162121,ROU,Romania,Other,61,0fc7c18ca-a2a4-4e1f-91f7-7bf131be8dea,public-global-vessel-identity:v4.0
Mys Alchak,273619830,RUS,Russia,Other,61,d01b7c8b2-2888-96ec-a6be-9cd1a6c0aadd,public-global-vessel-identity:v4.0
Odissey,273450040,RUS,Russia,Passenger,59,5958f3bec-c6fa-701d-35ac-aa06ecdaf359,public-global-vessel-identity:v4.0
Mitridat,273378480,RUS,Russia,Fishing,56,5dc3468c0-0270-1619-2f45-3b82c835b34d,public-global-vessel-identity:v4.0
Lunga,273375740,RUS,Russia,Fishing,56,2cf06f73c-ce2c-6fe2-232f-06dfb03547e6,public-global-vessel-identity:v4.0
Impuls,273420500,RUS,Russia,Other,55,ca2197bda-a3f3-ca22-6693-4ec47afed94b,public-global-vessel-identity:v4.0
Van Gogh,273456240,RUS,Russia,Other,55,20e3ebdc7-70de-13b7-5c69-747d71107f60,public-global-vessel-identity:v4.0
Pelikan,273253710,RUS,Russia,Passenger,52,692a737d0-041a-41ec-8025-35e9461788d1,public-global-vessel-identity:v4.0
Unknown vessel,613135100,CMR,Cameroon,Other,51,8e20bf7f1-1d44-d3ac-ac4d-f155db54f5af,public-global-vessel-identity:v4.0
Truzhenik,273451460,RUS,Russia,Other,50,d34d86bf3-35f9-da3f-6dc8-9e4c525efd0c,public-global-vessel-identity:v4.0
Atlant,273379930,RUS,Russia,Passenger,49,6d654ca29-9886-0cff-41e4-72b04ac0c55e,public-global-vessel-identity:v4.0
Modus,273430210,RUS,Russia,Other,48,28164dbb4-44c0-ffbb-dfda-185fd9f87518,public-global-vessel-identity:v4.0
Btp-611,273313870,RUS,Russia,Other,45,4da6e35f9-9ec2-e96f-f06a-9756389c16a1,public-global-vessel-identity:v4.0
Mb Linter 1,273372890,RUS,Russia,Other,45,578c5039a-afe7-b417-6e47-89e51d69399f,public-global-vessel-identity:v4.0
Boray,273610900,RUS,Russia,Other,45,a1996b09f-ff13-92f0-24f6-a5d098b8468a,public-global-vessel-identity:v4.0
Orka-Yug,273380830,RUS,Russia,Other,44,361abf193-3e04-d948-3f05-f74828ed876a,public-global-vessel-identity:v4.0
Anastasia V,273255860,RUS,Russia,Passenger,44,1522e8127-72aa-ee47-0baa-1a661d33bc75,public-global-vessel-identity:v4.0
Pk-2-100,273372060,RUS,Russia,Other,43,e8d4cdc2a-a8b8-6e4a-b944-bd51f37ed220,public-global-vessel-identity:v4.0
