name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Seamax 1125,463079101,PAK,Pakistan,Other,485,af8eda759-99b7-a471-df11-343cf57307f7,public-global-vessel-identity:v4.0
S.H.B.Sehwan,567890887,THA,Thailand,Other,250,c79b2412f-ffab-d8d7-aa00-e6d1fe9ab892,public-global-vessel-identity:v4.0
Ocean Prince,463000321,PAK,Pakistan,Passenger,209,55576af87-7a15-f31d-3483-e144b33e4d22,public-global-vessel-identity:v4.0
Ocean Sky,463001500,PAK,Pakistan,Passenger,191,010576cbd-de4c-41e0-f9c8-e8fae83a4c4a,public-global-vessel-identity:v4.0
Sea Prince,463001199,PAK,Pakistan,Other,154,3cad34277-7d45-4115-e4e7-d9e57bc97ad7,public-global-vessel-identity:v4.0
M.T-Pipri,463088101,PAK,Pakistan,Other,122,139ca1398-886f-03fb-80f1-18ed75cf2175,public-global-vessel-identity:v4.0
M.T-Gharo,463085101,PAK,Pakistan,Other,119,43fa55c85-5e28-39d5-e2fb-f2612703c015,public-global-vessel-identity:v4.0
M.T-Korangi,463087101,PAK,Pakistan,Other,116,370a74105-55a9-816b-0a28-2a260bebbc44,public-global-vessel-identity:v4.0
Seamax Pride,463081101,PAK,Pakistan,Passenger,114,d9c064402-2a7a-da90-6881-ade29ddbec54,public-global-vessel-identity:v4.0
Ocean Prince,463000321,PAK,Pakistan,Passenger,105,9ede454b2-2a67-bfcf-1942-87b631618f8b,public-global-vessel-identity:v4.0
M.T-Malir,463086101,PAK,Pakistan,Other,103,e85ef3e1d-db07-cf42-0d76-bb2349872dc4,public-global-vessel-identity:v4.0
S.H.B.Bhit Shah,467890686,---,---,Other,103,e85135250-0670-6e39-a351-e8529a62b54b,public-global-vessel-identity:v4.0
Sea Prince,463001199,PAK,Pakistan,Other,101,5ba2ae62c-cf81-7d36-7287-0829d5a86612,public-global-vessel-identity:v4.0
Lamnalco Chaika,463091101,PAK,Pakistan,Other,85,a39bfc30f-f24f-fe21-c5d7-fdbc211c7507,public-global-vessel-identity:v4.0
Mohna,463071101,PAK,Pakistan,Other,72,55d37edf0-0f7c-6c63-e3e2-c50ed1163ec6,public-global-vessel-identity:v4.0
Sohna,463070101,PAK,Pakistan,Other,55,aea408368-8d80-4762-e253-02c9ae01f3fb,public-global-vessel-identity:v4.0
Sall,463084101,PAK,Pakistan,Other,51,7c30ffee3-3252-cf11-ee27-a7979ebb66be,public-global-vessel-identity:v4.0
X-Press Salween,563168300,SGP,Singapore,Cargo,48,075dff9f8-8538-ea34-dd95-6e3a32b43be6,public-global-vessel-identity:v4.0
X Press Kohima,572158220,TUV,Tuvalu,Cargo,45,5dcf01e76-6002-f37e-4250-880cdeddb8f4,public-global-vessel-identity:v4.0
Kadiro Test,463057102,PAK,Pakistan,Other,44,cf30626d2-2bef-7364-9f60-b173eb0da786,public-global-vessel-identity:v4.0
Shalamar,463047101,PAK,Pakistan,Other,44,9f1cbbb5e-ef05-375b-5f87-60ef4b488b51,public-global-vessel-identity:v4.0
Sargodha,463076101,PAK,Pakistan,Other,43,e49cbe81e-ea9a-c7ff-b21a-bd5281d5e816,public-global-vessel-identity:v4.0
Swan Lake,352004759,PAN,Panama,Other,39,8ab63e27d-d0f0-c755-edad-fdfdc679ab79,public-global-vessel-identity:v4.0
Marine Ista,565678000,SGP,Singapore,Other,37,4754df4bb-b31d-98eb-1933-53bd8129dd55,public-global-vessel-identity:v4.0
Seamax Pearl,463082101,PAK,Pakistan,Gear,36,cdead8bca-a5c4-4d90-c199-ecd5c7edf8a5,public-global-vessel-identity:v4.0
Muzamil Fish Net-99%,42,---,---,Other,36,aba17af41-117d-abbe-a6f4-498ab63cbca9,public-global-vessel-identity:v4.0
Eleni T,538007684,MHL,Marshall Islands,Cargo,33,dddc01fa1-18ba-e4cb-d707-0d31027d341e,public-global-vessel-identity:v4.0
B.T Mazdoor,271052735,TUR,Turkey,Other,33,2979d03de-e802-3f1e-e9f4-317f763ed10f,public-global-vessel-identity:v4.0
Hansa Africa,636093354,LBR,Liberia,Cargo,32,74c73187f-febe-43ec-fb11-e6fd245cd06f,public-global-vessel-identity:v4.0
Indus Dolphin,463057101,PAK,Pakistan,Other,29,9cb28e25d-d116-cf01-0e7e-91e51c00aa26,public-global-vessel-identity:v4.0
Safina Raj,463229222,PAK,Pakistan,Other,29,0d0479ac3-3fa0-8141-d469-bdbf54577702,public-global-vessel-identity:v4.0
