name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Olimpic Express,388290000,---,---,Passenger,280,476b9c405-5bf8-d2c6-e39c-35ca99d44b55,public-global-vessel-identity:v4.0
Atria,760002980,PER,Peru,Other,277,24775c957-7c0f-4f6c-25fd-e959c53e43ea,public-global-vessel-identity:v4.0
Mazorca,760001010,PER,Peru,Other,259,82e7d69f8-8f7c-80e8-8c5c-12a10d188bd4,public-global-vessel-identity:v4.0
Rigel,760002350,PER,Peru,Other,223,7fe79d810-0a5d-cec0-ddd6-e166026e1388,public-global-vessel-identity:v4.0
Psa Warpa,760004010,PER,Peru,Other,198,f3084d1cf-fbca-224a-4b94-da0b5c73a628,public-global-vessel-identity:v4.0
Adita,760033663,PER,Peru,Fishing,188,808c14aa2-25c5-2ee4-e965-7f649a350185,public-global-vessel-identity:v4.0
Tasa 37:,760001021,PER,Peru,Fishing,177,b9c648558-8727-4eeb-13c3-b1752f9bd737,public-global-vessel-identity:v4.0
Locumba 5,760000233,PER,Peru,Fishing,174,4ff5e7b44-42fb-3393-b6be-713d23cb91d4,public-global-vessel-identity:v4.0
Melissa Hoper,769493837,---,---,Fishing,169,844e7b87e-eecb-f6fd-0914-352cc33645a2,public-global-vessel-identity:v4.0
Elisa,760021909,PER,Peru,Fishing,169,1cf2523d1-1cf4-5170-c043-37f8a554a54d,public-global-vessel-identity:v4.0
Ballestas I,760027204,PER,Peru,Fishing,168,f61efb8ee-eeb2-b106-262b-8368a6f0f1e3,public-global-vessel-identity:v4.0
Chira I,760028711,PER,Peru,Fishing,164,d5292dabd-d069-4de9-a71a-ab59bdb307aa,public-global-vessel-identity:v4.0
Psa Wayra,760004020,PER,Peru,Other,161,cb07f1f2c-c9cc-26dd-4469-48edfcb531d9,public-global-vessel-identity:v4.0
Alexandra,760003390,PER,Peru,Fishing,159,def3a17e5-5e41-b2b7-4f81-ef12a3bfc3e4,public-global-vessel-identity:v4.0
Gabriela V,760110540,PER,Peru,Fishing,159,67968a661-1d17-d480-37d6-522f1000efac,public-global-vessel-identity:v4.0
Junin 2,760000008,PER,Peru,Fishing,159,302730b5e-e0be-e9d1-eeb1-6c1c4815e0e3,public-global-vessel-identity:v4.0
Guanay,760014964,PER,Peru,Fishing,158,3c09605c7-7692-7537-d84a-d1e18b78b8f0,public-global-vessel-identity:v4.0
Pda1,760021429,PER,Peru,Fishing,157,56a175679-98e5-de17-22c2-bc052b82b159,public-global-vessel-identity:v4.0
Fabiola,760003440,PER,Peru,Fishing,153,6826744b9-9b7a-ddbd-ed2e-2e4869d7bfbc,public-global-vessel-identity:v4.0
Susan VI,760001260,PER,Peru,Fishing,153,f6f10b3d6-607a-27cc-00ea-ead798b98353,public-global-vessel-identity:v4.0
Piti,760018813,PER,Peru,Fishing,152,989982e71-10b2-f579-7b1e-5a76daa1f8b0,public-global-vessel-identity:v4.0
Simy 2,760002066,PER,Peru,Fishing,152,38a96a1cc-ca15-4ee2-640f-79ba9797d55f,public-global-vessel-identity:v4.0
Grupez,760040300,PER,Peru,Fishing,152,4f66ffef2-291c-9397-7a69-8cb1d6d94923,public-global-vessel-identity:v4.0
Cuzco 1,760000561,PER,Peru,Fishing,151,47f6f0760-0a5c-4a3a-b1c5-49c83db47b5f,public-global-vessel-identity:v4.0
Don Victor,760013270,PER,Peru,Fishing,149,31aa32d76-6211-01ef-ef57-ac0ca563d600,public-global-vessel-identity:v4.0
Zorritos 2,760135796,PER,Peru,Fishing,147,0c54eb50a-a1a2-f83e-68c1-ec4559b1f545,public-global-vessel-identity:v4.0
Adhara,760002990,PER,Peru,Other,144,a16ae514f-fbad-788e-5d2b-28a9041b0510,public-global-vessel-identity:v4.0
Natalie,760001242,PER,Peru,Fishing,143,01a48865f-fe48-ceae-a334-fc50eb185424,public-global-vessel-identity:v4.0
Ribar XIV,760011569,PER,Peru,Fishing,143,7ac907ccb-b184-9573-767e-0c5487f932b9,public-global-vessel-identity:v4.0
Pisco 1,760003520,PER,Peru,Fishing,143,b56ab0094-460b-52c4-d953-74b60d6b5345,public-global-vessel-identity:v4.0
Polar III,760003530,PER,Peru,Fishing,143,2e463c977-7d38-97d3-1fa6-b65aa94bd49c,public-global-vessel-identity:v4.0
Tasa36,760001210,PER,Peru,Fishing,143,562d5ae92-2f98-c812-3770-921ef05b7e5a,public-global-vessel-identity:v4.0
Gavilan-,760111409,PER,Peru,Fishing,143,3def60091-101e-192c-0716-238c529c2b9d,public-global-vessel-identity:v4.0
Ricardo,760016324,PER,Peru,Fishing,142,c35320ff3-35fd-c2c9-c161-c77d6a1df7c9,public-global-vessel-identity:v4.0
Don Raul IV,760028659,PER,Peru,Fishing,142,9e87e88b2-24b3-3c68-8ed4-7b1523c64f59,public-global-vessel-identity:v4.0
Estela De Oro 2,760010399,PER,Peru,Fishing,142,5112a9751-10aa-bcfc-9811-2d993f072138,public-global-vessel-identity:v4.0
Luis Alberto,760011346,PER,Peru,Fishing,142,1f46588c3-3d99-921b-7143-d58fd57341f4,public-global-vessel-identity:v4.0
Ipanema,760014268,PER,Peru,Fishing,140,72d4eee93-3d2c-fd03-e017-044f6663c6ed,public-global-vessel-identity:v4.0
Marina,760018644,PER,Peru,Fishing,140,c7a4f5d3d-d8dd-c729-4623-55d2e37ae522,public-global-vessel-identity:v4.0
Maria Mercedes 17,760017979,PER,Peru,Fishing,140,66e3a68c0-098e-81e5-bf17-044c0f4f1665,public-global-vessel-identity:v4.0
Dalmacia,760006568,PER,Peru,Fishing,139,f0ae46346-648d-615b-f153-34ea4163d450,public-global-vessel-identity:v4.0
Lomas,760006709,PER,Peru,Fishing,139,7527e00ff-f88d-8251-69d3-40d4f18a2ef2,public-global-vessel-identity:v4.0
Alejandria VI,760010501,PER,Peru,Fishing,139,f72fd0f80-02a3-94f7-6298-cc0419587369,public-global-vessel-identity:v4.0
