name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Mestre Jaime Feijo,204701440,PRT,Portugal,Passenger,1032,3386fc386-6164-ced8-f7a7-c1362673896b,public-global-vessel-identity:v4.0
Gilberto Mariano,204701390,PRT,Portugal,Passenger,859,1c8bc6771-1b1e-491b-3c7d-1cff081c0aad,public-global-vessel-identity:v4.0
Kometa,204811640,PRT,Portugal,Passenger,383,a6d32dba4-4b6e-fa79-f565-6752423506a7,public-global-vessel-identity:v4.0
Cruzeiro Do Canal,204701250,PRT,Portugal,Passenger,337,53b9b62a9-9462-0f77-e42a-99d62af8c48a,public-global-vessel-identity:v4.0
Bwa,204601790,PRT,Portugal,Other,332,b639f6136-607d-d9f8-7698-617f7c4f352d,public-global-vessel-identity:v4.0
Best Spot,204814650,PRT,Portugal,Passenger,325,1225bc615-5737-989c-9445-4efaf1a88eed,public-global-vessel-identity:v4.0
Ilhas De Bruma,204701450,PRT,Portugal,Other,268,d5084fb84-4a42-1e7e-2f68-2abc8640477d,public-global-vessel-identity:v4.0
Risso,204804490,PRT,Portugal,Other,242,33aee6d6e-e15a-ce0f-ae34-68c9742a4581,public-global-vessel-identity:v4.0
Terrazul II,204701690,PRT,Portugal,Passenger,233,8dc4f5125-5661-8399-8003-289f0ade9888,public-global-vessel-identity:v4.0
Paulo Da Gama,204706000,PRT,Portugal,Cargo,218,e043d84fa-aac3-afd1-b62c-c1c914111f7f,public-global-vessel-identity:v4.0
Bicho Do Mar,204750460,PRT,Portugal,Other,213,d0603a578-880a-b16f-bbd7-2ac315514246,public-global-vessel-identity:v4.0
Baleias Expresso,204750480,PRT,Portugal,Other,207,1a029bb87-7883-b940-234a-72da7d6b3eb0,public-global-vessel-identity:v4.0
Terrazul,204813860,PRT,Portugal,Passenger,205,af77da18e-e8e5-415f-1382-06e9e359160c,public-global-vessel-identity:v4.0
Allegro,204812590,PRT,Portugal,Passenger,200,1f0b29615-54e5-8244-a21b-831eaa53d2ae,public-global-vessel-identity:v4.0
Sao Jorge,255805991,PRT,Portugal,Bunker,187,437489494-4031-caba-6b56-c59b4238ab3c,public-global-vessel-identity:v4.0
Terrazul III,204813490,PRT,Portugal,Passenger,186,00fdacff1-1c5e-7d38-2180-552c348fa09e,public-global-vessel-identity:v4.0
Cha Preto,204811670,PRT,Portugal,Other,184,acf2d967f-f00f-d45b-a406-e890e2f5b87f,public-global-vessel-identity:v4.0
Espirito Santo,204600003,PRT,Portugal,Cargo,183,28810bce4-4761-c3e9-51c3-48a0f5947906,public-global-vessel-identity:v4.0
Furnas,204708000,PRT,Portugal,Other,164,1c2398eb0-0db0-3530-5f83-76849cdade12,public-global-vessel-identity:v4.0
Coral Da Horta,204671240,PRT,Portugal,Other,160,0f003800d-dc71-bd26-e6c9-fa0e6dd7d353,public-global-vessel-identity:v4.0
Physeter,204750790,PRT,Portugal,Other,149,489ca522d-decd-a3b0-d9e3-c21b7f1a0374,public-global-vessel-identity:v4.0
Isabel C,204751280,PRT,Portugal,Fishing,145,51bcd4c13-300a-4731-f034-0fba057c4898,public-global-vessel-identity:v4.0
Faidoca,255912280,PRT,Portugal,Other,144,dbbc5af05-5c54-5163-7822-94029becdfd3,public-global-vessel-identity:v4.0
Insular,255806013,PRT,Portugal,Other,125,c507f5f16-630c-54eb-8d89-fc307f4bc82e,public-global-vessel-identity:v4.0
Bugs Bunny,204813640,PRT,Portugal,Passenger,125,8d07dd7f9-9a74-6689-c737-0d657230f9de,public-global-vessel-identity:v4.0
Laura S,255805890,PRT,Portugal,Other,124,1969ee86d-d044-e044-0e22-2e8facc4f319,public-global-vessel-identity:v4.0
Galaxia,204750680,PRT,Portugal,Fishing,117,f69e1ce22-2e43-aeb0-0716-35e1b1e3d408,public-global-vessel-identity:v4.0
Ilha Da Madeira,255915714,PRT,Portugal,Passenger,110,9a1a11ba7-7e61-5593-94e7-e3e8a2e5abb1,public-global-vessel-identity:v4.0
Reefcat,263884640,PRT,Portugal,Other,109,a9030d13c-ceee-5869-c024-20866da1b7a9,public-global-vessel-identity:v4.0
Black Pearl,204670790,PRT,Portugal,Other,108,05a404dc9-9202-b082-a8c1-5944e5fc01dd,public-global-vessel-identity:v4.0
Seatizen,263959641,PRT,Portugal,Other,106,b6651e0b7-7063-2587-6e57-68d5c797b163,public-global-vessel-identity:v4.0
Goncalo,204670490,PRT,Portugal,Other,103,0db76c0fb-bb0a-891b-53b4-544de50984e3,public-global-vessel-identity:v4.0
Mermaid,204811650,PRT,Portugal,Other,102,5aaf8cde4-4290-68c8-49f1-d31f16af2e18,public-global-vessel-identity:v4.0
