name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Lobo Marinho,255997000,PRT,Portugal,Passenger,653,8b3b5ec55-58f6-5250-6fb7-9cfbca221dd2,public-global-vessel-identity:v4.0
Quadrifoglio,255903380,PRT,Portugal,Passenger,217,e34b7c03d-d384-28fb-d8e2-782bff6a90e1,public-global-vessel-identity:v4.0
Cte. Passos Gouveia,255625000,PRT,Portugal,Other,100,ecbc9e8cf-fc9e-0e8e-bc1d-3be2bc0526c2,public-global-vessel-identity:v4.0
Ilheu Da Mina,204670340,PRT,Portugal,Other,82,91151302a-ab97-b14a-2971-1e2524c2f5ba,public-global-vessel-identity:v4.0
Baia C. Lobos,255401370,PRT,Portugal,Fishing,71,723b3db0a-a73e-a78e-42cf-d05eae0e5b54,public-global-vessel-identity:v4.0
Luna 47 Turquoise,255601350,PRT,Portugal,Passenger,62,06dfd10ae-e751-f06c-01ba-4903dc9bd1b7,public-global-vessel-identity:v4.0
Funchalense 5,255804250,PRT,Portugal,Other,60,f18aa1448-8dc0-a190-cbee-8ca583dab189,public-global-vessel-identity:v4.0
Porto Novo,255701250,PRT,Portugal,Other,59,6bdb674bc-c5c4-1e9a-1f2b-45a61ea15f40,public-global-vessel-identity:v4.0
Jaime S,255629000,PRT,Portugal,Passenger,59,e003f2a07-759e-6884-e811-6068059b629d,public-global-vessel-identity:v4.0
Ponta Do Pargo,255627000,PRT,Portugal,Other,53,d9e12b73f-f189-d282-21c6-55102eec6b5e,public-global-vessel-identity:v4.0
Monte Brasil,255806010,PRT,Portugal,Other,49,fc1c1ac18-8feb-f6c5-2943-a328a289da0c,public-global-vessel-identity:v4.0
Bruno,255500125,PRT,Portugal,Fishing,47,a51d04f3a-a86a-7d9d-7679-53a2fe5a1ba7,public-global-vessel-identity:v4.0
Avalon,211290480,DEU,Germany,Passenger,43,56366e198-8ef0-238d-4579-1dc20f8e54a1,public-global-vessel-identity:v4.0
Observatorio I,255601940,PRT,Portugal,Other,42,ca498ffd6-640d-82b3-256c-4948eaf7a915,public-global-vessel-identity:v4.0
No Reserve,255913599,PRT,Portugal,Seismic vessel,31,313be448a-a293-3382-fd62-48735bd542e4,public-global-vessel-identity:v4.0
Ponta Do Pargo,255672000,PRT,Portugal,Other,29,b6038825f-f95d-4d64-b534-6a3fe1cdf57c,public-global-vessel-identity:v4.0
Magic Boat,263960009,PRT,Portugal,Passenger,27,064cda0dd-dc03-2214-3e5a-55391e592ea5,public-global-vessel-identity:v4.0
Boqueirao,255601270,PRT,Portugal,Other,24,944bd37f4-4e66-5c61-d7d2-7eb4ca29ddf1,public-global-vessel-identity:v4.0
Nrp Zaire,263076000,PRT,Portugal,Other,22,d2f1a9815-5a73-0ecb-b8ab-31cc91b4ba68,public-global-vessel-identity:v4.0
Baia Do Funchal,255402260,PRT,Portugal,Fishing,19,8aec663dd-dff1-d382-93f2-b1a202aacf76,public-global-vessel-identity:v4.0
Besiktas Zealand,248163000,MLT,Malta,Other,19,40575ca0e-ebb1-154d-42e8-866764fafd59,public-global-vessel-identity:v4.0
Aidacosma,247435300,ITA,Italy,Passenger,19,6c6c66ffc-c091-5de3-a558-8358600c9c22,public-global-vessel-identity:v4.0
Azura,310610000,BMU,Bermuda,Passenger,18,794d28435-56c0-12c5-de53-a12fef935fc6,public-global-vessel-identity:v4.0
Singular,255916029,PRT,Portugal,Passenger,18,769bf8249-961c-3a9d-2436-17a0f81baabd,public-global-vessel-identity:v4.0
Mestre Gregorio,255402570,PRT,Portugal,Fishing,18,9825d5522-20fd-4f83-7bf2-cbfc87dd7744,public-global-vessel-identity:v4.0
Ilha Da Madeira,255915714,PRT,Portugal,Passenger,17,9a1a11ba7-7e61-5593-94e7-e3e8a2e5abb1,public-global-vessel-identity:v4.0
Barracuda,263062016,PRT,Portugal,Other,17,a0511c938-8eae-54db-cdd8-ac8fd27ebe03,public-global-vessel-identity:v4.0
Atlantico,255630000,PRT,Portugal,Cargo,17,d98378c11-13b7-3db7-2787-2fb517b5f1f7,public-global-vessel-identity:v4.0
Sr. Jesus Das Chagas,263087000,PRT,Portugal,Passenger,17,8ac6f0a62-26d4-fe99-168e-cf07070ac66d,public-global-vessel-identity:v4.0
Galbot,256594000,MLT,Malta,Other,16,ae5f88b21-1e5d-d2a0-b2fa-4b02595153b4,public-global-vessel-identity:v4.0
Cabo Da Praia,204851000,PRT,Portugal,Fishing,15,9738b2cd8-8e06-5c23-59eb-8377a1b38e51,public-global-vessel-identity:v4.0
Santa Maria Manuela,255806006,PRT,Portugal,Other,15,22995cca3-36cf-c1b6-09d4-7ae04c8fed1a,public-global-vessel-identity:v4.0
Freelancer,255903450,PRT,Portugal,Passenger,14,58f973085-57dc-0c19-0a2c-14f0a09ecd61,public-global-vessel-identity:v4.0
Rebecca S,255806301,PRT,Portugal,Passenger,14,f5bffb8e8-8ffa-cbdc-6249-b588aea23d04,public-global-vessel-identity:v4.0
Sanas 101,255912780,PRT,Portugal,Other,13,41077fcc7-78f8-2c53-b31a-f461d439a0a4,public-global-vessel-identity:v4.0
Cte Valerio Andrade,255621000,PRT,Portugal,Passenger,13,94d62dbd5-5a68-189d-4abc-f09da342f538,public-global-vessel-identity:v4.0
Ventura,310562000,BMU,Bermuda,Passenger,13,971f30cc1-13ce-dc0f-26ee-8039e5f9ffd9,public-global-vessel-identity:v4.0
Islas Dos,351774000,PAN,Panama,Cargo,13,782cc45b7-7021-b3de-e397-56ee534a96e6,public-global-vessel-identity:v4.0
Marella Explorer,249051000,MLT,Malta,Passenger,12,fef26b738-894d-4b79-fc1b-034f2c4a17af,public-global-vessel-identity:v4.0
Sound Of Silence,211771930,DEU,Germany,Other,12,5814fe23f-fd1c-4488-1a71-48fe92629428,public-global-vessel-identity:v4.0
Mein Schiff 5,256235000,MLT,Malta,Passenger,12,133897c24-415f-db3c-14c5-c2812b790f28,public-global-vessel-identity:v4.0
Mein Schiff 7,256750000,MLT,Malta,Other,12,234f0a234-42a3-0736-d581-83084597bd2b,public-global-vessel-identity:v4.0
Msc Opera,357627000,PAN,Panama,Passenger,12,aab69b3b6-693f-aefb-6313-b631a9fc727b,public-global-vessel-identity:v4.0
Condor,204812000,PRT,Portugal,Fishing,12,7fbfa992e-e8c0-9195-7ee8-7df384a90526,public-global-vessel-identity:v4.0
Luna 47 Orange,255601340,PRT,Portugal,Passenger,11,de8de0737-75d2-68f5-e0b8-505e282950c0,public-global-vessel-identity:v4.0
Mein Schiff Relax,249129000,MLT,Malta,Cargo,11,1d3458935-5209-f6ae-cd92-d5b699c59dc7,public-global-vessel-identity:v4.0
Saragarsa,255402480,PRT,Portugal,Fishing,11,1aa5f3d13-3883-8aa3-3516-80eff8bfcd95,public-global-vessel-identity:v4.0
Marella Discovery 2,311378000,BHS,Bahamas,Passenger,11,2685fa023-3425-81d0-2a4b-f916df82a2a0,public-global-vessel-identity:v4.0
Meca,255401690,PRT,Portugal,Fishing,11,31f95c422-273f-9d46-4a87-1579a19f0186,public-global-vessel-identity:v4.0
Marujo Solo Sailor,255903370,PRT,Portugal,Passenger,11,204d511b0-0be2-ae36-a145-9cf2e5e31aee,public-global-vessel-identity:v4.0
Observatorio II -Usv,255602390,PRT,Portugal,Other,10,8a42d5a3c-cd87-dad6-8b9c-46968eb10cf1,public-global-vessel-identity:v4.0
Manuela Catamaran,255906350,PRT,Portugal,Passenger,10,bb01ad503-362d-762b-f3b1-47828ef2b4d7,public-global-vessel-identity:v4.0
Praia Dourada,263062020,PRT,Portugal,Other,10,0cb4c56a3-3af1-e3b2-5275-23892d416ddd,public-global-vessel-identity:v4.0
Sanas 103,255913240,PRT,Portugal,Passenger,10,3c70f3df4-4177-e8d6-47d3-7eb1f3581632,public-global-vessel-identity:v4.0
Islas Tres,352005139,PAN,Panama,Cargo,9,4dd51a6f8-8325-65de-32e3-c022dcfddce1,public-global-vessel-identity:v4.0
Gordinha II,255601280,PRT,Portugal,Passenger,9,b7280ae62-2bc2-f1fc-5b98-eb31e6c93103,public-global-vessel-identity:v4.0
Sr-40,263058137,PRT,Portugal,Other,9,8036c5b27-7a8b-6468-2a3c-90c12aaf6047,public-global-vessel-identity:v4.0
