name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Carnide,263700019,PRT,Portugal,Passenger,2764,05c41b6b7-7ec5-dfb9-ca49-016ba9b89728,public-global-vessel-identity:v4.0
Jorge De Sena,263701440,PRT,Portugal,Passenger,1074,9f162cd28-8b8d-3e29-3df0-cb5446de2406,public-global-vessel-identity:v4.0
Castelo,263700007,PRT,Portugal,Passenger,931,c6e878d49-96c1-1ab0-202d-cfdb21d2d6e6,public-global-vessel-identity:v4.0
Hurricane,263441821,PRT,Portugal,Passenger,571,3234e1d66-6b17-8c1e-2bba-1dd49ab93879,public-global-vessel-identity:v4.0
Dreamer II,263441147,PRT,Portugal,Passenger,343,e9481cb75-594f-e2d4-6fb2-d12d7e9d5194,public-global-vessel-identity:v4.0
X-Ride I,263753270,PRT,Portugal,Passenger,321,d6e5e13b4-468d-b931-3221-445a91dff2bf,public-global-vessel-identity:v4.0
Mestre Manso,263408670,PRT,Portugal,Fishing,286,78c1cb0d0-03b6-c677-43cc-be7aa8f75425,public-global-vessel-identity:v4.0
Sparus,263441865,PRT,Portugal,Other,285,8acbd6e99-9c1b-ca38-c949-9496be2a4ca8,public-global-vessel-identity:v4.0
Douralis,263442638,PRT,Portugal,Other,249,ddc74b90f-fcca-5822-27eb-8b374a74447a,public-global-vessel-identity:v4.0
Aurata,263442059,PRT,Portugal,Other,243,579d14a61-1a42-2496-100d-91546825bbc1,public-global-vessel-identity:v4.0
Luis Adriao,263500262,PRT,Portugal,Fishing,243,c05a0ddbb-b91e-abdb-3750-52b33f1e9b10,public-global-vessel-identity:v4.0
Filipa Irmao,263274000,PRT,Portugal,Fishing,237,77dbbe481-1a06-17b3-c574-7b99e83185cc,public-global-vessel-identity:v4.0
Dreamer IV,263442805,PRT,Portugal,Passenger,228,377235086-678d-efe5-0b68-c47317b2d82d,public-global-vessel-identity:v4.0
Avo Ricardo,263359000,PRT,Portugal,Fishing,219,3af9ca0b8-81e7-e429-ebbe-cb67add9e10f,public-global-vessel-identity:v4.0
Beatriz Paulo,263404860,PRT,Portugal,Fishing,219,2bc461caa-a8e3-3d7d-eeab-7ed642ce8a8e,public-global-vessel-identity:v4.0
Portugal Jovem,263411970,PRT,Portugal,Fishing,214,d81375441-1c4f-c8ec-86f8-9292e4ebcacb,public-global-vessel-identity:v4.0
Poema Do Mar,263435240,PRT,Portugal,Fishing,213,39f765b2c-cdbf-9a14-6808-2210f2c8ee68,public-global-vessel-identity:v4.0
Mae Purissima,263414850,PRT,Portugal,Fishing,210,5dc7f5f97-7e3b-d5bf-c8b1-14a3f04c821e,public-global-vessel-identity:v4.0
Delphinus,263410880,PRT,Portugal,Fishing,210,507882a18-8ac5-b9b8-777f-3ccedc93bbf4,public-global-vessel-identity:v4.0
Portinho Da Arrabida,263440800,PRT,Portugal,Passenger,206,802a61782-2b36-3d05-bc17-54899587e3f2,public-global-vessel-identity:v4.0
Beira Litoral,263234000,PRT,Portugal,Fishing,206,3e048a9a2-27cc-1aa3-bd82-5d7d2d387ddd,public-global-vessel-identity:v4.0
Avo Varela,263422760,PRT,Portugal,Fishing,206,1d456228a-a5f8-4444-24c0-f76b40e43b52,public-global-vessel-identity:v4.0
Torre De Belem,263671850,PRT,Portugal,Passenger,204,e32e5128b-b9ed-480b-66f7-f6ce802bf15d,public-global-vessel-identity:v4.0
Seg Cristobal Martin,224067580,ESP,Spain,Fishing,202,cf6fb5392-25e0-a59d-8e0e-5d77bd48ead0,public-global-vessel-identity:v4.0
Mario Luis,263401680,PRT,Portugal,Fishing,199,7211e5043-3a30-7c0e-8e97-edb42a1d8ed9,public-global-vessel-identity:v4.0
Mar Eterno,263418260,PRT,Portugal,Fishing,198,4741bcbcf-f5db-c935-c48d-6f79bced033d,public-global-vessel-identity:v4.0
Tricana De Aveiro,263442000,PRT,Portugal,Fishing,198,3cf650099-97f2-29ca-7b1e-6257c17dc401,public-global-vessel-identity:v4.0
Nuevo Rio Cartuja,224071890,ESP,Spain,Fishing,196,8eaa3b47c-c23b-e7b2-aafa-f912d674c19d,public-global-vessel-identity:v4.0
Os Caramelitos,263411780,PRT,Portugal,Fishing,194,7d6bf3507-70bf-8fa2-0786-d5e274275b9c,public-global-vessel-identity:v4.0
Craveiro Flores,263405670,PRT,Portugal,Fishing,194,8a7770d89-90bb-e001-431d-f941ca6852d0,public-global-vessel-identity:v4.0
Ajudado Por Deus,204265000,PRT,Portugal,Fishing,192,6d36b901f-fccb-84bd-b577-92f27e48ecec,public-global-vessel-identity:v4.0
