name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Al Ghaf,466574970,QAT,Qatar,Other,1468,284a1f38d-d8fb-00f0-f5cf-318c6ef4cefe,public-global-vessel-identity:v4.0
Surfer 19003,356949000,PAN,Panama,Other,1304,2227ed63d-da3f-bab8-91da-355c484a1ed6,public-global-vessel-identity:v4.0
Oryx 1,538011274,MHL,Marshall Islands,Other,1211,c122dfbf3-3da1-b118-1014-0381385187b0,public-global-vessel-identity:v4.0
Oryx 2,538011275,MHL,Marshall Islands,Other,880,284705685-525e-5343-86f4-6285475acc78,public-global-vessel-identity:v4.0
Nsw Zikreet,466536690,QAT,Qatar,Other,715,b685086ea-ae32-ca07-4d2e-25b45ca9b5e9,public-global-vessel-identity:v4.0
Bourbon Sumatra,577231000,VUT,Vanuatu,Other,672,37ad32dcc-c76a-9f1e-361f-eb8ba86ef71c,public-global-vessel-identity:v4.0
Nsw Al Yamama,466536700,QAT,Qatar,Other,672,8bce9e727-7145-3aee-6e09-b6b1c9482fa6,public-global-vessel-identity:v4.0
Gms Rapidity,636022732,LBR,Liberia,Other,529,5bb36cedf-f74a-b3ea-d026-c1d591c37aa7,public-global-vessel-identity:v4.0
Halul 42,466085000,QAT,Qatar,Other,523,bb3531d7f-f09a-ed01-9a7c-c23302638e26,public-global-vessel-identity:v4.0
Nsw Al Shuaiba,466536680,QAT,Qatar,Other,492,b0955076e-e9cd-4e32-d7f1-a2107c9be37e,public-global-vessel-identity:v4.0
Raslaffan Pilot,466573910,QAT,Qatar,Other,491,9c5cffaba-a107-1510-1e64-941e724978b4,public-global-vessel-identity:v4.0
Gms Continuity,636022731,LBR,Liberia,Other,427,fa50c9756-665f-9280-4e5d-c90660ffaa15,public-global-vessel-identity:v4.0
Firebird 1,375678000,VCT,Saint Vincent and the Grenadines,Other,374,4872a5a82-2d1e-ede6-4486-99de5bd9b4cc,public-global-vessel-identity:v4.0
Sora 1,466533230,QAT,Qatar,Other,362,c9f4a2b3a-a962-0a94-df8a-e2d3bbbf6e90,public-global-vessel-identity:v4.0
Halul 17,466042000,QAT,Qatar,Other,360,be8916e4e-ed36-3a5d-58a4-599bc1991a12,public-global-vessel-identity:v4.0
Halul 60,466076000,QAT,Qatar,Other,332,612efdd7f-f354-3433-a207-fafd499d87a0,public-global-vessel-identity:v4.0
Halul 63,466082000,QAT,Qatar,Other,328,607e4e8e4-4e19-13c6-5fbb-6b84857bbd83,public-global-vessel-identity:v4.0
Halul 100,466323000,QAT,Qatar,Other,321,a3c1552ab-b187-b8ea-0052-e4bf9fd89ee2,public-global-vessel-identity:v4.0
Um Alhoul 2,466545940,QAT,Qatar,Passenger,320,7fea060cb-bbdc-120a-d64d-185ee2e89fa7,public-global-vessel-identity:v4.0
Zarka II,466552550,QAT,Qatar,Other,314,53beb8c17-7348-6878-d8af-cbd0d76b015b,public-global-vessel-identity:v4.0
Topaz Megan,538005883,MHL,Marshall Islands,Other,311,4b9ef73e1-1fbe-6437-ac6d-e0048b073564,public-global-vessel-identity:v4.0
Halul 37,466230000,QAT,Qatar,Other,309,ff769b267-731c-fcdf-a8cd-75685fcad22f,public-global-vessel-identity:v4.0
Stanford Kite,375588000,VCT,Saint Vincent and the Grenadines,Other,301,5406ac7ea-a934-cfdb-5cf1-db298dd2bd80,public-global-vessel-identity:v4.0
Topaz Mamlaka,538006788,MHL,Marshall Islands,Other,297,31f9bd3b2-21ac-e81e-9beb-1cd96e2c6e03,public-global-vessel-identity:v4.0
Halul101,466321000,QAT,Qatar,Other,292,c8918a7e7-7590-b926-b2c9-80c87ede6b74,public-global-vessel-identity:v4.0
Halul 28,466044000,QAT,Qatar,Other,291,59953f475-5404-0e4b-ffdf-644dbcfc9bdf,public-global-vessel-identity:v4.0
Halul26,466130000,QAT,Qatar,Other,281,c8ee1de86-619e-8190-1524-8367808c2e2d,public-global-vessel-identity:v4.0
Halul 25,466136000,QAT,Qatar,Other,278,39e8621df-f2b9-d5b2-3a22-f364f1c3faac,public-global-vessel-identity:v4.0
Fog 12,466087000,QAT,Qatar,Other,274,120bc79f9-92f6-782b-60d6-329a27dc3621,public-global-vessel-identity:v4.0
Fog 10,636022232,LBR,Liberia,Other,271,3b30218ac-ce2f-ce23-4fe2-142a0b2fc287,public-global-vessel-identity:v4.0
Halul 49,466322000,QAT,Qatar,Other,270,5f525b09f-fc9e-a45a-3cb9-e8eeb9192fa6,public-global-vessel-identity:v4.0
Al Jubailat,466501540,QAT,Qatar,Other,269,dca9c0384-46b6-863a-94ed-61a17048723c,public-global-vessel-identity:v4.0
Halul 71,466238000,QAT,Qatar,Other,263,b404faeeb-bebb-700b-3594-36c766739c3b,public-global-vessel-identity:v4.0
