name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Ewa,264900518,ROU,Romania,Passenger,1058,5e2874824-4485-1c52-d0bc-bf19bb5231eb,public-global-vessel-identity:v4.0
Sar Fame,311947000,BHS,Bahamas,Other,233,4a7f81154-40c6-00af-bdf4-a3fe67a6b306,public-global-vessel-identity:v4.0
Bucuresti,264900303,ROU,Romania,Other,221,edbe47cea-a716-7bc4-efbb-de66af98259f,public-global-vessel-identity:v4.0
Moldova,264162127,ROU,Romania,Passenger,146,0d9e82540-06f2-9084-577a-91461dabbf62,public-global-vessel-identity:v4.0
Astana,264900302,ROU,Romania,Other,135,49d5d952d-dd8e-050d-c878-624bf3070963,public-global-vessel-identity:v4.0
Delta Expres 2,264162282,ROU,Romania,Passenger,127,1299d299e-ee75-d815-ddb8-0725046d81b4,public-global-vessel-identity:v4.0
Banat,264162125,ROU,Romania,Passenger,125,eac76087a-a9b8-a8a3-dd83-2b4805d24426,public-global-vessel-identity:v4.0
Delta Expres1,264162281,ROU,Romania,Other,123,6ded5bed1-1ca4-b89c-c3e6-5ed04660de64,public-global-vessel-identity:v4.0
Skandi Asserter,219146000,DNK,Denmark,Other,112,c436f8c6c-c03d-c650-bbd2-48d3b03cc6ef,public-global-vessel-identity:v4.0
Peles,264163069,ROU,Romania,Other,91,4c9c4c5dd-dfe1-9936-8e0e-59d3be75104c,public-global-vessel-identity:v4.0
Julier,264163386,ROU,Romania,Other,88,4b028c467-7d54-e538-3f0e-47906cd0ca9f,public-global-vessel-identity:v4.0
Alnika,264163337,ROU,Romania,Other,83,45e59bb26-6a82-03ce-8e43-54f159960744,public-global-vessel-identity:v4.0
Tirreno,253674000,LUX,Luxembourg,Other,82,29d4fca8b-b48a-5e99-2bb4-b6ef0b0bdc7a,public-global-vessel-identity:v4.0
Gp 1,264162990,ROU,Romania,Other,78,1e73c073a-a669-5d7c-5fa3-18d4e1e18d6b,public-global-vessel-identity:v4.0
Rotank 3,264163358,ROU,Romania,Other,76,e4e89a0ee-e9d9-8931-ea69-484c17c9bc25,public-global-vessel-identity:v4.0
Mircesti,264162121,ROU,Romania,Other,73,0fc7c18ca-a2a4-4e1f-91f7-7bf131be8dea,public-global-vessel-identity:v4.0
Fonda,264900190,ROU,Romania,Other,73,bb2da6895-582a-3729-15d6-217a6e29175a,public-global-vessel-identity:v4.0
Sartor,372633000,PAN,Panama,Other,73,2d354edb9-9f0a-43e1-1449-64f702d35bd2,public-global-vessel-identity:v4.0
Andreea M,264163355,ROU,Romania,Other,66,07e9cd714-4b01-8039-f344-8c0df2219863,public-global-vessel-identity:v4.0
Campos Tide,636024965,LBR,Liberia,Other,62,2821787e1-14d8-3118-fe20-41205949c316,public-global-vessel-identity:v4.0
Gilla,264163411,ROU,Romania,Other,58,f3fa1e0f1-120f-0ad9-a10b-d48b1e1cc26d,public-global-vessel-identity:v4.0
Dobra,264163176,ROU,Romania,Other,56,3ef232240-04dc-1636-1ccf-39a01bbec08d,public-global-vessel-identity:v4.0
Rovinari 3,264162254,ROU,Romania,Other,55,89bd6a384-4ba1-9f8c-2cae-d59703845af0,public-global-vessel-identity:v4.0
Rania,264900512,ROU,Romania,Passenger,54,466f5c78a-ac57-0cca-fd4a-96c1f44d6c48,public-global-vessel-identity:v4.0
Bos Theia,236111872,GIB,Gibraltar,Other,53,23208b9e4-4ce4-d2df-23c3-929ea76f5f1b,public-global-vessel-identity:v4.0
Salceni 9,264162246,ROU,Romania,Passenger,52,96185519d-df6c-008e-90d5-75d4a97ce5ca,public-global-vessel-identity:v4.0
Val Petru,264900111,ROU,Romania,Other,52,2ba8d2496-6fb1-e9b8-5545-39449c67b959,public-global-vessel-identity:v4.0
Linul,264163311,ROU,Romania,Other,52,1ee9bafa7-78c7-d126-3ee1-744a96ed31e7,public-global-vessel-identity:v4.0
Atlantica Trader,311001309,BHS,Bahamas,Other,50,0ef0d6bd3-3155-4203-aa5d-1220367ae163,public-global-vessel-identity:v4.0
Odin,245307000,NLD,Netherlands,Other,50,915a89589-9e40-5305-374b-00d894ffb806,public-global-vessel-identity:v4.0
Glen,314637000,BRB,Barbados,Other,47,6ece3ca9d-dadb-46d7-3500-e4d236f1f04f,public-global-vessel-identity:v4.0
Silvic 1,264162493,ROU,Romania,Other,47,b0c7118a4-4742-fa46-8232-25f6880c804c,public-global-vessel-identity:v4.0
Gp 8,264163356,ROU,Romania,Other,44,386c0a7f7-79b7-234e-4db4-2c2807661641,public-global-vessel-identity:v4.0
Apollon,264163228,ROU,Romania,Other,44,d2d820f80-0de7-218b-e3c0-32f635c3f666,public-global-vessel-identity:v4.0
Bos Apollo,236642000,GIB,Gibraltar,Other,43,4b2c20a1d-de44-6618-7eef-18728c4809ab,public-global-vessel-identity:v4.0
Azimut-1,264163425,ROU,Romania,Other,43,d7f8e8003-3937-643b-5460-05c04ba49035,public-global-vessel-identity:v4.0
Pollux,207072478,BGR,Bulgaria,Other,42,b51fc0c9d-d871-f8ae-e970-9a140f8cef86,public-global-vessel-identity:v4.0
Paceas,207072425,BGR,Bulgaria,Other,40,503953dcb-bd07-a261-5bd5-d9dbcfab433c,public-global-vessel-identity:v4.0
Dimitrie Cantemir,264163626,ROU,Romania,Other,39,3b314cd27-7321-ff1d-5582-ac150697117e,public-global-vessel-identity:v4.0
Raristea,460000930,---,---,Passenger,38,00c949a64-4c32-f2b7-143b-60d4378b676e,public-global-vessel-identity:v4.0
Kuzguncuk,271000882,TUR,Turkey,Other,37,682befe64-4935-da7d-7b0f-094aa445d1cf,public-global-vessel-identity:v4.0
Cugir,264163493,ROU,Romania,Other,36,3a60e83c3-30cc-330d-2856-a575a527499c,public-global-vessel-identity:v4.0
Ostwind,264163491,ROU,Romania,Passenger,35,0dc5e3787-771b-e787-ea56-da6c5592abb1,public-global-vessel-identity:v4.0
Captain Yusif,667005082,SLE,Sierra Leone,Cargo,35,5bb09c5c7-7b31-c63d-850f-f31a15450ddb,public-global-vessel-identity:v4.0
Boreas Lpg,620222000,COM,Comoros,Other,35,571e7a978-8f93-14b1-40d1-bd2bdc1c56de,public-global-vessel-identity:v4.0
Coremar 15,264900212,ROU,Romania,Other,33,7dde011f9-967e-1a11-390a-5dd424340953,public-global-vessel-identity:v4.0
Princess Maria,264163526,ROU,Romania,Other,32,c43b4037e-ed70-ddbf-5bd0-492b2931add7,public-global-vessel-identity:v4.0
Bsv Germania,264900415,ROU,Romania,Other,31,5cec44386-6a84-2e44-7cff-837e53d76034,public-global-vessel-identity:v4.0
Victoria,264162608,ROU,Romania,Other,31,cfbda3dff-fd64-e5e2-4bdf-67528fa923b5,public-global-vessel-identity:v4.0
Unyecem 1,271043513,TUR,Turkey,Cargo,31,4f6a1d0c7-776b-3650-9776-82217400ada5,public-global-vessel-identity:v4.0
Ab Moly,667002216,SLE,Sierra Leone,Cargo,30,97770bf70-0fce-ce48-5893-df0102a42fc2,public-global-vessel-identity:v4.0
Bsv Olanda,264900377,ROU,Romania,Other,29,3d218b110-0856-32b7-d009-f1c9e82de52b,public-global-vessel-identity:v4.0
Silva VIII,264163307,ROU,Romania,Other,29,b2bab1f07-74f6-6c0a-12d0-57457ef73871,public-global-vessel-identity:v4.0
Meteor,264900203,ROU,Romania,Other,29,b2e884493-32b6-42fa-ef7f-e9f9ffc777d4,public-global-vessel-identity:v4.0
Mercur,264162003,ROU,Romania,Other,29,08d04b2d0-017f-50ff-ca61-d00993e688db,public-global-vessel-identity:v4.0
Tuleen,511100448,PLW,Palau,Cargo,29,0b140e835-5806-c738-5bbb-2f542b11c264,public-global-vessel-identity:v4.0
Unknown vessel,264800077,ROU,Romania,Other,28,cb66d44b2-2d37-ea00-fa99-4b0c51944e6a,public-global-vessel-identity:v4.0
Debbie,636093138,LBR,Liberia,Other,27,26ccf2ace-e637-3723-949c-a0adbcd4187b,public-global-vessel-identity:v4.0
Siargao,305473000,ATG,Antigua and Barbuda,Other,27,d0d682280-08db-a65f-08da-a8fec53d4deb,public-global-vessel-identity:v4.0
Max Planck,207261012,BGR,Bulgaria,Other,27,10052909d-d817-e2f4-855c-2b5011ef9b5e,public-global-vessel-identity:v4.0
Laguna S,264163619,ROU,Romania,Other,26,f1ef11723-37ed-b1b3-a7e9-dcfdd6d26b31,public-global-vessel-identity:v4.0
Optimus,264900520,ROU,Romania,Other,26,f37994876-6210-9cf2-d682-e82a0bcbc00c,public-global-vessel-identity:v4.0
Dioscuria,213013000,GEO,Georgia,Cargo,26,052944fa7-7ffb-2944-9efd-3525be1584ae,public-global-vessel-identity:v4.0
M/V Jazz,518914000,COK,Cook Islands,Cargo,26,8dca47b6c-ccff-785b-498e-b69dced82a1a,public-global-vessel-identity:v4.0
