name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Altair,273398790,RUS,Russia,Other,709,d44ca9c84-4358-2e84-e26c-942820f826fa,public-global-vessel-identity:v4.0
Sirius,273339460,RUS,Russia,Other,695,db4c38e6f-f66d-10a5-a5cf-45100c256434,public-global-vessel-identity:v4.0
Dir,273353110,RUS,Russia,Other,460,af2c0dbdd-d726-1abb-95b8-4cfcf0fe0c12,public-global-vessel-identity:v4.0
Truvor,273348430,RUS,Russia,Other,441,2f01bec10-0d91-d64f-a608-e94345575383,public-global-vessel-identity:v4.0
Sukhodol,273213860,RUS,Russia,Other,438,c966695af-f614-e0ec-a023-251e597cd69b,public-global-vessel-identity:v4.0
Albatros,273346140,RUS,Russia,Other,408,042170ae4-4a76-ee7b-13f5-b7b6b90a2fa9,public-global-vessel-identity:v4.0
Emar,273212860,RUS,Russia,Other,339,731b1c106-673f-b190-246e-a44b419d14ce,public-global-vessel-identity:v4.0
Optimus,273396370,RUS,Russia,Other,333,aa2bbae02-20c7-fafa-2090-047a753005a9,public-global-vessel-identity:v4.0
Aksay,273279600,RUS,Russia,Other,326,248a83962-2800-3204-6987-93bc6c31cda1,public-global-vessel-identity:v4.0
Vostok 1,273347520,RUS,Russia,Other,300,44ba6187e-eb77-69ed-9817-7b16c3039301,public-global-vessel-identity:v4.0
Alexandr Deev,273615820,RUS,Russia,Other,299,eed64055d-d4fa-7738-9ccd-263c2d2f809b,public-global-vessel-identity:v4.0
Sakhalin 9,273185600,RUS,Russia,Passenger,292,94117b046-6cc1-3131-0a9d-acc760b778a2,public-global-vessel-identity:v4.0
Ai-Todor,273371280,RUS,Russia,Passenger,289,836a6798d-dd5e-9ce3-7134-4732e554b685,public-global-vessel-identity:v4.0
Aniva,273314760,RUS,Russia,Other,279,5d28bc090-00f2-c85e-fb82-79daa8bc8be6,public-global-vessel-identity:v4.0
Sakhalin10,273186400,RUS,Russia,Passenger,276,c3270b53f-f8ee-e3d8-73c9-c7a7b2256fbd,public-global-vessel-identity:v4.0
Saulkrasti,273619740,RUS,Russia,Other,276,0d5891f2e-e23c-122c-2888-cc901611bb8c,public-global-vessel-identity:v4.0
Beloe More,273421280,RUS,Russia,Other,271,0071c69dd-da4b-31fc-918c-35da8cd0c712,public-global-vessel-identity:v4.0
Nadym,273414550,RUS,Russia,Other,266,256ede06a-add2-ee3b-ae1a-8c1a160ed83f,public-global-vessel-identity:v4.0
Zubr,273364290,RUS,Russia,Other,254,694644769-9577-4dd9-548b-6a6fd8a293ba,public-global-vessel-identity:v4.0
Spolokhi,273396680,RUS,Russia,Other,250,9c088efb3-31e2-b4df-80bc-dc20e6d42213,public-global-vessel-identity:v4.0
Busse,273325800,RUS,Russia,Other,240,9d05bb6dc-c3fc-b636-0341-33448eccfe84,public-global-vessel-identity:v4.0
Primorsk,273443410,RUS,Russia,Other,233,6b5959d4e-e99c-b531-120e-daad8b455050,public-global-vessel-identity:v4.0
Taurus,273376520,RUS,Russia,Other,230,05a4797dd-d5c4-ac03-41e3-14df0e8a533f,public-global-vessel-identity:v4.0
Sakhalin-8,273187000,RUS,Russia,Passenger,220,a55fd4dbd-d50e-5323-8ce0-e9f8237ce121,public-global-vessel-identity:v4.0
Vyatich,273434680,RUS,Russia,Other,215,23274fbec-c3bf-c7aa-b5e0-ba9d3d6ad775,public-global-vessel-identity:v4.0
Passat,273316920,RUS,Russia,Passenger,214,ac1115182-2218-bdd6-8ea0-fd186a6d1533,public-global-vessel-identity:v4.0
Sakhalin,273315760,RUS,Russia,Other,207,e284fbc45-5144-aa9d-b183-50afefd5e119,public-global-vessel-identity:v4.0
Deltovaya-10,273380940,RUS,Russia,Other,207,6b69267e6-67fc-8ab9-b369-f98a7586bd4e,public-global-vessel-identity:v4.0
