name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Sl Teal,636021401,LBR,Liberia,Other,943,5cf7697c3-322a-4310-1d8a-d736c1bce9a2,public-global-vessel-identity:v4.0
Delta XI,352723000,PAN,Panama,Other,765,16a8aec45-5f69-2f7e-51b4-8b5c62ea8181,public-global-vessel-identity:v4.0
S T L,403741580,SAU,Saudi Arabia,Passenger,736,cbd8fdd1b-b741-854b-7fae-5927a2c16c82,public-global-vessel-identity:v4.0
Delta-X           :),356146000,PAN,Panama,Other,717,4d5dc57c4-4a42-4ccc-5d7e-b42c958c13de,public-global-vessel-identity:v4.0
Zamil-107,403719780,SAU,Saudi Arabia,Seismic vessel,657,044b9e5fb-b74b-d20c-f1cb-a61633c5537a,public-global-vessel-identity:v4.0
Molly R Mccall,538007648,MHL,Marshall Islands,Other,639,3bce6207a-a2ac-8438-84ae-21729d1789a3,public-global-vessel-identity:v4.0
Jana 21,403782770,SAU,Saudi Arabia,Seismic vessel,622,bb74785e4-451c-1faf-fae6-513342367110,public-global-vessel-identity:v4.0
Zamil 108,403630001,SAU,Saudi Arabia,Other,620,7c37c58f0-0e53-7d18-30c4-af949a5aff22,public-global-vessel-identity:v4.0
R J Coco Mccall,538006393,MHL,Marshall Islands,Other,560,44491c1d2-249c-6bcf-f88f-6577b4375089,public-global-vessel-identity:v4.0
Jana 16,403782670,SAU,Saudi Arabia,Other,551,e0d3e8ccd-d11a-e09a-4c30-43a626d2b889,public-global-vessel-identity:v4.0
Express-58,353238000,PAN,Panama,Other,548,c7e1ad8eb-bbf3-4f78-8d21-810a3d3e6fd2,public-global-vessel-identity:v4.0
Inw 9,352001935,PAN,Panama,Other,548,1d012ad99-90ce-0a84-5b24-de440c281536,public-global-vessel-identity:v4.0
Aesen 88,352215000,PAN,Panama,Other,546,e2f04c782-2b34-345f-3340-98fe4e16f0d2,public-global-vessel-identity:v4.0
Petra1,341181000,KNA,Saint Kitts and Nevis,Other,534,b0e319e0e-eab1-9171-2d8b-7667ff1202e4,public-global-vessel-identity:v4.0
Express 61,370523000,PAN,Panama,Other,522,6d1ca7fb2-2224-2a3a-47ce-7269079d3461,public-global-vessel-identity:v4.0
Express 91,351197000,PAN,Panama,Other,516,0fc2f1e9f-f407-021c-b60f-4d60250441aa,public-global-vessel-identity:v4.0
Marcap Aida,572325220,TUV,Tuvalu,Other,478,3b05e669a-a365-6ef3-5407-47d06d221abc,public-global-vessel-identity:v4.0
Zamil 103,403575000,SAU,Saudi Arabia,Other,471,3595a8451-1290-3c56-c580-7ea379fdbbcb,public-global-vessel-identity:v4.0
