name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Petra II,341454001,KNA,Saint Kitts and Nevis,Cargo,31,f53e028e7-79f2-76a9-c13a-38ec4503f7a8,public-global-vessel-identity:v4.0
Alianca Manaus,563051900,SGP,Singapore,Cargo,26,7e9908b44-46c2-42c6-c3ec-c4435070cebf,public-global-vessel-identity:v4.0
Maersk Nyassa,477552300,HKG,Hong Kong,Cargo,26,ec8a0cd69-9d20-0925-f92c-929a138919d1,public-global-vessel-identity:v4.0
Mayar,341264001,KNA,Saint Kitts and Nevis,Other,21,da0f780ac-c710-4d11-995c-fafff1b07311,public-global-vessel-identity:v4.0
Msv Noore Al Usman,419956821,IND,India,Other,19,84c21dc32-210b-a861-1357-09f4c3cfdcf0,public-global-vessel-identity:v4.0
Trust 1,671882000,TGO,Togo,Cargo,19,bc4acf13e-e458-bbc3-223a-7e4ac5117a49,public-global-vessel-identity:v4.0
Alkauwser,666000312,SOM,Somalia,Cargo,19,d96948209-96c3-67d9-304b-15eb847a538c,public-global-vessel-identity:v4.0
Geewon,470000001,ARE,United Arab Emirates,Other,17,00c4a79a9-9d17-7852-c70a-a63fbe00c7f2,public-global-vessel-identity:v4.0
Banyas 1,671828000,TGO,Togo,Cargo,17,f4f42d3c6-6b0b-4d5d-01e9-a9e5feb7cea6,public-global-vessel-identity:v4.0
Hajh Ghsn J,671742000,TGO,Togo,Cargo,17,c33376f19-96c3-454a-0dcd-e6f5c21c514d,public-global-vessel-identity:v4.0
Merinos Livestock,620745000,COM,Comoros,Cargo,16,1d02929f1-1542-a31b-7387-14bcba49bfca,public-global-vessel-identity:v4.0
Kota Naga,565893000,SGP,Singapore,Cargo,16,c232a671d-dd11-eeeb-9b6f-7956f187cc48,public-global-vessel-identity:v4.0
Abu Yasser II,677029000,TZA,Tanzania,Other,15,f17d5f4f8-8c4e-cea2-ca77-9425ef03b0b2,public-global-vessel-identity:v4.0
Adel II,677090500,TZA,Tanzania,Cargo,15,41d638262-2a44-bf1e-2911-554cb4fac6b2,public-global-vessel-identity:v4.0
Kota Nanhai,563011000,SGP,Singapore,Cargo,15,3a47a92e1-1ac7-05db-5e1f-f004e4e9731d,public-global-vessel-identity:v4.0
Al Muhammad Sameer,419956373,IND,India,Other,13,a84abdf5f-f685-71dd-c91b-fd63660dee0d,public-global-vessel-identity:v4.0
Msv Noore Al Amina,419956485,IND,India,Other,13,47879a162-24bc-c6ef-1f44-fafddcd05f0e,public-global-vessel-identity:v4.0
Amali,630001011,GNB,Guinea-Bissau,Cargo,13,e36c535f5-5ef3-ac97-e8f6-6edcc1fb15cd,public-global-vessel-identity:v4.0
Gfs Jade,377311000,VCT,Saint Vincent and the Grenadines,Other,13,0e816e73c-ce4a-0d87-5193-9f9258cb039b,public-global-vessel-identity:v4.0
Zaganos Pasa,271051164,TUR,Turkey,Seismic vessel,12,c102144d0-0ffa-dcb2-dae1-700e8bebbd2e,public-global-vessel-identity:v4.0
Socotra 1,351498000,PAN,Panama,Cargo,12,69ef9070a-a1a0-9330-c859-38f2f58555a5,public-global-vessel-identity:v4.0
