name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Volcan De Tindaya,224127000,ESP,Spain,Passenger,4681,be3fec5a2-2c2c-365d-8957-f9ccb5f85157,public-global-vessel-identity:v4.0
Don Juan R,224115000,ESP,Spain,Fishing,3287,2c18dc85a-a08c-cfb4-4a43-bdc141a598b3,public-global-vessel-identity:v4.0
Buganvilla Express,225998459,ESP,Spain,Passenger,2963,3008006f8-8661-b34f-638a-208a083b3bde,public-global-vessel-identity:v4.0
Banaderos Express,224388000,ESP,Spain,Passenger,2554,1ebd88c79-9a4b-8f8e-9305-297a45f8f717,public-global-vessel-identity:v4.0
Bajamar Express,224131000,ESP,Spain,Other,2539,07960c745-54dd-13e6-b249-be49acf196c2,public-global-vessel-identity:v4.0
Bocayna Express,224197000,ESP,Spain,Passenger,2524,6f1aea9dd-ddfa-72be-2612-3257fd7229db,public-global-vessel-identity:v4.0
Volcan De Teno,224753000,ESP,Spain,Passenger,2110,ab57f0022-2859-5e19-6cf9-25b529d6e51a,public-global-vessel-identity:v4.0
Volcan De Taidia,224984000,ESP,Spain,Passenger,2046,b4c63a186-6947-35fe-9ccd-92cd5d7227d2,public-global-vessel-identity:v4.0
Volcan De Tagoro,224781000,ESP,Spain,Passenger,1866,f54c0602f-f1ea-7907-a6cf-12aa38f47b07,public-global-vessel-identity:v4.0
Benchijigua Express,224441000,ESP,Spain,Passenger,1598,fce1e9fb1-16ea-8bf9-f120-20752fe4212f,public-global-vessel-identity:v4.0
Alexandro R,225991623,ESP,Spain,Passenger,1549,b62b237d1-1c25-4fd6-ffac-06bc5ceafce5,public-global-vessel-identity:v4.0
Volcan De Tirajana,224836000,ESP,Spain,Passenger,1393,798b47122-2ccb-bd01-7594-91d8e9d8b9da,public-global-vessel-identity:v4.0
Bencomo Express,224840000,ESP,Spain,Passenger,1223,cd4b25312-226b-64b0-9268-d41e7ddfafc1,public-global-vessel-identity:v4.0
Barlovento Express,224239000,ESP,Spain,Passenger,1137,39e04faa2-2c32-3d17-ea01-1d4a9297e4a7,public-global-vessel-identity:v4.0
Graciosero Dos,224157750,ESP,Spain,Passenger,1122,2ded95eaf-f464-eb80-de26-d5e21b982a81,public-global-vessel-identity:v4.0
Unknown vessel,224022250,ESP,Spain,Passenger,1101,ba94a2951-14bb-4d3f-7c55-68eb147b7a35,public-global-vessel-identity:v4.0
Bentago Express,224689000,ESP,Spain,Passenger,949,e1878b173-337c-67f5-6aba-cbecc7962663,public-global-vessel-identity:v4.0
Betancuria Express,225344000,ESP,Spain,Fishing,829,f16a54607-7fe7-106c-f45b-4f768ea29267,public-global-vessel-identity:v4.0
Bahia Cargo,224787000,ESP,Spain,Cargo,779,996b25972-2006-827a-dc69-0b58318a9142,public-global-vessel-identity:v4.0
Freebird One,224048390,ESP,Spain,Passenger,727,9e77cc464-4395-1b1b-b3e8-5ef9ce6cb4b0,public-global-vessel-identity:v4.0
Buganvilla,224115280,ESP,Spain,Passenger,673,06359db62-22ce-591d-0f6a-a33082b46da0,public-global-vessel-identity:v4.0
White Paradise,224012460,ESP,Spain,Passenger,646,e133922f6-6ba1-6f63-5224-54f59881d978,public-global-vessel-identity:v4.0
Bentayga Cargo,225462000,ESP,Spain,Cargo,643,dcf80f24e-e53b-0907-f377-e122110138c1,public-global-vessel-identity:v4.0
Catalanza VII,225987522,ESP,Spain,Passenger,634,4f379e69c-c9ed-8d69-ab2f-1d3ca02664eb,public-global-vessel-identity:v4.0
Abrazo,224027460,ESP,Spain,Passenger,601,72b7b1eb5-58bf-32c2-64cc-0f14fc716562,public-global-vessel-identity:v4.0
Ragnarok,225986083,ESP,Spain,Other,581,8afe6989a-a0de-a9b9-e17c-a298ea1e941a,public-global-vessel-identity:v4.0
Princess Cat,225981430,ESP,Spain,Passenger,577,06974cd62-2c07-eaa1-55a7-0e27aac042e2,public-global-vessel-identity:v4.0
Benchi Express,225987686,ESP,Spain,Passenger,497,0c37f3377-7768-5788-abf2-8fbca8d5addb,public-global-vessel-identity:v4.0
Garanon,224203230,ESP,Spain,Passenger,485,4d2822482-23a7-472d-ac0c-89d60a533816,public-global-vessel-identity:v4.0
Volcan De Tinamar,225423000,ESP,Spain,Passenger,451,fdec7b65d-d869-a817-f581-984caa676aa2,public-global-vessel-identity:v4.0
Juanita Cat,225985916,ESP,Spain,Passenger,413,178924449-9c60-0b2c-0eae-7783c8406035,public-global-vessel-identity:v4.0
Graciosero Uno,224047790,ESP,Spain,Passenger,412,f9dc160ac-c0ad-49c3-7c4b-f6c103269be9,public-global-vessel-identity:v4.0
Bencomo Express,224840000,ESP,Spain,Passenger,408,82ac0eb81-1d14-9ff8-8bc2-4a3d633ac3b1,public-global-vessel-identity:v4.0
Brenas Cargo,224823000,ESP,Spain,Fishing,385,5583a997e-e2f1-ddcd-26a0-55ee481be643,public-global-vessel-identity:v4.0
Sonador,225939760,ESP,Spain,Passenger,326,2855752d2-212e-d8c0-a6a0-c6db4c96fddc,public-global-vessel-identity:v4.0
Ciudad De Ibiza,224498000,ESP,Spain,Cargo,326,2e590ae7a-a9bc-ab5a-5e8b-9ffed598c52a,public-global-vessel-identity:v4.0
Ciudad De Valencia,247432300,ITA,Italy,Passenger,319,43a3931ca-ac3d-535f-dcb0-ec9cd2a9bb9e,public-global-vessel-identity:v4.0
White Sea,225987014,ESP,Spain,Passenger,299,d03254589-922c-0389-d7ef-b0e5c5762722,public-global-vessel-identity:v4.0
Ibiza Five Star,225980819,ESP,Spain,Passenger,288,5d52bf8c0-0d5c-9e3d-bf42-f4fdb9c8672e,public-global-vessel-identity:v4.0
Hesperides,255915743,PRT,Portugal,Other,282,f67790c91-16b1-d352-9ffd-e1c4dfb5663a,public-global-vessel-identity:v4.0
Villa De Tazacorte,225430000,ESP,Spain,Cargo,249,36bbeea55-59c2-4754-e395-7990fe373779,public-global-vessel-identity:v4.0
