name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Castavi Jet,224008000,ESP,Spain,Passenger,2334,25d346df2-259d-476a-936d-e9147c076c33,public-global-vessel-identity:v4.0
Eleanor Roosevelt,210049000,CYP,Cyprus,Other,1295,b2e402379-9739-a861-059e-fddc28a623ad,public-global-vessel-identity:v4.0
Margarita Salas,210012000,CYP,Cyprus,Passenger,1131,bc8a008b9-9e0b-ef19-744e-808484711643,public-global-vessel-identity:v4.0
Pirata De Canexol,225986750,ESP,Spain,Passenger,1035,9c1240779-99d2-38cf-268d-6319ff86aa68,public-global-vessel-identity:v4.0
Astrolabe,253369000,LUX,Luxembourg,Other,1032,66d5d1509-9cc0-71fe-c234-3077056fd96d,public-global-vessel-identity:v4.0
Nixe,224264000,ESP,Spain,Passenger,1019,3516f35b8-8247-b7f4-cd3a-a942708914d8,public-global-vessel-identity:v4.0
Tiger,253447000,LUX,Luxembourg,Other,993,d707100d4-489d-9a4d-8981-6c56eddddf8e,public-global-vessel-identity:v4.0
L`Etoile,253109000,LUX,Luxembourg,Other,985,778e5f625-5683-cb71-e450-3c8c61103e60,public-global-vessel-identity:v4.0
Jaume III,224477000,ESP,Spain,Passenger,966,7b0c9b91c-c708-1bda-e4c0-7753c9c6638d,public-global-vessel-identity:v4.0
Cap De Barbaria,224672000,ESP,Spain,Passenger,929,7523d1b78-8d5c-f88e-0997-c1c91c4329a8,public-global-vessel-identity:v4.0
Leeuw,253445000,LUX,Luxembourg,Other,925,a96264834-428a-5cfa-b99e-d4f3cacc1a2e,public-global-vessel-identity:v4.0
Dofi Jet Tres,224022240,ESP,Spain,Passenger,879,6c069ac19-9295-42f0-0683-30798c771784,public-global-vessel-identity:v4.0
Delfin Primero,224226720,ESP,Spain,Passenger,859,719c04a3b-b846-9da4-9fbe-47dccfd90e02,public-global-vessel-identity:v4.0
Abel Matutes,224402000,ESP,Spain,Passenger,841,a13c1c89c-c9f4-e657-c9f2-7922039a0c11,public-global-vessel-identity:v4.0
Dofi Jet 2,224002990,ESP,Spain,Passenger,807,15f9225d1-1c73-b86f-deda-ac1b9bb743b6,public-global-vessel-identity:v4.0
Martin I Soler,224637000,ESP,Spain,Passenger,788,b9d5d7595-5990-abf5-6820-7bd5c31f3b42,public-global-vessel-identity:v4.0
Ramon Llull,224247000,ESP,Spain,Passenger,712,aec3a6fec-cc2f-8601-f48a-368d95ed7f58,public-global-vessel-identity:v4.0
Mar Menor Ferry,224161460,ESP,Spain,Passenger,659,3f151241d-d3f3-71bc-3872-c0da8ac3bd59,public-global-vessel-identity:v4.0
