name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Magarsam,375527000,VCT,Saint Vincent and the Grenadines,Other,122,f2a6e841f-f3a4-47cb-d124-1fe6dc2eb7ef,public-global-vessel-identity:v4.0
Kps Rauf Bey,636020248,LBR,Liberia,Passenger,118,ca8bf8810-0416-6213-0a34-75b4d7626b3a,public-global-vessel-identity:v4.0
Lily J,671734000,TGO,Togo,Cargo,108,da660232e-e5f5-7b27-15c8-0be1fc9d0825,public-global-vessel-identity:v4.0
Al Mabrouka 10,334985000,HND,Honduras,Cargo,89,b8b4f9f64-4683-9b08-f09c-8f1f13add6a0,public-global-vessel-identity:v4.0
M/T Asma,620542000,COM,Comoros,Other,82,dba22b574-4fbd-a9ed-44a4-524c0818e523,public-global-vessel-identity:v4.0
Fuzzy Wazzy,375515000,VCT,Saint Vincent and the Grenadines,Other,81,65d43628e-e5d3-0fee-d1f2-4782a2439828,public-global-vessel-identity:v4.0
Al Salaam,662000001,SDN,Sudan,Other,67,df934659c-ce48-31a7-143f-3ebf6d4d9485,public-global-vessel-identity:v4.0
Alahmed,403123000,SAU,Saudi Arabia,Other,66,84801bd21-1614-58b8-1479-eff069136463,public-global-vessel-identity:v4.0
Wasa Express,210277000,CYP,Cyprus,Cargo,65,daa1ed061-1ca1-0f0f-322a-9b491efc6f4c,public-global-vessel-identity:v4.0
Brave,636022866,LBR,Liberia,Other,59,07e55dd8d-d516-079f-688f-51cecbd3a2a5,public-global-vessel-identity:v4.0
Zhong Lian Shan Tou,413528620,CHN,China,Cargo,51,1d8ada235-5e5f-5669-58d1-9be06741c129,public-global-vessel-identity:v4.0
Joudi Express,341662001,KNA,Saint Kitts and Nevis,Cargo,49,952bec5e3-30ae-7acf-df7b-d784df0216e7,public-global-vessel-identity:v4.0
Safeen Pearl,538010956,MHL,Marshall Islands,Other,44,fa71db312-2fbd-dfcf-8d54-ddad80499f59,public-global-vessel-identity:v4.0
Al Jabara,341211002,KNA,Saint Kitts and Nevis,Cargo,44,1e1fd571b-b3d0-7657-c9a2-d9e4b060735f,public-global-vessel-identity:v4.0
Abdelrahman-K,671224000,TGO,Togo,Cargo,41,9ab2f7db1-1a46-9303-4bd6-0d43b137ce9f,public-global-vessel-identity:v4.0
Muneerah,677083700,TZA,Tanzania,Other,39,7b9e7b304-4c9b-afeb-026b-a0dde862d5b8,public-global-vessel-identity:v4.0
Tamara,671145100,TGO,Togo,Cargo,38,660835242-2935-ec7d-748f-f2b6ea3cebd2,public-global-vessel-identity:v4.0
Meyra,677064300,TZA,Tanzania,Cargo,37,87f04c0e4-4f53-2af5-b41e-a85dd4eb6858,public-global-vessel-identity:v4.0
Ayed 1,671414100,TGO,Togo,Cargo,36,c7187f0aa-a9b9-9a33-586d-757dcfad5de6,public-global-vessel-identity:v4.0
Sea Rock,352004560,PAN,Panama,Other,36,676c5e77c-cb74-e82d-b2ab-0d8f693b1621,public-global-vessel-identity:v4.0
Milagro,677028500,TZA,Tanzania,Other,33,557c0d089-9d29-b2fc-a0ab-4801a3d659e8,public-global-vessel-identity:v4.0
Aziz Express,403001000,SAU,Saudi Arabia,Other,32,9fb416056-68f7-a46b-922a-3934204af7cc,public-global-vessel-identity:v4.0
Cecellia,668116203,STP,São Tomé and Príncipe,Cargo,28,f94aeadd8-8f7e-359b-c264-b83a32c0acb7,public-global-vessel-identity:v4.0
Alawad1,671373000,TGO,Togo,Cargo,28,abb356488-8907-042f-ab34-99fb48ccd3a8,public-global-vessel-identity:v4.0
Waratab,662000004,SDN,Sudan,Other,27,ca5fd53e7-7291-a44e-c9a0-fbd0286ed6e5,public-global-vessel-identity:v4.0
Blue Gold,511101594,PLW,Palau,Other,27,85db7a8b0-0f24-0820-3201-165188d3aa73,public-global-vessel-identity:v4.0
Golden Shark,511100789,PLW,Palau,Cargo,26,239a541a5-5bcf-5eb1-3047-4eb11413088b,public-global-vessel-identity:v4.0
D&K Yusuf I.Alghanim,538004279,MHL,Marshall Islands,Other,25,b9dda7090-08ef-6d3d-fffe-dc18d0919482,public-global-vessel-identity:v4.0
Albaraka1,671402000,TGO,Togo,Cargo,24,9b3824ffd-da67-57de-ec7a-af5283aeff97,public-global-vessel-identity:v4.0
Albaraka1,671402000,TGO,Togo,Cargo,24,7d0961119-9d4a-dfc0-6e35-0be1cc167622,public-global-vessel-identity:v4.0
Banyas 2,357622000,PAN,Panama,Cargo,24,5186c46bb-b75a-03ab-b522-709f6934040c,public-global-vessel-identity:v4.0
Princess Hiyam,671700000,TGO,Togo,Cargo,22,c73a3b7ab-bc46-b26a-ecba-2075c2ffab1c,public-global-vessel-identity:v4.0
Assot-Riba,375686000,VCT,Saint Vincent and the Grenadines,Other,22,b81627434-41d5-b412-baa4-9e212f23247d,public-global-vessel-identity:v4.0
Amber M,668116204,STP,São Tomé and Príncipe,Cargo,22,725522af7-7888-30cf-9e44-a261ef5f3f74,public-global-vessel-identity:v4.0
