name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Argus 1,353001000,PAN,Panama,Other,213,44e0c2d08-83da-84f1-0e01-aa65bfbc5e0a,public-global-vessel-identity:v4.0
Parana,244342000,NLD,Netherlands,Other,83,5a475c6b3-366c-7e8c-75da-15a8fb03985d,public-global-vessel-identity:v4.0
Marwina,338247087,USA,United States of America,Other,45,c3c5c8d3c-c70b-6b76-37ea-34942270d696,public-global-vessel-identity:v4.0
Delta Queen,371182000,PAN,Panama,Other,43,79afecdff-fa0c-db0e-50c6-f8b915e15657,public-global-vessel-identity:v4.0
Midnight Dream,577368000,VUT,Vanuatu,Other,37,c92290e22-2d49-ec4f-9ac8-ff3b8adab1bb,public-global-vessel-identity:v4.0
M.T.Sara,338246911,USA,United States of America,Other,37,a1ce917c9-9801-ea5e-d120-90ac525bf042,public-global-vessel-identity:v4.0
Tropic Express,377901024,VCT,Saint Vincent and the Grenadines,Cargo,35,89857218b-bc20-5386-75c0-75edd097febc,public-global-vessel-identity:v4.0
Anuket Sapphire,249038000,MLT,Malta,Bunker,34,f5046077e-e72f-e523-7b57-fe213894a644,public-global-vessel-identity:v4.0
MID Atlantic,750000036,GUY,Guyana,Other,31,795e3c361-12d4-4655-e3a7-87585b9b7bd2,public-global-vessel-identity:v4.0
Breaux Tide,577243000,VUT,Vanuatu,Other,30,5492f381d-d8cf-c1f6-039c-184d1f1b4791,public-global-vessel-identity:v4.0
Jochem,205780000,BEL,Belgium,Fishing,29,1900b44c7-7d1e-300b-341a-37c32a9c2228,public-global-vessel-identity:v4.0
Unknown vessel,357594000,PAN,Panama,Fishing,27,65d62ba40-08f7-528b-4a3c-b7107c22a01d,public-global-vessel-identity:v4.0
Opportune,312954000,BLZ,Belize,Fishing,26,1dea26b86-644d-fdc3-689b-f8fa142fecb1,public-global-vessel-identity:v4.0
Rhode Island,211830010,DEU,Germany,Other,24,a80e0888f-f3a3-eaf3-10b4-3c812b323770,public-global-vessel-identity:v4.0
P102,765614000,SUR,Suriname,Other,24,e62229daf-f683-ad7a-1ef5-8ed5ed50a3b6,public-global-vessel-identity:v4.0
Amy Clemons Mccall,538011894,MHL,Marshall Islands,Other,23,cabcb0f21-1558-cd4a-fd12-9952340c0595,public-global-vessel-identity:v4.0
Celine C,255915692,PRT,Portugal,Other,22,ad8789dc0-0650-8597-f84b-9bf228e90dbe,public-global-vessel-identity:v4.0
Unknown vessel,338247088,USA,United States of America,Passenger,20,ec092de1e-e278-3e7b-e2bc-4ba505e3dc75,public-global-vessel-identity:v4.0
Veronica Pg,235007440,GBR,United Kingdom,Other,19,ae855d7aa-a234-379b-6fc8-084d95b27d47,public-global-vessel-identity:v4.0
Georgina Pg,235061952,GBR,United Kingdom,Other,19,b8055065c-c8b3-917f-7048-430556aad85b,public-global-vessel-identity:v4.0
Green Star,563095600,SGP,Singapore,Cargo,18,c859ed87f-f99c-6535-b522-096e82df0009,public-global-vessel-identity:v4.0
Green Dawn,636023779,LBR,Liberia,Cargo,18,e0efbb9b5-5bd2-2b18-da5d-915e52bcf216,public-global-vessel-identity:v4.0
