name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Fatih Sultan Mehmet1,271000734,TUR,Turkey,Passenger,4103,eab2e4212-201a-126c-8813-5644e4831286,public-global-vessel-identity:v4.0
Recep Tayyip Erdogan,271000733,TUR,Turkey,Passenger,3688,0b4b11f58-80f5-328e-b7ac-a8c2979e3450,public-global-vessel-identity:v4.0
Karahasanogullari-2,271010186,TUR,Turkey,Passenger,3297,091351528-8f3b-7d87-c3b7-e772839672d7,public-global-vessel-identity:v4.0
Elliyedinci Alay,271042595,TUR,Turkey,Passenger,3289,ed5d76c4f-ff71-a111-a3ff-f051bd95f08a,public-global-vessel-identity:v4.0
Yavuz Sultan Selim-1,271000975,TUR,Turkey,Passenger,2629,a0340b22d-da66-0def-0ee4-e02e55d4f154,public-global-vessel-identity:v4.0
Aydin Kaptan-2,271010398,TUR,Turkey,Passenger,2333,2bb910722-2ab1-061b-98ed-76f5bf4591dc,public-global-vessel-identity:v4.0
Mesudiye,271042597,TUR,Turkey,Passenger,2076,2af84e08d-d3c9-fb22-eae4-d36fdc856e01,public-global-vessel-identity:v4.0
Kanuni S. Suleyman,271000976,TUR,Turkey,Passenger,1988,ebe823b04-4044-9c4e-91ab-2b1468dc91b5,public-global-vessel-identity:v4.0
Gelibolu-I,271010156,TUR,Turkey,Passenger,1762,150b3eb6f-f5c3-ab96-1196-64f27f3880ca,public-global-vessel-identity:v4.0
Adatur 1453,271044304,TUR,Turkey,Passenger,1585,84e003fc8-8096-2c50-aeae-255e2e443d06,public-global-vessel-identity:v4.0
Seddulbahir,271042594,TUR,Turkey,Passenger,1561,e423c49f0-0b4e-efcd-1329-32515bb3c3ad,public-global-vessel-identity:v4.0
Ayvacik,271010160,TUR,Turkey,Passenger,1489,c190c4103-3fe4-0bde-97a3-ff9a47c5d25e,public-global-vessel-identity:v4.0
M/F Onsekiz Mart,271042596,TUR,Turkey,Passenger,1390,03087e781-1e90-a327-af2f-73a66d223d2b,public-global-vessel-identity:v4.0
Kilitbahir,271010185,TUR,Turkey,Passenger,1056,989aa7f98-84ce-b937-9827-b3e3f872bd81,public-global-vessel-identity:v4.0
Ali Taha C,271002573,TUR,Turkey,Passenger,850,1f8386def-f951-468f-28d7-28a79ee91e9f,public-global-vessel-identity:v4.0
Caka Bey-I,271002470,TUR,Turkey,Passenger,809,bd51f564d-d4f9-d7f1-8f2e-98c8acdc3838,public-global-vessel-identity:v4.0
Seyhan-4,271002604,TUR,Turkey,Passenger,805,300476638-835a-462a-df58-8b3f52eb9d0d,public-global-vessel-identity:v4.0
Temel Reis-II,271002342,TUR,Turkey,Passenger,796,2852af9d8-8211-0701-06a6-10350fa80455,public-global-vessel-identity:v4.0
Hudavendigar,271043402,TUR,Turkey,Passenger,743,1647c5b54-4caa-578e-e400-fd183c36c5be,public-global-vessel-identity:v4.0
Nilufer Hatun,271043475,TUR,Turkey,Passenger,695,a8a37bf37-7312-3f91-ed49-7731725fd3d5,public-global-vessel-identity:v4.0
Serdar-5,271002605,TUR,Turkey,Passenger,694,eea61c705-51db-bccf-0241-f9e8321b52b5,public-global-vessel-identity:v4.0
Sea Star Kos,511101443,PLW,Palau,Passenger,661,a0035b670-0c55-78de-f295-e691fc9e2fe3,public-global-vessel-identity:v4.0
Avsa Adasi,271002503,TUR,Turkey,Passenger,661,0c4c99ce0-07dc-b470-6219-6c7ea980999e,public-global-vessel-identity:v4.0
Ahmet Ozkaptan,271002602,TUR,Turkey,Passenger,656,b97ea640f-f4d8-2c3d-472a-d6534105628b,public-global-vessel-identity:v4.0
Saraylar,271002606,TUR,Turkey,Passenger,650,255178783-3e19-2fae-0090-c0ba7f795200,public-global-vessel-identity:v4.0
Cemal Aksoy,271001113,TUR,Turkey,Passenger,597,1e0557b06-6d42-fc2a-4939-c19aaa7a6642,public-global-vessel-identity:v4.0
Bahri Reis-III,271002599,TUR,Turkey,Passenger,576,e97dbcf2e-e16a-5877-b67f-65d99bcdcb43,public-global-vessel-identity:v4.0
Iznik,271044579,TUR,Turkey,Passenger,552,d2f8f51a3-3497-24a3-e995-4c8dfe66fa81,public-global-vessel-identity:v4.0
Melek Su,271050877,TUR,Turkey,Other,544,6abe42c3d-dff7-5576-1697-65e8c7382f78,public-global-vessel-identity:v4.0
Abalim 44,271073908,TUR,Turkey,Other,524,037f4d546-6895-dbcf-bea9-2a6e1b683fb8,public-global-vessel-identity:v4.0
Falcon Express,271044053,TUR,Turkey,Passenger,517,310e3ca20-0112-a249-1d17-8dc413082462,public-global-vessel-identity:v4.0
Ege Gaz-3,271010256,TUR,Turkey,Passenger,510,1810edf07-7e1e-e371-0f50-529ddd3ba7fc,public-global-vessel-identity:v4.0
Sokullu Mehmed Pasa,271002383,TUR,Turkey,Passenger,501,9f8d37acf-f25b-8003-abb5-779640983caf,public-global-vessel-identity:v4.0
Yenice,271010406,TUR,Turkey,Passenger,501,1a42d19be-e99c-b410-3db2-e2df0433b79e,public-global-vessel-identity:v4.0
M/F Balikesir 10,271044139,TUR,Turkey,Passenger,492,0d204561d-dac2-3b81-a529-12ed55e12400,public-global-vessel-identity:v4.0
Yener C,271046870,TUR,Turkey,Other,486,f2feafaaa-aab3-07c0-0acc-2ba10f401c21,public-global-vessel-identity:v4.0
Kurtarma 19,271052898,TUR,Turkey,Other,467,569cc0e64-4696-ac24-2a39-a6eb2b4607bf,public-global-vessel-identity:v4.0
Kurtarma 14,271048467,TUR,Turkey,Other,465,d33a72fb4-4f1f-c44d-4b8c-1a09e21151df,public-global-vessel-identity:v4.0
Kurtarma 18,271051874,TUR,Turkey,Other,458,341704206-6825-6aa2-4ff9-c6d930f58d46,public-global-vessel-identity:v4.0
Kurtarma 10,271042963,TUR,Turkey,Other,453,32a27fcdc-ce80-8b8c-d036-9cb268276db2,public-global-vessel-identity:v4.0
Birun Ada,271049906,TUR,Turkey,Passenger,452,51cf96d00-0890-87b7-8925-5a4d2c7a2b2b,public-global-vessel-identity:v4.0
Kurtarma 17,271051873,TUR,Turkey,Other,433,617c8fb7b-b285-4c06-0694-11c72194655c,public-global-vessel-identity:v4.0
Yoroz Defne,271052161,TUR,Turkey,Passenger,432,eb7017370-0293-e9b3-3012-0189b11533c5,public-global-vessel-identity:v4.0
Barbaros Hayreddin P,271002381,TUR,Turkey,Passenger,421,52ac2d545-5c76-19cd-102c-13cd0404ea7b,public-global-vessel-identity:v4.0
Kurtarma 16,271048882,TUR,Turkey,Other,413,175224c11-1bc0-00ef-ac0e-97d27901ceac,public-global-vessel-identity:v4.0
Hasim Inandi,271010312,TUR,Turkey,Passenger,409,59010f0ce-e114-a80f-bd31-ea6c8c171c64,public-global-vessel-identity:v4.0
Hizir Reis-III,271002328,TUR,Turkey,Passenger,406,9c788667e-eb01-4d19-b8ca-831d98763c33,public-global-vessel-identity:v4.0
Guzel Saraylar,271002617,TUR,Turkey,Passenger,402,cf505cb0d-da8b-5142-3e01-d5a2c0270efa,public-global-vessel-identity:v4.0
Kurtarma 13,271048466,TUR,Turkey,Other,399,26564b65f-f573-e710-5e39-90c93f7bc50a,public-global-vessel-identity:v4.0
Buyuk Varan-2,271010378,TUR,Turkey,Passenger,396,483580744-4b1d-fd09-ca33-70e894af1bcf,public-global-vessel-identity:v4.0
Umur Bey,271002469,TUR,Turkey,Passenger,394,2685ead8a-aaf4-f5c0-4b39-2b8605952441,public-global-vessel-identity:v4.0
Gemtac 8,271047485,TUR,Turkey,Passenger,378,99700671b-bfb5-2e6a-3de0-d8c59570cf9b,public-global-vessel-identity:v4.0
Duzgit Atilim,271043739,TUR,Turkey,Passenger,371,0724a895b-b7e3-b9dd-144b-a23eb837b486,public-global-vessel-identity:v4.0
Kemal Reis-5,271002467,TUR,Turkey,Passenger,371,726221506-6fea-4dae-61ed-0781d6ccc6e0,public-global-vessel-identity:v4.0
Tekirdag 59,271049542,TUR,Turkey,Other,371,da36aa943-37d5-6af9-ba24-c6e43793d6f4,public-global-vessel-identity:v4.0
Uludag,271043936,TUR,Turkey,Passenger,362,5cd099fb5-5690-514a-77cc-baa177dfaea0,public-global-vessel-identity:v4.0
Akcakoca,271002446,TUR,Turkey,Passenger,358,228808dd5-5464-6af5-de54-66e0d7bf3f32,public-global-vessel-identity:v4.0
Menekse-1,271002384,TUR,Turkey,Other,358,7c33bbbeb-b698-4c1c-3fb8-35d62f43f1ec,public-global-vessel-identity:v4.0
Hg 2 Ceylin,271044483,TUR,Turkey,Other,353,283462e34-419f-f9f5-c18b-2ed0361265c7,public-global-vessel-identity:v4.0
King Of Rhodes,511100722,PLW,Palau,Passenger,353,b3ece0f35-5477-4a0a-e811-6fa983744f39,public-global-vessel-identity:v4.0
Chios,271001073,TUR,Turkey,Passenger,351,d46de8395-550f-35e8-04f4-4bdbbcb6148f,public-global-vessel-identity:v4.0
Kurtarma 20,271052899,TUR,Turkey,Other,346,9adaa8e6d-d811-4472-9f40-c242332fe4f8,public-global-vessel-identity:v4.0
Yildirim Beyazid,271043572,TUR,Turkey,Passenger,342,fb3ccb062-2cf9-4d9c-ec31-57554f229bc9,public-global-vessel-identity:v4.0
Erturk-1,271015023,TUR,Turkey,Passenger,339,5da5ba0b0-0756-2cd6-318d-f114c4bbd4f9,public-global-vessel-identity:v4.0
Agromey-13,271062038,TUR,Turkey,Fishing,333,9b5c32c60-0507-5a05-c30e-7149f8075708,public-global-vessel-identity:v4.0
Hurkus,271044426,TUR,Turkey,Passenger,328,8cec7da82-29d9-40d4-6447-7133da6c7d97,public-global-vessel-identity:v4.0
Sea Star Makri,511100802,PLW,Palau,Passenger,328,01e251a48-872a-14d3-ea03-8bc78a783763,public-global-vessel-identity:v4.0
Guzide H,271051815,TUR,Turkey,Other,325,939e79cbb-b34d-25ff-f021-33ff2ff100dd,public-global-vessel-identity:v4.0
Gemtac 7,271048131,TUR,Turkey,Passenger,320,4b4ab341c-c91c-d41a-841b-b4e5aab37260,public-global-vessel-identity:v4.0
Turkeli,271044683,TUR,Turkey,Other,318,a76a0d7a3-3990-bc15-5fe7-3ee3645a5c83,public-global-vessel-identity:v4.0
Adalar 1,271001209,TUR,Turkey,Passenger,317,8f397bf2e-ee3d-a0db-6553-5631a80ad1a2,public-global-vessel-identity:v4.0
Brother 1,271010173,TUR,Turkey,Other,317,f2b12ea60-0c34-e158-119b-3eebfbf60ff7,public-global-vessel-identity:v4.0
Sea Star Samos,511100721,PLW,Palau,Passenger,311,fa6ff972e-ec92-2dd2-a536-4d2e507e5e2d,public-global-vessel-identity:v4.0
Noordzee 30,271040534,TUR,Turkey,Other,306,9e742c0a8-8443-19dc-e103-3066b0e2b174,public-global-vessel-identity:v4.0
Salih Reis-4,271002465,TUR,Turkey,Passenger,306,60bb067c7-7345-b0b8-b8cf-c87866f59499,public-global-vessel-identity:v4.0
Haldun Cirit,271072188,TUR,Turkey,Fishing,305,719d7b51b-bf4e-7ba3-85f6-004c5913b310,public-global-vessel-identity:v4.0
Basaranlar,271072769,TUR,Turkey,Carrier,303,04640cf01-19a7-ffa7-9d98-3ad99e550408,public-global-vessel-identity:v4.0
Bilentur,271043794,TUR,Turkey,Passenger,297,960beaa28-8f00-dc55-2f6c-5b824548b622,public-global-vessel-identity:v4.0
Zeyline 4,271048780,TUR,Turkey,Passenger,296,3fa579c02-2e72-449d-49e1-fde2b39ff333,public-global-vessel-identity:v4.0
Mehmet Reis-11,271002466,TUR,Turkey,Passenger,291,6f6ae88d0-09a2-4681-3305-c113e05792ee,public-global-vessel-identity:v4.0
Tuncay Sagun-1,271066006,TUR,Turkey,Other,290,a441606a4-44c5-950c-8f34-d0d12ea38859,public-global-vessel-identity:v4.0
Kalenakliyat 2,271002023,TUR,Turkey,Cargo,290,52141a045-503a-d3a1-1eb6-f91a389f7c7b,public-global-vessel-identity:v4.0
Ada  Zeynep,271002265,TUR,Turkey,Cargo,286,26e96faf5-5880-39d0-aef0-e86ffa7d139c,public-global-vessel-identity:v4.0
Ersoylar 1,271040583,TUR,Turkey,Other,285,b68ebf5af-ff89-b3f0-df88-d0c65414ad6d,public-global-vessel-identity:v4.0
Rota Mustafa,271047195,TUR,Turkey,Other,284,144fe5a9e-e8a9-5618-e4f5-7912af3263d6,public-global-vessel-identity:v4.0
Noordzee 32,271073858,TUR,Turkey,Fishing,282,2df87a40f-f8c1-e2b1-6b6f-211d45c34346,public-global-vessel-identity:v4.0
Coskunlar 1,271002096,TUR,Turkey,Other,281,aa988283d-d1bc-91e3-4428-d3c9a5d733e3,public-global-vessel-identity:v4.0
Kopuz-4,271001213,TUR,Turkey,Fishing,279,413d1d3e6-6b8d-e58e-224b-2dbee1c4a243,public-global-vessel-identity:v4.0
Kartepe,271002451,TUR,Turkey,Passenger,277,7c6a2b51b-b0c3-8969-a0d0-79a68726544b,public-global-vessel-identity:v4.0
Murat Reis-7,271002468,TUR,Turkey,Passenger,276,f6db9883e-e627-fd2a-0c2b-e00e2c6376c1,public-global-vessel-identity:v4.0
Apollon II,240078400,GRC,Greece,Passenger,273,acd2db68e-e7ec-2d74-0cbb-558c99019251,public-global-vessel-identity:v4.0
Caglayan Princess,271010306,TUR,Turkey,Passenger,271,688a64b34-4df0-9c24-1d94-89a1be49a272,public-global-vessel-identity:v4.0
Kale Nakliyat-5,271002215,TUR,Turkey,Cargo,268,1ed07b4c1-1acc-5092-384d-a72bd90e6963,public-global-vessel-identity:v4.0
Kara Yusuf-1,271048772,TUR,Turkey,Other,264,52ebed2bd-d676-bc82-9c91-212056a056f3,public-global-vessel-identity:v4.0
Burak Reis 3,271002464,TUR,Turkey,Passenger,262,dc3551f2e-e649-3ce1-0fc1-f15480e7e786,public-global-vessel-identity:v4.0
Kaan S,271002119,TUR,Turkey,Other,258,63f652e82-26b4-20ff-d05f-1c6fe6c0f0a2,public-global-vessel-identity:v4.0
Gemtac Yildirim,271053191,TUR,Turkey,Passenger,256,40aa90965-5025-2aa4-19b8-d32fe669cb18,public-global-vessel-identity:v4.0
Kurtarma 15,271048881,TUR,Turkey,Other,254,35dff4963-320f-2f64-0a58-721d43b76714,public-global-vessel-identity:v4.0
Altinkaya-1,271010297,TUR,Turkey,Passenger,253,845830ff0-0dde-bb89-79e0-ca06041dab30,public-global-vessel-identity:v4.0
Zeyline Express,271042517,TUR,Turkey,Passenger,247,86e4313b9-9515-cd9c-93f7-65e57fd8efda,public-global-vessel-identity:v4.0
Kilic 18,271072835,TUR,Turkey,Carrier,241,c7e538a16-6fe1-7a6b-ab82-c8ede06558c6,public-global-vessel-identity:v4.0
"M,f Seda Jale",271010054,TUR,Turkey,Passenger,240,b94931f04-4e5e-b7bb-7af5-cec53983d3cd,public-global-vessel-identity:v4.0
Akvatek 2,271073212,TUR,Turkey,Other,238,dda77a829-91c5-1942-8540-fdf69c0eb619,public-global-vessel-identity:v4.0
Kurtarma 4,271001022,TUR,Turkey,Other,235,bccdf7252-2039-00b2-911d-97a8834456c8,public-global-vessel-identity:v4.0
Gemtac 6,271047838,TUR,Turkey,Passenger,230,03eabd1a4-4ce3-9627-5283-eeb5b30eb3f0,public-global-vessel-identity:v4.0
Pilot-70,271010769,TUR,Turkey,Passenger,230,dcd6f27da-a26c-10b9-642c-9e7adec84041,public-global-vessel-identity:v4.0
Rota Kemal,271043785,TUR,Turkey,Other,229,6c4bbdb14-4ee2-b9ee-2651-3b2ad9ff8569,public-global-vessel-identity:v4.0
Alkor 6,271010678,TUR,Turkey,Other,227,60be40ca2-2141-29b1-2133-6338290d518e,public-global-vessel-identity:v4.0
Guven Tur 1,271052548,TUR,Turkey,Other,226,c34899751-107f-6f1a-23fd-23f098aa8817,public-global-vessel-identity:v4.0
Karmate,271002030,TUR,Turkey,Cargo,225,400d0a8cf-fdc3-c1fc-94d8-71fa21ea3ed5,public-global-vessel-identity:v4.0
Sursan 45,271073807,TUR,Turkey,Fishing,225,9fb7ec7e9-9505-4c38-6e78-e474a96d6fb0,public-global-vessel-identity:v4.0
Kepez,271045771,TUR,Turkey,Passenger,224,2d34de0bf-f923-c49a-ed9f-e1a8eebae3e1,public-global-vessel-identity:v4.0
Murat Bey,271010194,TUR,Turkey,Other,224,731498dae-e46e-bee9-6d9f-d25810a4dfcb,public-global-vessel-identity:v4.0
Besparmak,271527140,TUR,Turkey,Passenger,223,fc10fc579-9deb-c282-9936-68e2b6d13064,public-global-vessel-identity:v4.0
Ido Akdeniz,271002476,TUR,Turkey,Passenger,219,5ae7d7116-669c-6338-714b-e6d507d608b3,public-global-vessel-identity:v4.0
Mustafa Balik,271069033,TUR,Turkey,Fishing,218,8516e76f2-24e0-1e3f-5ce3-afb7e419a914,public-global-vessel-identity:v4.0
Rusen Bey,271051130,TUR,Turkey,Other,217,f0f509efb-b675-45e7-a5e9-7891d9c347f9,public-global-vessel-identity:v4.0
