name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Rebel,368098370,USA,United States of America,Fishing,772,0877c7a25-53cf-4b26-70b4-6f206902dfc0,public-global-vessel-identity:v4.0
Royal Pacific,367631380,USA,United States of America,Fishing,218,0e7b74b74-4b92-3870-b65a-abf72dcde531,public-global-vessel-identity:v4.0
Peter Foss,368421370,USA,United States of America,Other,201,03beabdb4-4d13-e478-1ff9-cb59db1e40d8,public-global-vessel-identity:v4.0
Daniel Foss,368365290,USA,United States of America,Other,197,1ff2f8269-9d77-a472-6c0c-5e8a0b9f0529,public-global-vessel-identity:v4.0
Eastern Wind,366899490,USA,United States of America,Carrier,166,acd73a672-2f4a-cf6f-707b-780028b06e64,public-global-vessel-identity:v4.0
Sandra Foss,366934290,USA,United States of America,Other,121,e5aa6ba5e-e5ae-94f6-326a-e6dffc8b39eb,public-global-vessel-identity:v4.0
Stacey Foss,366932970,USA,United States of America,Other,112,cd035fba8-8062-2723-2098-e4514d0a2c2c,public-global-vessel-identity:v4.0
Northern.Patriot,367026970,USA,United States of America,Fishing,109,5e0daeee9-990b-5c84-5c83-7a851c359e08,public-global-vessel-identity:v4.0
Gladiator,367046940,USA,United States of America,Fishing,96,195a3d85e-e481-3316-0b52-93fd911e9d0b,public-global-vessel-identity:v4.0
Brittany,303667000,USA,United States of America,Fishing,87,782479b18-8b55-4d15-3c90-acc4ef9dcd9c,public-global-vessel-identity:v4.0
Sovereignty,366899520,USA,United States of America,Fishing,87,3740893ee-e0e5-d8e7-d180-3f138ae4bf3f,public-global-vessel-identity:v4.0
Golden Pisces,368698000,USA,United States of America,Fishing,79,f792df027-7885-c541-1e17-5e15cb502d77,public-global-vessel-identity:v4.0
Golden Dawn,367405000,USA,United States of America,Fishing,76,0f8f3a3d3-3bba-c70b-cd07-253f2973b093,public-global-vessel-identity:v4.0
Bristolexplorer,367108560,USA,United States of America,Fishing,75,53f9d4ca8-8db7-9ec2-fac4-b946c121d1db,public-global-vessel-identity:v4.0
Columbia,366556140,USA,United States of America,Fishing,75,7d6bddef8-821d-0fa9-0e35-68c840e2460c,public-global-vessel-identity:v4.0
Royal Viking,303669000,USA,United States of America,Fishing,73,69848d3c5-5c75-f26e-cbe8-6d7c3d069e88,public-global-vessel-identity:v4.0
Raven Bay,366939960,USA,United States of America,Fishing,65,54a9db918-8d2d-453c-1669-d7b91ccacab4,public-global-vessel-identity:v4.0
Billikin,303426100,USA,United States of America,Fishing,63,8bff0062e-e033-17f5-a02f-55cb12e47503,public-global-vessel-identity:v4.0
Arcticexplorer,367108570,USA,United States of America,Fishing,62,cdbffdff6-6a4c-e776-10a7-29a56dcc13fd,public-global-vessel-identity:v4.0
Royal American,369511000,USA,United States of America,Fishing,61,5191372f0-0cfe-25e7-78ac-a7b896fb2c9d,public-global-vessel-identity:v4.0
Royal Atlantic,366851370,USA,United States of America,Fishing,60,52201fb27-76ee-20fb-505e-1d9241283a3b,public-global-vessel-identity:v4.0
Aleutian Endurance,368164990,USA,United States of America,Fishing,56,32066813e-e4a7-4020-9441-8fa791293224,public-global-vessel-identity:v4.0
Pacific Prince,367694000,USA,United States of America,Fishing,56,46ecf50e3-3248-17d4-6e5f-dc230b7b7fc7,public-global-vessel-identity:v4.0
Sag Wind,368104860,USA,United States of America,Other,55,8c6a33b3d-d2fb-04cc-1917-4fe2c2c907f0,public-global-vessel-identity:v4.0
Icy Mist,367416270,USA,United States of America,Fishing,55,46c51316b-b83e-14c2-01d4-9e920825f13b,public-global-vessel-identity:v4.0
Saint Paul,367358360,USA,United States of America,Fishing,53,f8f205b2a-ae08-f0f3-5f80-7b2b6196f179,public-global-vessel-identity:v4.0
Cerulean,367590010,USA,United States of America,Fishing,52,ab051f54a-a4c3-b11a-1832-d3d27caa1eb6,public-global-vessel-identity:v4.0
Commitment,367474080,USA,United States of America,Fishing,52,a688c2167-7d0a-91b6-1457-55afd463e3f4,public-global-vessel-identity:v4.0
Progress,367545610,USA,United States of America,Fishing,52,067015539-9b09-9c60-2884-078fa497e36b,public-global-vessel-identity:v4.0
Storm.Petrel,338671000,USA,United States of America,Fishing,51,0891df43b-b802-0d49-293f-8e251cdbb26f,public-global-vessel-identity:v4.0
Northern Defender,366901360,USA,United States of America,Fishing,51,4ab33cc92-24de-bfc6-acb3-3ede61feb09e,public-global-vessel-identity:v4.0
Dominator,303429000,USA,United States of America,Fishing,51,78df6cacf-f68e-5c7c-a4a0-b61a072ce0ee,public-global-vessel-identity:v4.0
Viking,366222330,USA,United States of America,Fishing,50,0ac282b3a-ab71-8f14-9cb1-331d3f915a4e,public-global-vessel-identity:v4.0
Commodore,369515000,USA,United States of America,Fishing,50,5cd613570-0cfe-1e8f-16ca-5575e6e1dee9,public-global-vessel-identity:v4.0
Patricia L,338271000,USA,United States of America,Fishing,50,40c467319-958f-835c-0caa-4a72ca05b825,public-global-vessel-identity:v4.0
April Lane,367609850,USA,United States of America,Fishing,50,11e205cf3-369f-1d17-c6bf-74dcbb6efc99,public-global-vessel-identity:v4.0
Barbara J,368466000,USA,United States of America,Fishing,50,ddec74d34-45ea-7ae5-3cec-e2cfb75445f7,public-global-vessel-identity:v4.0
Coastal Progress,303244000,USA,United States of America,Carrier,47,318a9e3a2-2f81-f44a-e75d-607c571399e4,public-global-vessel-identity:v4.0
Westward 1,367490000,USA,United States of America,Fishing,47,1c4bb67a6-635f-587d-198c-4bb2c75b5e18,public-global-vessel-identity:v4.0
Great Pacific,367332000,USA,United States of America,Fishing,46,b1a829f59-91e2-d306-a484-04187c896fb0,public-global-vessel-identity:v4.0
Seadawn,367372000,USA,United States of America,Fishing,46,ed088ba72-243a-b3ed-fb66-3790930cfab4,public-global-vessel-identity:v4.0
