name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Belgrano,770576485,URY,Uruguay,Other,1593,9eb0d14ef-ff76-7c7b-7ecd-7b3beaefb964,public-global-vessel-identity:v4.0
Delta Charlie,770576404,URY,Uruguay,Other,1189,cfa409c97-7e30-281c-14fc-abf28aadeb60,public-global-vessel-identity:v4.0
Cutter Patriota,770576523,URY,Uruguay,Other,1175,0e771b1f9-9c30-b540-916f-479c10ef3a5b,public-global-vessel-identity:v4.0
Ederra 6,770576503,URY,Uruguay,Passenger,1096,e6b9206bd-dea5-5651-69b6-86e6726d4f33,public-global-vessel-identity:v4.0
Superferry Express,770576400,URY,Uruguay,Passenger,1044,9286e095e-e530-eabe-7810-a23a89174d4b,public-global-vessel-identity:v4.0
Ederra 7,770576504,URY,Uruguay,Passenger,873,746bf9ada-a53f-eb1b-9847-e9178588b610,public-global-vessel-identity:v4.0
Sea Master,770576083,URY,Uruguay,Other,808,864abda21-1e5a-9649-71ae-e7ed5b98677c,public-global-vessel-identity:v4.0
Carrasco II,770576249,URY,Uruguay,Other,719,ccc17fec3-3a36-4ace-1697-9165a3a8f5ed,public-global-vessel-identity:v4.0
Excelsior,770576492,URY,Uruguay,Fishing,661,acf7ea158-8575-f3d4-8f15-74bdc8b37d01,public-global-vessel-identity:v4.0
Francisco,770576272,URY,Uruguay,Passenger,627,8673157c0-0f37-d0db-9d36-436637695434,public-global-vessel-identity:v4.0
Silvia Ana L,770576231,URY,Uruguay,Passenger,621,ce0d21857-746c-8bed-d979-f93fe6578688,public-global-vessel-identity:v4.0
Colonia Express II,770576517,URY,Uruguay,Passenger,604,27b707085-5ef3-b332-396b-6c9803d1e980,public-global-vessel-identity:v4.0
Atlantic III,770576009,URY,Uruguay,Passenger,566,3d9415ad5-5ecf-a1b3-15ed-f3589c05f708,public-global-vessel-identity:v4.0
Gaviota,770576435,URY,Uruguay,Seismic vessel,325,a82648ad0-016b-38e3-625f-15eb434afeee,public-global-vessel-identity:v4.0
Capitan Jon,770576417,URY,Uruguay,Other,324,236f5e6e6-6cbb-864f-d7b0-f0539b06e0f9,public-global-vessel-identity:v4.0
Corumba V,770576509,URY,Uruguay,Passenger,323,037700b3c-c237-65ec-808c-18737c484d71,public-global-vessel-identity:v4.0
Tff Rio Negro,770576345,URY,Uruguay,Other,314,d90562858-80c7-b080-906a-6940bb266fff,public-global-vessel-identity:v4.0
Johnattan Sea Gull,770576350,URY,Uruguay,Passenger,314,e0a7a7c26-6a25-80f5-f1e9-36bd6c2f8d24,public-global-vessel-identity:v4.0
Sea Pilot,770576199,URY,Uruguay,Other,314,a38adba6f-f30a-22b4-b493-f24e1e02825f,public-global-vessel-identity:v4.0
Carlon,770576446,URY,Uruguay,Other,312,18c62db63-3621-1787-1a29-b3a337177c40,public-global-vessel-identity:v4.0
Keninek,770576252,URY,Uruguay,Other,288,8165055fd-d092-7eb5-b48b-2f0e4798cacb,public-global-vessel-identity:v4.0
Ortelius,253662000,LUX,Luxembourg,Other,275,80f17867a-a56d-09a3-01a1-b344b27bc4be,public-global-vessel-identity:v4.0
Draga D7,770576248,URY,Uruguay,Other,270,162cab1c0-0693-0814-e655-89e34bdcee98,public-global-vessel-identity:v4.0
Bravo Charlie,770576304,URY,Uruguay,Other,253,097b3a357-7ec1-5af5-1445-cae74c4d0ef6,public-global-vessel-identity:v4.0
Piracicaba,770576443,URY,Uruguay,Other,247,98eefdaed-daf9-a096-a1af-2c33d169cc0a,public-global-vessel-identity:v4.0
D11-21 De Julio,770576466,URY,Uruguay,Other,237,dd280a220-0edf-69c5-84f0-09a4d562de83,public-global-vessel-identity:v4.0
Titon,770576260,URY,Uruguay,Other,235,b6c0083cb-b4e6-76ef-66ea-b875f5bc22df,public-global-vessel-identity:v4.0
