name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
Elizabeth A Mccall,775994600,VEN,Venezuela,Other,1246,d82c49aff-fc78-bdd5-0052-f6f6076352f1,public-global-vessel-identity:v4.0
Cayo Carenero,775990879,VEN,Venezuela,Passenger,828,f2a609c29-9412-2ba9-d174-597071aab167,public-global-vessel-identity:v4.0
Najibito,775995250,VEN,Venezuela,Passenger,727,d7750d257-79dc-b51c-b794-b2191d676d2a,public-global-vessel-identity:v4.0
Don Nasib,775992050,VEN,Venezuela,Passenger,620,aebdac4fc-c1b3-baa6-5f5b-cc9ba298cc90,public-global-vessel-identity:v4.0
Caquetio I,775136000,VEN,Venezuela,Passenger,598,57df44c67-7622-bc32-104d-aef138431378,public-global-vessel-identity:v4.0
Gran Cacique III,775992040,VEN,Venezuela,Passenger,464,750756add-dc32-8602-67a2-67ad8ff5ac57,public-global-vessel-identity:v4.0
Melina,775320000,VEN,Venezuela,Cargo,341,bc89fa57d-d04d-5ad9-3b18-4cd2a5aaab8c,public-global-vessel-identity:v4.0
Alto 1,775992379,VEN,Venezuela,Other,290,b7c6b284a-ac80-2660-4c38-0014e29e718c,public-global-vessel-identity:v4.0
El Victorioso,357763000,PAN,Panama,Other,288,469849e17-7dd0-8fcc-e0c3-6960bbb3c8fb,public-global-vessel-identity:v4.0
Yn512329,375143000,VCT,Saint Vincent and the Grenadines,Other,265,9fa1fa40b-bd93-ab24-6910-5ba9c236c084,public-global-vessel-identity:v4.0
Naiguata,375338000,VCT,Saint Vincent and the Grenadines,Other,256,12a5b544b-b380-07bd-73ae-ffd0b3fb8178,public-global-vessel-identity:v4.0
Virgen Del Valle II,775512000,VEN,Venezuela,Passenger,232,462bc99d4-4fdc-6761-1c8c-a645c5be5601,public-global-vessel-identity:v4.0
Sabaneta,376032000,VCT,Saint Vincent and the Grenadines,Other,229,ffa44466c-cb31-1fd4-d6a2-d9b1cccfd9b3,public-global-vessel-identity:v4.0
Alcon 1,775992317,VEN,Venezuela,Other,228,001977421-1ea2-3fe5-0780-bfc03f78a438,public-global-vessel-identity:v4.0
Playa El Supi,775991225,VEN,Venezuela,Passenger,210,523314429-967d-6b43-b566-cf5d1ca2abcf,public-global-vessel-identity:v4.0
Yaguarey,775991020,VEN,Venezuela,Cargo,206,7ba541d94-4012-5811-6b5f-66b5a44c8d3e,public-global-vessel-identity:v4.0
Nf1,9131801,---,---,Other,202,5e9b49715-5034-e655-c89f-96b442c67668,public-global-vessel-identity:v4.0
Larestinga,775511000,VEN,Venezuela,Passenger,195,c19473369-9674-4a21-7931-e232968a4dc6,public-global-vessel-identity:v4.0
Pamela G,775994032,VEN,Venezuela,Other,191,5c1fee03f-f6a7-6b3d-c038-2e937683b30b,public-global-vessel-identity:v4.0
Alto 2,775992381,VEN,Venezuela,Other,188,8f30b0fcf-f5a6-3ccf-ef02-6b31daa3d9ed,public-global-vessel-identity:v4.0
