name,MMSI,flag,flag translated,GFW vessel type,Total port_visit events,vesselId,dataset
MV Cepat,525019633,IDN,Indonesia,Cargo,32,a5e3a5b52-2698-85d7-9130-acfe18137623,public-global-vessel-identity:v4.0
Safeen Pride,538009719,MHL,Marshall Islands,Cargo,32,1978a74d9-9a7a-d6ac-6224-ed469393c5de,public-global-vessel-identity:v4.0
Majesty,357886000,PAN,Panama,Cargo,31,303c7ad23-3a02-0acf-9cbe-78258b8b63ac,public-global-vessel-identity:v4.0
Happy18,342953577,---,---,Other,26,6db3fac29-9127-979d-33cf-f5c06a3ce470,public-global-vessel-identity:v4.0
Marsa Virgo,352004751,PAN,Panama,Other,25,3d0e652fa-a55c-1a9b-0a8c-e9718cb615a2,public-global-vessel-identity:v4.0
Africa Sun,621819050,DJI,Djibouti,Cargo,19,2d03d7059-9af4-98de-67a2-7fef7e13a2ee,public-global-vessel-identity:v4.0
Marsa Victory,341540000,KNA,Saint Kitts and Nevis,Other,16,88d8fc874-4252-3b92-cac8-2b5d1fb71df6,public-global-vessel-identity:v4.0
Dark Ocean,312109000,BLZ,Belize,Other,16,b784bb566-6f49-afc5-de82-35196b48271d,public-global-vessel-identity:v4.0
Gfs Jade,377311000,VCT,Saint Vincent and the Grenadines,Other,14,0e816e73c-ce4a-0d87-5193-9f9258cb039b,public-global-vessel-identity:v4.0
Tj Zarar,352001894,PAN,Panama,Cargo,13,fa0631937-7841-774e-7502-ddac2c525265,public-global-vessel-identity:v4.0
Socotra 3,370909000,PAN,Panama,Cargo,13,4611d5a19-9a07-c65f-d34e-850362fb4d0a,public-global-vessel-identity:v4.0
Marsa Zenith,352003810,PAN,Panama,Other,12,b52a2d8a8-8792-7564-fecb-dfb714d05543,public-global-vessel-identity:v4.0
Tulip,538011143,MHL,Marshall Islands,Cargo,12,e6cfe7d0c-c7a8-1f49-ed21-9172cd707de5,public-global-vessel-identity:v4.0
Laide 56,352002829,PAN,Panama,Cargo,11,26a20a91e-ef67-ec2c-a319-96aaeb169ea7,public-global-vessel-identity:v4.0
Abraham A,620993000,COM,Comoros,Other,11,05b06f5e1-16f9-4480-98c6-5988b20096a6,public-global-vessel-identity:v4.0
Elreedy Star,622112802,EGY,Egypt,Cargo,11,3745b8aa7-7fee-d9ad-5d31-8664b28b3f77,public-global-vessel-identity:v4.0
Safeen Pearl,538010956,MHL,Marshall Islands,Other,10,fa71db312-2fbd-dfcf-8d54-ddad80499f59,public-global-vessel-identity:v4.0
Ji Zhe 2,352002185,PAN,Panama,Other,10,d6c78a929-977c-a003-5f5c-21dc7ce88e1a,public-global-vessel-identity:v4.0
Khaled A,671025100,TGO,Togo,Cargo,10,5d9dc4313-3629-00c5-d853-cac2008fc7eb,public-global-vessel-identity:v4.0
Ji Zhe 6,352004450,PAN,Panama,Other,10,72b966dd9-9812-15ed-58c4-ebfaafd83842,public-global-vessel-identity:v4.0
Dalal Queen,620499000,COM,Comoros,Cargo,9,2857d8d55-53e7-2156-db11-1f7c53e1a3ba,public-global-vessel-identity:v4.0
Kota Rahmat,565730000,SGP,Singapore,Cargo,9,20f2e002e-e062-7d8f-896f-2122caf1f92e,public-global-vessel-identity:v4.0
Summit Singapore,352005585,PAN,Panama,Cargo,9,18384dc76-6183-b7df-bb48-083c4f0f8aea,public-global-vessel-identity:v4.0
Ssf Lyra,341783001,KNA,Saint Kitts and Nevis,Cargo,9,5db8ccf37-7f60-7099-7f50-8ec7807eff65,public-global-vessel-identity:v4.0
Marsa Ivy,352004520,PAN,Panama,Cargo,9,8f1701249-9e9c-cf2e-1d3b-127f0a913e59,public-global-vessel-identity:v4.0
Ji Zhe Glory,352004222,PAN,Panama,Other,8,a655828eb-b0ca-f096-4d45-dc015dbc3a73,public-global-vessel-identity:v4.0
